Nombre del Vino,Denominación de Origen,Precio (€)
KOMOKABRAS Amarillo,Barbanza e Iria,15.55€
Albariño MARTIN CODAX,Rías Baixas,12.50€
Albariño TERRAS GAUDA,Rías Baixas,14.95€
Albariño MAR DE FRADES,Rías Baixas,16.70€
BIENBEBIDO PULPO,Rías Baixas,4.95€
MAR DE FRADES Brut Nature,Rías Baixas,19.95€
Albariño FEFIÑANES,Rías Baixas,18.90€
Albariño CORAL DO MAR,Rías Baixas,8.60€
Albariño VIONTA,Rías Baixas,6.95€
Albariño MAR DE FRADES 50 CL.,Rías Baixas,9.45€
Albariño PATO MAREADO,Rías Baixas,11.80€
VIZCONDE DE BARRANTES,Rías Baixas,9.95€
MAR DE FRADES Godello,Rías Baixas,19.90€
Albariño FEFIÑANES 1583,Rías Baixas,29.90€
NOVILUNIO Albariño,Rías Baixas,8.95€
FINCA VALIÑAS Sobre Lias,Rías Baixas,27.70€
ALMA ATLANTICA Blanco,Rías Baixas,7.10€
Albariño SAL,Rías Baixas,13.25€
Albariño ZARATE,Rías Baixas,13.95€
FINCA MONTEVEIGA,Rías Baixas,35.25€
Albariño VEIGA DA PRINCESA,Rías Baixas,11.35€
Albariño PAZO DE SAN MAURO,Rías Baixas,12.95€
Albariño NORA DA NEVE,Rías Baixas,14.75€
MAR DE FRADES Magnum,Rías Baixas,33.40€
NORA,Rías Baixas,9.95€
VAL DE NORA,Rías Baixas,5.95€
PAZO DO MAR EXPRESIÓN Treixadura,Ribeiro,8.95€
PAZO DO MAR Blanco,Ribeiro,5.95€
NEREIDA,Ribeiro,5.25€
VIÑA MEIN,Ribeiro,14.95€
ATLANTIS TREIXADURA,Ribeiro,7.25€
LALAMA,Ribera Sacra,18.35€
ABADIA DA COVA Cepa Vella,Ribera Sacra,8.15€
XABRE,Ribera Sacra,13.85€
NOVILUNIO Mencia,Ribera Sacra,7.25€
ABADIA DA COVA Volta Blanco,Ribera Sacra,13.81€
ABADIA DA COVA,Ribera Sacra,9.95€
ALMA DE TINTO Mencia,Monterrei,5.35€
ALMA DE BLANCO Godello,Monterrei,7.90€
ALMA DE AUTOR Godello,Monterrei,9.99€
Godello VIONTA,Monterrei,8.40€
PAZO DE MONTERREY Godello,Monterrei,7.70€
MIÑAXOIA Godello,Valdeorras,7.20€
OLUAR Godello,Valdeorras,13.60€
VALDESIL Sobre Lías,Valdeorras,14.95€
QUINTA DO SIL Godello,Valdeorras,10.75€
ATLANTIS Godello Barrica,Valdeorras,11.70€
OLUAR Godello Lias,Valdeorras,17.95€
NOVILUNIO Godello,Valdeorras,7.95€
CEIBO Godello,Valdeorras,20.75€
GABA DO XIL,Valdeorras,12.50€
GUITIAN Fermentado en Barrica 2022,Valdeorras,25.75€
GUITIAN Godello,Valdeorras,15.95€
GABA DO SIL O Barreiro,Valdeorras,14.85€
