winery,country,region,id_winery
Teso La Monja,Espana,Toro,1
Artadi,Espana,Vino de Espana,2
Vega Sicilia,Espana,Ribera del Duero,3
Pago de Carraovejas,Espana,Ribera del Duero,4
Toro Albala,Espana,Montilla-Moriles,5
Bodegas El Nido,Espana,Jumilla,6
Valdespino,Espana,Jerez-Xeres-Sherry,7
Dominio de Pingus,Espana,Ribera del Duero,8
Alvaro Palacios,Espana,Priorato,9
Ordonez,Espana,Toro,10
Bodegas Valduero,Espana,Ribera del Duero,11
Vina Sastre,Espana,Ribera del Duero,12
Sierra Cantabria,Espana,Rioja,13
Descendientes de J. Palacios,Espana,Bierzo,14
La Rioja Alta,Espana,Rioja,15
Marques de Murrieta,Espana,Rioja,16
Vinedos de Paganos,Espana,Rioja,17
Emilio Moro,Espana,Ribera del Duero,18
Quinta de la Quietud,Espana,Toro,19
Bodegas Mauro,Espana,Castilla y Leon,20
Bodega Contador (Benjamin Romeo),Espana,Rioja,21
Remirez de Ganuza,Espana,Rioja,22
Bodegas San Roman,Espana,Toro,23
Pago de Los Capellanes,Espana,Ribera del Duero,24
Bodega Numanthia,Espana,Toro,25
Alto Moncayo,Espana,Campo de Borja,26
Alvaro Palacios,Espana,Rioja,27
Mas Doix,Espana,Priorato,28
Bodegas Roda,Espana,Rioja,29
Martinet,Espana,Priorato,30
Recaredo,Espana,Cava,31
Clos Erasmus,Espana,Priorato,32
Barbadillo,Espana,Jerez Palo Cortado,33
Gonzalez-Byass,Espana,Jerez Palo Cortado,34
Bodegas Amaren,Espana,Rioja,35
Alvear,Espana,Montilla-Moriles,36
Equipo Navazos,Espana,Manzanilla,37
Morca,Espana,Campo de Borja,38
Territorio Luthier,Espana,Ribera del Duero,39
Terra Remota,Espana,Emporda,40
Dehesa de Los Canonigos,Espana,Ribera del Duero,41
Miguel Merino,Espana,Rioja Alta,42
Alion,Espana,Ribera del Duero,43
Aalto,Espana,Ribera del Duero,44
Carmelo Rodero,Espana,Ribera del Duero,45
Dominio del Bendito,Espana,Toro,46
Mas d'en Gil,Espana,Priorato,47
Casa Castillo,Espana,Jumilla,48
Matarromera,Espana,Ribera del Duero,49
Nin-Ortiz,Espana,Priorato,50
Vinas del Vero,Espana,Somontano,51
Marques de Riscal,Espana,Rioja,52
Arzuaga,Espana,Ribera del Duero,53
Bodegas Mas Alta,Espana,Priorato,54
Dominio de Calogia,Espana,Ribera del Duero,55
Tomas Postigo,Espana,Ribera del Duero,56
Cal Pla,Espana,Priorato,57
Ossian,Espana,Castilla y Leon,58
Cepa 21,Espana,Ribera del Duero,59
Bodegas Vilano,Espana,Ribera del Duero,60
Allende,Espana,Rioja,61
Hacienda Monasterio,Espana,Ribera del Duero,62
Castillo Perelada,Espana,Emporda,63
