winery,wine_id,region,winery_id,country_x,region_id_x,country_y,region_id_y
Teso La Monja,1,Toro,1,Espana,1,Espana,1
Artadi,2,Vino de Espana,2,Espana,2,Espana,2
Vega Sicilia,3,Ribera del Duero,3,Espana,3,Espana,3
Pago de Carraovejas,12,Ribera del Duero,4,Espana,3,Espana,3
Toro Albala,15,Montilla-Moriles,5,Espana,4,Espana,4
Bodegas El Nido,19,Jumilla,6,Espana,5,Espana,5
Valdespino,21,Jerez-Xeres-Sherry,7,Espana,6,Espana,6
Dominio de Pingus,23,Ribera del Duero,8,Espana,3,Espana,3
Alvaro Palacios,28,Priorato,9,Espana,7,Espana,7
Ordonez,31,Toro,10,Espana,1,Espana,1
Bodegas Valduero,34,Ribera del Duero,11,Espana,3,Espana,3
Vina Sastre,35,Ribera del Duero,12,Espana,3,Espana,3
Sierra Cantabria,40,Rioja,13,Espana,8,Espana,8
Descendientes de J. Palacios,44,Bierzo,14,Espana,9,Espana,9
La Rioja Alta,45,Rioja,15,Espana,8,Espana,8
Marques de Murrieta,74,Rioja,16,Espana,8,Espana,8
Vinedos de Paganos,77,Rioja,17,Espana,8,Espana,8
Emilio Moro,80,Ribera del Duero,18,Espana,3,Espana,3
Quinta de la Quietud,88,Toro,19,Espana,1,Espana,1
Bodegas Mauro,90,Castilla y Leon,20,Espana,10,Espana,10
Bodega Contador (Benjamin Romeo),91,Rioja,21,Espana,8,Espana,8
Remirez de Ganuza,92,Rioja,22,Espana,8,Espana,8
Bodegas San Roman,102,Toro,23,Espana,1,Espana,1
Pago de Los Capellanes,104,Ribera del Duero,24,Espana,3,Espana,3
Bodega Numanthia,107,Toro,25,Espana,1,Espana,1
Alto Moncayo,110,Campo de Borja,26,Espana,11,Espana,11
Mas Doix,120,Priorato,27,Espana,7,Espana,7
Finca Moncloa,121,Cadiz,28,Espana,12,Espana,12
Bodegas Roda,123,Rioja,29,Espana,8,Espana,8
Martinet,129,Priorato,30,Espana,7,Espana,7
Recaredo,130,Cava,31,Espana,13,Espana,13
Clos Erasmus,132,Priorato,32,Espana,7,Espana,7
Barbadillo,134,Jerez Palo Cortado,33,Espana,14,Espana,14
Gonzalez-Byass,136,Jerez Palo Cortado,34,Espana,14,Espana,14
Bodegas Amaren,140,Rioja,35,Espana,8,Espana,8
Alvear,143,Montilla-Moriles,36,Espana,4,Espana,4
