wine,year,designation,type,body,acidity,id
Tinto,2013,Tinto 2013,Toro Red,5.0,3.0,1
Vina El Pison,2018,Vina El Pison 2018,Tempranillo,4.0,2.0,2
Unico,2009,Unico 2009,Ribera Del Duero Red,5.0,3.0,3
Unico,1999,Unico 1999,Ribera Del Duero Red,5.0,3.0,4
Unico,1996,Unico 1996,Ribera Del Duero Red,5.0,3.0,5
Unico,1998,Unico 1998,Ribera Del Duero Red,5.0,3.0,6
Unico,2010,Unico 2010,Ribera Del Duero Red,5.0,3.0,7
Unico,1995,Unico 1995,Ribera Del Duero Red,5.0,3.0,8
Unico Reserva Especial Edicion,2015,Unico Reserva Especial Edicion 2015,Ribera Del Duero Red,5.0,3.0,9
Unico,2011,Unico 2011,Ribera Del Duero Red,5.0,3.0,10
Unico Reserva Especial Edicion,2016,Unico Reserva Especial Edicion 2016,Ribera Del Duero Red,5.0,3.0,11
El Anejon,2016,El Anejon 2016,Ribera Del Duero Red,5.0,3.0,12
Unico Reserva Especial Edicion,2018,Unico Reserva Especial Edicion 2018,Ribera Del Duero Red,5.0,3.0,13
Unico,1970,Unico 1970,Ribera Del Duero Red,5.0,3.0,14
Don PX Convento Seleccion,1946,Don PX Convento Seleccion 1946,Pedro Ximenez,5.0,1.0,15
Cuesta de Las Liebres,2015,Cuesta de Las Liebres 2015,Ribera Del Duero Red,5.0,3.0,16
Unico,1962,Unico 1962,Ribera Del Duero Red,5.0,3.0,17
Unico Reserva Especial Edicion,2019,Unico Reserva Especial Edicion 2019,Ribera Del Duero Red,5.0,3.0,18
El Nido,2018,El Nido 2018,Red,4.0,3.0,19
Unico Reserva Especial Edicion,2004,Unico Reserva Especial Edicion 2004,Ribera Del Duero Red,5.0,3.0,20
Toneles Moscatel,N.V.,Toneles Moscatel N.V.,Sherry,4.0,3.0,21
Unico Reserva Especial Edicion,2013,Unico Reserva Especial Edicion 2013,Ribera Del Duero Red,5.0,3.0,22
Pingus,2016,Pingus 2016,Ribera Del Duero Red,5.0,3.0,23
Don PX Convento Seleccion,1931,Don PX Convento Seleccion 1931,Pedro Ximenez,5.0,1.0,24
Unico Reserva Especial Edicion,2010,Unico Reserva Especial Edicion 2010,Ribera Del Duero Red,5.0,3.0,25
Unico,1979,Unico 1979,Ribera Del Duero Red,5.0,3.0,26
Don PX Pedro Ximenez,1946,Don PX Pedro Ximenez 1946,Pedro Ximenez,5.0,1.0,27
L'Ermita Velles Vinyes Priorat,2004,L'Ermita Velles Vinyes Priorat 2004,Priorat Red,4.0,3.0,28
Unico Reserva Especial Edicion,2005,Unico Reserva Especial Edicion 2005,Ribera Del Duero Red,5.0,3.0,29
Unico Reserva Especial Edicion,2020,Unico Reserva Especial Edicion 2020,Ribera Del Duero Red,5.0,3.0,30
Vatan Arena Tinta de Toro,2014,Vatan Arena Tinta de Toro 2014,Toro Red,5.0,3.0,31
Unico Reserva Especial Edicion,1985,Unico Reserva Especial Edicion 1985,Ribera Del Duero Red,5.0,3.0,32
Don PX Convento Seleccion,1929,Don PX Convento Seleccion 1929,Pedro Ximenez,5.0,1.0,33
Ribera Del Duero Gran Reserva 12 Anos,1999,Ribera Del Duero Gran Reserva 12 Anos 1999,Ribera Del Duero Red,5.0,3.0,34
Pesus Ribera del Duero,2007,Pesus Ribera del Duero 2007,Ribera Del Duero Red,5.0,3.0,35
Tinto,2012,Tinto 2012,Toro Red,5.0,3.0,36
Pingus,2017,Pingus 2017,Ribera Del Duero Red,5.0,3.0,37
Tinto,2009,Tinto 2009,Toro Red,5.0,3.0,38
L'Ermita Velles Vinyes Priorat,2008,L'Ermita Velles Vinyes Priorat 2008,Priorat Red,4.0,3.0,39
Magico,2016,Magico 2016,Rioja Red,4.0,3.0,40
Tinto,2011,Tinto 2011,Toro Red,5.0,3.0,41
L'Ermita Velles Vinyes Priorat,2017,L'Ermita Velles Vinyes Priorat 2017,Priorat Red,4.0,3.0,42
Tinto,2015,Tinto 2015,Toro Red,5.0,3.0,43
La Faraona Bierzo (Corullon),2017,La Faraona Bierzo (Corullon) 2017,Red,4.0,3.0,44
Gran Reserva 890,1985,Gran Reserva 890 1985,Rioja Red,4.0,3.0,45
L'Ermita Velles Vinyes Priorat,2018,L'Ermita Velles Vinyes Priorat 2018,Priorat Red,4.0,3.0,46
Unico Reserva Especial Edicion,,Unico Reserva Especial Edicion nan,Ribera Del Duero Red,5.0,3.0,47
Valbuena 5o,2010,Valbuena 5o 2010,Ribera Del Duero Red,5.0,3.0,48
Valbuena 5o,2014,Valbuena 5o 2014,Ribera Del Duero Red,5.0,3.0,49
Valbuena 5o,2006,Valbuena 5o 2006,Ribera Del Duero Red,5.0,3.0,50
Unico,2005,Unico 2005,Ribera Del Duero Red,5.0,3.0,51
Unico,2004,Unico 2004,Ribera Del Duero Red,5.0,3.0,52
Unico,2000,Unico 2000,Ribera Del Duero Red,5.0,3.0,53
Unico,2007,Unico 2007,Ribera Del Duero Red,5.0,3.0,54
Valbuena 5o,2015,Valbuena 5o 2015,Ribera Del Duero Red,5.0,3.0,55
Unico,2006,Unico 2006,Ribera Del Duero Red,5.0,3.0,56
Unico,2008,Unico 2008,Ribera Del Duero Red,5.0,3.0,57
Unico,2003,Unico 2003,Ribera Del Duero Red,5.0,3.0,58
Valbuena 5o,2016,Valbuena 5o 2016,Ribera Del Duero Red,5.0,3.0,59
Valbuena 5o,2005,Valbuena 5o 2005,Ribera Del Duero Red,5.0,3.0,60
Unico,2002,Unico 2002,Ribera Del Duero Red,5.0,3.0,61
Unico,1991,Unico 1991,Ribera Del Duero Red,5.0,3.0,62
Unico,1994,Unico 1994,Ribera Del Duero Red,5.0,3.0,63
Unico Reserva Especial Edicion,2000,Unico Reserva Especial Edicion 2000,Ribera Del Duero Red,5.0,3.0,64
Unico,1990,Unico 1990,Ribera Del Duero Red,5.0,3.0,65
Cuesta de Las Liebres,2014,Cuesta de Las Liebres 2014,Ribera Del Duero Red,5.0,3.0,66
Unico,1989,Unico 1989,Ribera Del Duero Red,5.0,3.0,67
Unico,1987,Unico 1987,Ribera Del Duero Red,5.0,3.0,68
Unico Reserva Especial Edicion,2017,Unico Reserva Especial Edicion 2017,Ribera Del Duero Red,5.0,3.0,69
El Anejon,2015,El Anejon 2015,Ribera Del Duero Red,5.0,3.0,70
El Nido,2014,El Nido 2014,Red,4.0,3.0,71
El Nido,2013,El Nido 2013,Red,4.0,3.0,72
Unico Reserva Especial Edicion,1996,Unico Reserva Especial Edicion 1996,Ribera Del Duero Red,5.0,3.0,73
Castillo Ygay Gran Reserva Especial Blanco,1986,Castillo Ygay Gran Reserva Especial Blanco 1986,Rioja White,3.0,3.0,74
El Nido,2016,El Nido 2016,Red,4.0,3.0,75
El Nido,2008,El Nido 2008,Red,4.0,3.0,76
La Nieta,2015,La Nieta 2015,Rioja Red,4.0,3.0,77
Unico,1981,Unico 1981,Ribera Del Duero Red,5.0,3.0,78
Unico Reserva Especial Edicion,2007,Unico Reserva Especial Edicion 2007,Ribera Del Duero Red,5.0,3.0,79
