id,wine,price,rating,body,acidity,num_reviews
1,Tinto,995.0,4.9,5.0,3.0,58
2,Vina El Pison,313.5,4.9,4.0,2.0,31
3,Unico,324.95,4.8,5.0,3.0,1793
4,Unico,692.96,4.8,5.0,3.0,1705
5,Unico,778.06,4.8,5.0,3.0,1309
6,Unico,490.0,4.8,5.0,3.0,1209
7,Unico,349.0,4.8,5.0,3.0,1201
8,Unico,810.89,4.8,5.0,3.0,926
9,Unico Reserva Especial Edicion,345.0,4.8,5.0,3.0,643
10,Unico,315.0,4.8,5.0,3.0,630
11,Unico Reserva Especial Edicion,514.85,4.8,5.0,3.0,591
12,El Anejon,105.15,4.8,5.0,3.0,454
13,Unico Reserva Especial Edicion,430.0,4.8,5.0,3.0,438
14,Unico,925.0,4.8,5.0,3.0,417
15,Don PX Convento Seleccion,350.0,4.8,5.0,1.0,398
16,Cuesta de Las Liebres,166.18,4.8,5.0,3.0,372
17,Unico,1620.0,4.8,5.0,3.0,295
18,Unico Reserva Especial Edicion,431.36,4.8,5.0,3.0,250
19,El Nido,195.627379550654,4.8,4.0,3.0,217
20,Unico Reserva Especial Edicion,824.43,4.8,5.0,3.0,211
21,Toneles Moscatel,253.0,4.8,4.0,3.0,174
22,Unico Reserva Especial Edicion,570.51,4.8,5.0,3.0,172
23,Pingus,1280.0,4.8,5.0,3.0,145
24,Don PX Convento Seleccion,244.85,4.8,5.0,1.0,139
25,Unico Reserva Especial Edicion,719.34,4.8,5.0,3.0,125
26,Unico,815.0,4.8,5.0,3.0,118
27,Don PX Pedro Ximenez,285.86,4.8,5.0,1.0,103
28,L'Ermita Velles Vinyes Priorat,1410.26,4.8,4.0,3.0,87
29,Unico Reserva Especial Edicion,813.96,4.8,5.0,3.0,87
30,Unico Reserva Especial Edicion,435.75,4.8,5.0,3.0,84
31,Vatan Arena Tinta de Toro,369.05,4.8,5.0,3.0,79
32,Unico Reserva Especial Edicion,1182.77,4.8,5.0,3.0,70
33,Don PX Convento Seleccion,227.95,4.8,5.0,1.0,69
34,Ribera Del Duero Gran Reserva 12 Anos,999.0,4.8,5.0,3.0,68
35,Pesus Ribera del Duero,360.0,4.8,5.0,3.0,68
36,Tinto,1190.0,4.8,5.0,3.0,56
37,Pingus,1150.0,4.8,5.0,3.0,52
38,Tinto,950.0,4.8,5.0,3.0,50
39,L'Ermita Velles Vinyes Priorat,1021.21,4.8,4.0,3.0,40
40,Magico,544.5,4.8,4.0,3.0,40
41,Tinto,1295.0,4.8,5.0,3.0,32
42,L'Ermita Velles Vinyes Priorat,992.2,4.8,4.0,3.0,31
43,Tinto,1289.44,4.8,5.0,3.0,28
44,La Faraona Bierzo (Corullon),1098.9,4.8,4.0,3.0,26
45,Gran Reserva 890,215.34,4.8,4.0,3.0,26
46,L'Ermita Velles Vinyes Priorat,1094.9,4.8,4.0,3.0,26
47,Unico Reserva Especial Edicion,423.5,4.7,5.0,3.0,12421
48,Valbuena 5o,239.5,4.7,5.0,3.0,5266
49,Valbuena 5o,175.5,4.7,5.0,3.0,4350
50,Valbuena 5o,194.0,4.7,5.0,3.0,3929
51,Unico,381.15,4.7,5.0,3.0,3437
52,Unico,584.43,4.7,5.0,3.0,3164
53,Unico,555.2,4.7,5.0,3.0,3127
54,Unico,445.28,4.7,5.0,3.0,2935
55,Valbuena 5o,189.0,4.7,5.0,3.0,2826
56,Unico,362.25,4.7,5.0,3.0,2765
57,Unico,289.0,4.7,5.0,3.0,2480
58,Unico,325.0,4.7,5.0,3.0,2419
59,Valbuena 5o,107.57,4.7,5.0,3.0,2177
60,Valbuena 5o,234.0,4.7,5.0,3.0,1892
61,Unico,500.94,4.7,5.0,3.0,1199
62,Unico,698.9,4.7,5.0,3.0,1141
63,Unico,872.47,4.7,5.0,3.0,940
64,Unico Reserva Especial Edicion,877.85,4.7,5.0,3.0,935
65,Unico,827.94,4.7,5.0,3.0,690
66,Cuesta de Las Liebres,113.18,4.7,5.0,3.0,685
67,Unico,679.72,4.7,5.0,3.0,675
68,Unico,787.59,4.7,5.0,3.0,593
69,Unico Reserva Especial Edicion,480.06,4.7,5.0,3.0,560
70,El Anejon,75.1,4.7,5.0,3.0,543
71,El Nido,154.9,4.7,4.0,3.0,511
72,El Nido,145.0,4.7,4.0,3.0,476
73,Unico Reserva Especial Edicion,290.0,4.7,5.0,3.0,442
74,Castillo Ygay Gran Reserva Especial Blanco,795.0,4.7,3.0,3.0,425
75,El Nido,371.78009750522,4.7,4.0,3.0,393
76,El Nido,134.19,4.7,4.0,3.0,347
77,La Nieta,82.58,4.7,4.0,3.0,312
78,Unico,873.86,4.7,5.0,3.0,308
79,Unico Reserva Especial Edicion,774.4,4.7,5.0,3.0,303
80,Malleolus de Valderramiro,84.95,4.7,5.0,3.0,300
81,Pingus,940.0,4.7,5.0,3.0,295
82,Unico,812.63,4.7,5.0,3.0,292
83,Malleolus de Sanchomartin,116.54,4.7,5.0,3.0,291
84,Pingus,1500.0,4.7,5.0,3.0,285
85,Pingus,1190.0,4.7,5.0,3.0,280
86,El Nido,154.85,4.7,4.0,3.0,268
87,Alabaster,135.0,4.7,5.0,3.0,264
88,La Mula de la Quietud,63.75,4.7,5.0,3.0,256
89,Unico,827.94,4.7,5.0,3.0,254
90,Terreus Paraje de Cueva Baja,66.07,4.7,4.0,2.0,251
91,Contador Rioja,213.9,4.7,4.0,3.0,243
92,Maria Remirez de Ganuza,234.9,4.7,4.0,3.0,240
93,Unico,2087.25,4.7,5.0,3.0,225
94,La Nieta,89.9,4.7,4.0,3.0,220
95,Unico,1384.54,4.7,5.0,3.0,214
96,Unico,820.98,4.7,5.0,3.0,205
97,Pingus,1250.0,4.7,5.0,3.0,203
98,Unico Reserva Especial Edicion,1500.0,4.7,5.0,3.0,196
99,Pingus,1715.18,4.7,5.0,3.0,184
100,Unico,932.3,4.7,5.0,3.0,173
101,L'Ermita Velles Vinyes Priorat,1372.14,4.7,4.0,3.0,171
102,Cartago Paraje de Pozo,78.9,4.7,5.0,3.0,137
103,Unico Reserva Especial Edicion,660.96,4.7,5.0,3.0,136
104,Parcela El Picon Tinto,154.0,4.7,5.0,3.0,134
105,Valbuena 5o,134.89,4.7,5.0,3.0,133
106,L'Ermita Velles Vinyes Priorat,1422.96,4.7,4.0,3.0,132
107,Termanthia,207.11,4.7,5.0,3.0,131
108,Unico Reserva Especial Edicion,340.49,4.7,5.0,3.0,131
109,Clon De La Familia,317.63,4.7,5.0,3.0,127
110,Aquilon Garnacha,108.9,4.7,5.0,3.0,123
111,Unico,700.0,4.7,5.0,3.0,118
112,Don PX Convento Seleccion,185.0,4.7,5.0,1.0,117
113,Unico,911.43,4.7,5.0,3.0,116
114,Contador Rioja,1150.0,4.7,4.0,3.0,112
115,Unico,698.95,4.7,5.0,3.0,110
116,Termanthia,2814.16,4.7,5.0,3.0,108
