designation,id_designation
Tinto 2013,1
Vina El Pison 2018,2
Unico 2009,3
Unico 1999,4
Unico 1996,5
Unico 1998,6
Unico 2010,7
Unico 1995,8
Unico Reserva Especial Edicion 2015,9
Unico 2011,10
Unico Reserva Especial Edicion 2016,11
El Anejon 2016,12
Unico Reserva Especial Edicion 2018,13
Unico 1970,14
Don PX Convento Seleccion 1946,15
Cuesta de Las Liebres 2015,16
Unico 1962,17
Unico Reserva Especial Edicion 2019,18
El Nido 2018,19
Unico Reserva Especial Edicion 2004,20
Toneles Moscatel N.V.,21
Unico Reserva Especial Edicion 2013,22
Pingus 2016,23
Don PX Convento Seleccion 1931,24
Unico Reserva Especial Edicion 2010,25
Unico 1979,26
Don PX Pedro Ximenez 1946,27
L'Ermita Velles Vinyes Priorat 2004,28
Unico Reserva Especial Edicion 2005,29
Unico Reserva Especial Edicion 2020,30
Vatan Arena Tinta de Toro 2014,31
Unico Reserva Especial Edicion 1985,32
Don PX Convento Seleccion 1929,33
Ribera Del Duero Gran Reserva 12 Anos 1999,34
Pesus Ribera del Duero 2007,35
Tinto 2012,36
Pingus 2017,37
Tinto 2009,38
L'Ermita Velles Vinyes Priorat 2008,39
Magico 2016,40
Tinto 2011,41
L'Ermita Velles Vinyes Priorat 2017,42
Tinto 2015,43
La Faraona Bierzo (Corullon) 2017,44
Gran Reserva 890 1985,45
L'Ermita Velles Vinyes Priorat 2018,46
Valbuena 5o 2010,47
Valbuena 5o 2014,48
Valbuena 5o 2006,49
Unico 2005,50
Unico 2004,51
Unico 2000,52
Unico 2007,53
Valbuena 5o 2015,54
Unico 2006,55
Unico 2008,56
Unico 2003,57
Valbuena 5o 2016,58
Valbuena 5o 2005,59
Unico 2002,60
Unico 1991,61
Unico 1994,62
Unico Reserva Especial Edicion 2000,63
Unico 1990,64
Cuesta de Las Liebres 2014,65
Unico 1989,66
Unico 1987,67
Unico Reserva Especial Edicion 2017,68
El Anejon 2015,69
El Nido 2014,70
El Nido 2013,71
Unico Reserva Especial Edicion 1996,72
Castillo Ygay Gran Reserva Especial Blanco 1986,73
El Nido 2016,74
El Nido 2008,75
La Nieta 2015,76
Unico 1981,77
Unico Reserva Especial Edicion 2007,78
Malleolus de Valderramiro 2016,79
Pingus 2001,80
Unico 1986,81
Malleolus de Sanchomartin 2016,82
Pingus 2004,83
Pingus 2006,84
El Nido 2017,85
Alabaster 2016,86
La Mula de la Quietud 2015,87
Unico 1985,88
Terreus Paraje de Cueva Baja 2017,89
Contador Rioja 2012,90
Maria Remirez de Ganuza 2006,91
Unico 1968,92
La Nieta 2018,93
Unico 1964,94
Unico 1982,95
Pingus 2015,96
Unico Reserva Especial Edicion 1995,97
Pingus 1999,98
Unico 1974,99
L'Ermita Velles Vinyes Priorat 1998,100
Cartago Paraje de Pozo 2015,101
Unico Reserva Especial Edicion 2012,102
Parcela El Picon Tinto 2009,103
Valbuena 5o 2017,104
L'Ermita Velles Vinyes Priorat 2000,105
Termanthia 2005,106
Unico Reserva Especial Edicion 2011,107
Clon De La Familia 2010,108
Aquilon Garnacha 2011,109
Unico 1983,110
Don PX Convento Seleccion 1955,111
Unico 1980,112
Contador Rioja 2005,113
Unico 1972,114
Termanthia 2004,115
Tinto 2010,116
Quinon de Valmira 2015,117
Unico Reserva Especial Edicion 1987,118
1902 Centenary Carignan Priorat 2015,119
Unico 1953,120
Cirsion Rioja 2000,121
L'Ermita Velles Vinyes Priorat 2015,122
El Nido 2019,123
1902 Centenary Carignan Priorat 2013,124
Unico Reserva Especial Edicion 2006,125
L'Ermita Velles Vinyes Priorat 2005,126
Cami Pesseroles 2006,127
Turo d'en Mota 2007,128
Unico Reserva Especial Edicion 1986,129
Priorat 2007,130
Parcela El Picon Tinto 2016,131
Reliquia Palo Cortado Sherry N.V.,132
Gran Reserva 890 1982,133
Anada Palo Cortado 1987 1987,134
Daphne Glorian Red 2007,135
Don PX Pedro Ximenez 1955,136
La Nieta 2019,137
El Regollar 2016,138
Don PX Convento Seleccion 1958,139
Alabaster 2018,140
Abuelo Diego Palo Cortado N.V.,141
La Bota 78 de Oloroso N.V.,142
Touran 2018,143
Luthier Gran Reserva 2012,144
Vina El Pison 1995,145
Reserva Particular de Recaredo Brut Nature 2011,146
Terreus Paraje de Cueva Baja 2019,147
Pesus Ribera del Duero 2004,148
Usted 2010,149
Gran Reserva 2001,150
Regina Vides Ribera del Duero 1998,151
La Loma 2018,152
L'Ermita Velles Vinyes Priorat 2016,153
Castillo Ygay Gran Reserva Especial Tinto 1942,154
Valbuena 5o 2011,155
Valbuena 5o 2012,156
Valbuena 5o 2008,157
Valbuena 5o 2007,158
Valbuena 5o 2013,159
Valbuena 5o 2009,160
Ribera del Duero 2016,161
PS (Pagos Seleccionados) Ribera del Duero 2017,162
PS (Pagos Seleccionados) Ribera del Duero 2018,163
Castillo Ygay Gran Reserva Especial Tinto 2010,164
Ribera del Duero 2017,165
Valbuena 5o 2004,166
Flor de Pingus 2018,167
PS (Pagos Seleccionados) Ribera del Duero 2019,168
Valbuena 5o 2000,169
Valbuena 5o 2002,170
Termanthia 2012,171
Termanthia 2011,172
Pago De Valtarrena 2015,173
Malleolus de Sanchomartin 2011,174
Valbuena 5o 1999,175
Malleolus de Valderramiro 2015,176
Pingus 2010,177
Cuesta de Las Liebres 2010,178
Pingus 2012,179
El Titan del Bendito 2015,180
Malleolus de Sanchomartin 2015,181
Pingus 2013,182
Terreus Paraje de Cueva Baja 2015,183
Terreus Paraje de Cueva Baja 2016,184
Pingus 2005,185
La Nieta 2017,186
Vina El Pison 2006,187
Pingus 1998,188
Cirsion Rioja 2007,189
Cirsion Rioja 2012,190
Contador Rioja 2011,191
Dalmau Rioja 2017,192
Unico 1965,193
Finca el Bosque 2015,194
Pago de Santa Cruz 2018,195
Pingus 2003,196
Clos Fonta Priorat 2004,197
Pago De Valtarrena 2016,198
Parcela El Picon Tinto 2014,199
Malleolus de Sanchomartin 2014,200
Valbuena 5o 1992,201
Pingus 2014,202
Vina El Pison 2010,203
Parcela El Picon Tinto 2012,204
Vina El Pison 2011,205
L'Ermita Velles Vinyes Priorat 1999,206
Cuvee N Vinas Viejas 2015,207
Vina El Pison 2012,208
Unico 1973,209
Contador Rioja 2014,210
Cartago Paraje de Pozo 2014,211
L'Ermita Velles Vinyes Priorat 1996,212
Termanthia 2014,213
Valbuena 5o 1985,214
Ribera del Duero Prestigio Pago de las Solanas 2001,215
Valbuena 5o 1989,216
Contador Rioja 2015,217
Vina El Pison 2005,218
Nit de Nin Mas d'en Cacador 2011,219
VS 2018,220
Maria Remirez de Ganuza 2005,221
Blecua Somontano 2013,222
Unico Reserva Especial Edicion 1989,223
Alabaster 2017,224
Terreus Paraje de Cueva Baja 2018,225
L'Ermita Velles Vinyes Priorat 1997,226
Frank Gehry Selection 2001,227
Vina El Pison 2014,228
Unico 1967,229
Amaya Arzuaga (Coleccion) 2016,230
Pingus 2000,231
L'Ermita Velles Vinyes Priorat 1995,232
Vina El Pison 2015,233
La Creu Alta 2013,234
Unico 1975,235
Tinto 2019,236
5o Ano Ribera del Duero Tinto 2016,237
Vina El Pison 2009,238
Planots Priorat 2010,239
Unico Reserva Especial Edicion 2009,240
El Titan del Bendito 2018,241
Capitel 2018,242
Gran Arzuaga Ribera del Duero 2004,243
Aquilon Garnacha 2015,244
Pingus 1996,245
Horcajo 2015,246
Pago De Valtarrena 2018,247
Unico 2012,248
Aurus 2005,249
Parcela El Picon Tinto 2011,250
Trasnocho 2013,251
Cirsion Rioja 2017,252
Tinto 2008,253
Doroteo Edicion Especial 25 Aniversario 2015,254
Tierra Alta de 2 Racimos Gran Reserva 2011,255
Castillo Ygay Gran Reserva Especial Tinto 2011,256
Valbuena 5o 1980,257
Reserva Especial Ribera del Duero 2016,258
Reserva Especial 2015,259
Gran Buig Priorat 2004,260
Finca Garbet 2014,261
Solera India Oloroso Rare Sherry N.V.,262
Clon De La Familia 2011,263
Amancio 2007,264
Gines Liebana Pedro Ximenez 1910,265
Reserva Particular de Recaredo Brut Nature 2008,266
Priorat 2008,267
Valbuena 5o 1983,268
Don PX Seleccion 1965,269
L'Ermita Velles Vinyes Priorat 2001,270
Reserva 2017,271
Finca Las Naves 2016,272
AAA 2008,273
Vina del Olivo 2001,274
L'Ermita Velles Vinyes Priorat 2010,275
Dalmau Rioja 2001,276
Les Aubaguetes Priorat 2016,277
Cava Enoteca Finca La Plana Brut Nature 2001,278
Aquilon Garnacha 2016,279
Gran Reserva Penas Aladas 2014,280
Pena Lobera 2016,281
La Creu Alta 2014,282
Son Negre 2007,283
1902 Centenary Carignan Priorat 2017,284
Unico 1961,285
Casa Cisca Monastrell 2016,286
