wine_id,body_id
1,1.0
2,2.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
9,1.0
3,1.0
9,1.0
12,1.0
9,1.0
3,1.0
15,1.0
16,1.0
3,1.0
9,1.0
19,2.0
9,1.0
21,2.0
9,1.0
23,1.0
15,1.0
9,1.0
3,1.0
27,1.0
28,2.0
9,1.0
9,1.0
31,1.0
9,1.0
15,1.0
34,1.0
35,1.0
1,1.0
23,1.0
1,1.0
28,2.0
40,2.0
1,1.0
28,2.0
1,1.0
44,2.0
45,2.0
28,2.0
9,1.0
48,1.0
48,1.0
48,1.0
3,1.0
3,1.0
3,1.0
3,1.0
48,1.0
3,1.0
3,1.0
3,1.0
48,1.0
48,1.0
3,1.0
3,1.0
3,1.0
9,1.0
3,1.0
16,1.0
3,1.0
3,1.0
9,1.0
12,1.0
19,2.0
19,2.0
9,1.0
74,74.0
19,2.0
19,2.0
77,2.0
3,1.0
9,1.0
80,1.0
23,1.0
3,1.0
83,1.0
23,1.0
23,1.0
19,2.0
87,1.0
88,1.0
3,1.0
90,2.0
91,2.0
92,2.0
3,1.0
77,2.0
3,1.0
3,1.0
23,1.0
9,1.0
23,1.0
3,1.0
28,2.0
102,1.0
9,1.0
104,1.0
48,1.0
28,2.0
107,1.0
9,1.0
109,1.0
110,1.0
3,1.0
15,1.0
3,1.0
91,2.0
3,1.0
107,1.0
1,1.0
118,2.0
9,1.0
120,2.0
121,
3,1.0
123,2.0
28,2.0
19,2.0
120,2.0
9,1.0
28,2.0
129,2.0
130,130.0
9,1.0
132,2.0
104,1.0
134,2.0
45,2.0
136,2.0
137,2.0
27,1.0
77,2.0
140,2.0
15,1.0
87,1.0
143,1.0
144,2.0
145,1.0
146,1.0
2,2.0
148,
149,130.0
90,2.0
35,1.0
152,2.0
153,1.0
154,1.0
155,2.0
28,2.0
157,
158,2.0
48,1.0
48,1.0
48,1.0
48,1.0
48,1.0
48,1.0
165,1.0
166,1.0
166,1.0
158,2.0
165,1.0
48,1.0
171,1.0
166,1.0
48,1.0
48,1.0
107,1.0
107,1.0
177,1.0
83,1.0
48,1.0
80,1.0
23,1.0
16,1.0
23,1.0
184,1.0
83,1.0
23,1.0
90,2.0
90,2.0
23,1.0
77,2.0
2,2.0
23,1.0
123,2.0
123,2.0
91,2.0
196,2.0
3,1.0
198,2.0
199,1.0
23,1.0
201,2.0
177,1.0
104,1.0
83,1.0
48,1.0
23,1.0
2,2.0
104,1.0
2,2.0
28,2.0
211,2.0
2,2.0
3,1.0
91,2.0
102,1.0
28,2.0
107,1.0
48,1.0
219,1.0
48,1.0
91,2.0
2,2.0
223,2.0
224,2.0
92,2.0
226,2.0
9,1.0
87,1.0
90,2.0
28,2.0
231,2.0
2,2.0
3,1.0
234,1.0
23,1.0
28,2.0
2,2.0
238,2.0
3,1.0
1,1.0
241,1.0
2,2.0
243,2.0
9,1.0
184,1.0
246,74.0
247,1.0
110,1.0
23,1.0
250,1.0
177,1.0
3,1.0
1,1.0
254,2.0
255,
104,1.0
257,2.0
123,2.0
1,1.0
260,1.0
261,1.0
158,2.0
48,1.0
264,1.0
265,1.0
266,2.0
267,2.0
268,2.0
109,1.0
270,2.0
271,1.0
149,130.0
132,2.0
48,1.0
275,1.0
28,2.0
277,1.0
278,2.0
279,2.0
280,2.0
28,2.0
196,2.0
283,2.0
284,130.0
110,1.0
286,1.0
287,1.0
238,2.0
289,
290,2.0
120,2.0
3,1.0
293,1.0
294,74.0
295,2.0
23,1.0
297,2.0
298,2.0
299,2.0
48,1.0
301,2.0
302,2.0
303,1.0
304,
120,2.0
306,2.0
307,2.0
265,1.0
2,2.0
310,2.0
132,2.0
270,2.0
313,
109,1.0
9,1.0
198,2.0
317,74.0
1,2.0
121,
238,2.0
321,2.0
322,1.0
275,1.0
324,74.0
286,1.0
326,2.0
327,1.0
328,2.0
329,2.0
330,2.0
331,2.0
332,2.0
28,2.0
322,1.0
301,2.0
336,2.0
337,2.0
338,2.0
44,2.0
340,2.0
341,
290,2.0
241,1.0
28,2.0
345,2.0
346,1.0
347,2.0
348,130.0
27,1.0
1,1.0
165,1.0
165,1.0
353,1.0
1,1.0
165,1.0
353,1.0
1,1.0
166,1.0
158,2.0
45,2.0
158,2.0
353,1.0
171,1.0
166,1.0
365,2.0
171,1.0
171,1.0
171,1.0
365,2.0
365,2.0
166,1.0
1,1.0
337,2.0
1,1.0
365,2.0
376,1.0
377,1.0
48,1.0
337,2.0
165,1.0
381,74.0
377,1.0
277,1.0
171,1.0
385,2.0
386,2.0
385,2.0
45,2.0
381,74.0
132,2.0
391,1.0
392,2.0
337,2.0
107,1.0
80,1.0
132,2.0
196,2.0
277,1.0
377,1.0
45,2.0
365,2.0
402,2.0
153,2.0
404,2.0
405,1.0
199,1.0
407,1.0
257,2.0
409,2.0
48,1.0
411,1.0
45,2.0
413,1.0
199,1.0
407,1.0
416,1.0
417,2.0
123,2.0
132,2.0
416,1.0
224,2.0
107,1.0
257,2.0
277,1.0
425,2.0
426,2.0
241,1.0
184,1.0
426,2.0
270,2.0
431,2.0
257,2.0
1,1.0
165,1.0
402,2.0
48,1.0
1,1.0
199,1.0
1,2.0
440,1.0
154,1.0
442,2.0
443,1.0
280,2.0
171,1.0
446,2.0
132,2.0
448,2.0
449,1.0
303,1.0
154,1.0
452,2.0
35,1.0
454,74.0
264,1.0
456,2.0
457,2.0
381,74.0
353,1.0
460,2.0
198,2.0
462,1.0
463,74.0
241,1.0
465,2.0
246,74.0
130,130.0
270,2.0
154,1.0
470,2.0
154,1.0
130,130.0
129,2.0
277,1.0
270,2.0
476,1.0
2,2.0
478,
35,1.0
457,2.0
481,2.0
482,1.0
165,1.0
48,1.0
290,2.0
409,2.0
487,1.0
488,1.0
489,
129,2.0
104,1.0
1,1.0
493,2.0
494,1.0
495,1.0
496,2.0
487,1.0
198,2.0
499,1.0
500,2.0
416,1.0
402,2.0
503,130.0
283,2.0
88,1.0
506,2.0
196,2.0
508,2.0
509,1.0
510,2.0
511,2.0
328,2.0
118,2.0
495,1.0
515,130.0
516,2.0
290,2.0
518,2.0
519,2.0
198,2.0
452,2.0
80,1.0
91,2.0
1,1.0
525,74.0
129,2.0
132,2.0
528,1.0
35,1.0
481,2.0
306,2.0
532,1.0
238,2.0
534,2.0
386,2.0
536,2.0
537,2.0
538,2.0
1,1.0
155,2.0
541,1.0
132,2.0
328,2.0
544,1.0
500,2.0
546,74.0
153,2.0
548,2.0
448,2.0
286,1.0
129,2.0
3,1.0
553,2.0
554,2.0
555,2.0
556,1.0
557,2.0
279,2.0
1,1.0
321,2.0
153,2.0
562,1.0
407,1.0
265,2.0
565,1.0
566,1.0
567,1.0
568,2.0
569,130.0
570,74.0
405,1.0
572,1.0
573,2.0
28,2.0
129,2.0
243,2.0
478,
578,1.0
219,1.0
132,2.0
581,1.0
153,2.0
196,2.0
290,2.0
585,2.0
102,1.0
587,74.0
588,2.0
