wine_id,designation_id
1,1
2,2
3,3
3,4
3,5
3,6
3,7
3,8
9,9
3,10
9,11
12,12
9,13
3,14
15,15
16,16
3,17
9,18
19,19
9,20
21,21
9,22
23,23
15,24
9,25
3,26
27,27
28,28
9,29
9,30
31,31
9,32
15,33
34,34
35,35
1,36
23,37
1,38
28,39
40,40
1,41
28,42
1,43
44,44
45,45
28,46
9,47
48,48
48,49
48,50
3,51
3,52
3,53
3,54
48,55
3,56
3,57
3,58
48,59
48,60
3,61
3,62
3,63
9,64
3,65
16,66
3,67
3,68
9,69
12,70
19,71
19,72
9,73
74,74
19,75
19,76
77,77
3,78
9,79
80,80
23,81
3,82
83,83
23,84
23,85
19,86
87,87
88,88
3,89
90,90
91,91
92,92
3,93
77,94
3,95
3,96
23,97
9,98
23,99
3,100
28,101
102,102
9,103
104,104
48,105
28,106
107,107
9,108
109,109
110,110
3,111
15,112
3,113
91,114
3,115
107,116
1,117
118,118
9,119
120,120
121,121
3,122
123,123
28,124
19,125
120,126
9,127
28,128
129,129
130,130
9,131
132,132
104,133
134,134
45,135
136,136
137,137
27,138
77,139
140,140
15,141
87,142
143,143
144,144
145,145
146,146
2,147
148,148
149,149
90,150
35,151
152,152
153,153
154,154
155,155
28,156
157,157
158,158
48,159
48,160
48,161
48,162
48,163
48,164
165,165
166,166
166,167
158,168
165,169
48,170
171,171
166,172
48,173
48,174
107,175
107,176
177,177
83,178
48,179
80,180
23,181
16,182
23,183
184,184
83,185
23,186
90,187
90,188
23,189
77,190
2,191
23,192
123,193
123,194
91,195
196,196
3,197
198,198
199,199
23,200
201,201
177,202
104,203
83,204
48,205
23,206
2,207
104,208
2,209
28,210
211,211
2,212
3,213
91,214
102,215
28,216
107,217
48,218
219,219
48,220
91,221
2,222
223,223
224,224
92,225
226,226
9,227
87,228
90,229
28,230
231,231
2,232
3,233
234,234
23,235
28,236
2,237
238,238
3,239
1,240
241,241
2,242
243,243
9,244
184,245
246,246
247,247
110,248
23,249
250,250
177,251
3,252
1,240
254,254
255,255
104,256
257,257
123,258
1,259
260,260
261,261
158,262
48,263
264,264
265,265
266,266
267,267
268,268
109,269
270,270
271,271
149,272
132,273
48,274
275,275
28,276
277,277
278,278
279,279
280,280
28,281
196,282
283,283
284,284
110,285
286,286
287,287
238,288
289,289
290,290
120,291
3,292
293,293
294,294
295,295
23,296
297,297
298,298
299,299
48,300
301,301
302,302
303,303
304,304
120,305
306,306
307,307
265,308
2,309
310,310
132,311
270,312
313,313
109,314
9,315
198,316
317,317
1,240
121,319
238,320
321,321
322,322
275,323
324,324
286,325
326,326
327,327
328,328
329,329
330,330
331,331
332,332
28,333
322,334
301,335
336,336
337,337
338,338
44,339
340,340
341,341
290,342
241,343
28,344
345,345
346,346
347,347
348,348
27,349
1,350
165,351
165,352
353,353
1,354
165,355
353,356
1,357
166,358
158,359
45,360
158,361
353,362
171,363
166,364
365,365
171,366
171,367
171,368
365,369
365,370
166,371
1,240
337,373
1,354
365,375
376,376
377,377
48,378
337,379
165,380
381,381
377,382
277,383
171,384
385,385
386,386
385,387
45,388
381,389
132,390
391,391
392,392
337,393
107,394
80,395
132,396
196,397
277,398
377,399
45,400
365,401
402,402
153,403
404,404
405,405
199,406
407,407
257,408
409,409
48,410
411,411
45,412
413,413
199,414
407,415
416,416
417,417
123,418
132,419
416,420
224,421
107,422
257,423
277,424
425,425
426,426
241,427
184,428
426,429
270,430
431,431
257,432
1,38
165,434
402,435
48,436
1,354
199,438
1,1
440,440
154,441
442,442
443,443
280,444
171,445
446,446
132,311
448,448
449,449
303,450
154,451
452,452
35,453
454,454
264,455
456,456
457,457
381,458
353,459
460,460
198,461
462,462
463,463
241,464
465,465
246,466
130,467
270,468
154,469
470,470
154,471
130,472
129,473
277,474
270,475
476,476
2,477
478,478
35,479
457,480
481,481
482,482
165,483
48,484
290,485
409,486
487,487
488,488
489,489
129,490
104,491
1,41
493,493
494,494
495,495
496,496
487,497
198,498
499,499
500,500
416,501
402,502
503,503
283,504
88,505
506,506
196,507
508,508
509,509
510,510
511,511
328,512
118,513
495,514
515,515
516,516
290,517
518,518
519,519
198,520
452,521
80,522
91,523
1,117
525,525
129,526
132,527
528,528
35,529
481,530
306,531
532,532
238,533
534,534
386,535
536,536
537,537
538,538
1,36
155,540
541,541
132,542
328,543
544,544
500,545
546,546
153,547
548,548
448,549
286,550
129,551
3,552
553,553
554,554
555,555
556,556
557,557
279,558
1,559
321,560
153,561
562,562
407,563
