designation,designation_id
Tinto 2013,1
Vina El Pison 2018,2
Unico 2009,3
Unico 1999,4
Unico 1996,5
Unico 1998,6
Unico 2010,7
Unico 1995,8
Unico Reserva Especial Edicion 2015,9
Unico 2011,10
Unico Reserva Especial Edicion 2016,11
El Anejon 2016,12
Unico Reserva Especial Edicion 2018,13
Unico 1970,14
Don PX Convento Seleccion 1946,15
Cuesta de Las Liebres 2015,16
Unico 1962,17
Unico Reserva Especial Edicion 2019,18
El Nido 2018,19
Unico Reserva Especial Edicion 2004,20
Toneles Moscatel N.V.,21
Unico Reserva Especial Edicion 2013,22
Pingus 2016,23
Don PX Convento Seleccion 1931,24
Unico Reserva Especial Edicion 2010,25
Unico 1979,26
Don PX Pedro Ximenez 1946,27
L'Ermita Velles Vinyes Priorat 2004,28
Unico Reserva Especial Edicion 2005,29
Unico Reserva Especial Edicion 2020,30
Vatan Arena Tinta de Toro 2014,31
Unico Reserva Especial Edicion 1985,32
Don PX Convento Seleccion 1929,33
Ribera Del Duero Gran Reserva 12 Anos 1999,34
Pesus Ribera del Duero 2007,35
Tinto 2012,36
Pingus 2017,37
Tinto 2009,38
L'Ermita Velles Vinyes Priorat 2008,39
Magico 2016,40
Tinto 2011,41
L'Ermita Velles Vinyes Priorat 2017,42
Tinto 2015,43
La Faraona Bierzo (Corullon) 2017,44
Gran Reserva 890 1985,45
L'Ermita Velles Vinyes Priorat 2018,46
Unico Reserva Especial Edicion nan,47
Valbuena 5o 2010,48
Valbuena 5o 2014,49
Valbuena 5o 2006,50
Unico 2005,51
Unico 2004,52
Unico 2000,53
Unico 2007,54
Valbuena 5o 2015,55
Unico 2006,56
Unico 2008,57
Unico 2003,58
Valbuena 5o 2016,59
Valbuena 5o 2005,60
Unico 2002,61
Unico 1991,62
Unico 1994,63
Unico Reserva Especial Edicion 2000,64
Unico 1990,65
Cuesta de Las Liebres 2014,66
Unico 1989,67
Unico 1987,68
Unico Reserva Especial Edicion 2017,69
El Anejon 2015,70
El Nido 2014,71
El Nido 2013,72
Unico Reserva Especial Edicion 1996,73
Castillo Ygay Gran Reserva Especial Blanco 1986,74
El Nido 2016,75
El Nido 2008,76
La Nieta 2015,77
Unico 1981,78
Unico Reserva Especial Edicion 2007,79
Malleolus de Valderramiro 2016,80
Pingus 2001,81
Unico 1986,82
Malleolus de Sanchomartin 2016,83
Pingus 2004,84
Pingus 2006,85
El Nido 2017,86
Alabaster 2016,87
La Mula de la Quietud 2015,88
Unico 1985,89
Terreus Paraje de Cueva Baja 2017,90
Contador Rioja 2012,91
Maria Remirez de Ganuza 2006,92
Unico 1968,93
La Nieta 2018,94
Unico 1964,95
Unico 1982,96
Pingus 2015,97
Unico Reserva Especial Edicion 1995,98
Pingus 1999,99
Unico 1974,100
L'Ermita Velles Vinyes Priorat 1998,101
Cartago Paraje de Pozo 2015,102
Unico Reserva Especial Edicion 2012,103
Parcela El Picon Tinto 2009,104
Valbuena 5o 2017,105
L'Ermita Velles Vinyes Priorat 2000,106
Termanthia 2005,107
Unico Reserva Especial Edicion 2011,108
Clon De La Familia 2010,109
Aquilon Garnacha 2011,110
Unico 1983,111
Don PX Convento Seleccion 1955,112
Unico 1980,113
Contador Rioja 2005,114
Unico 1972,115
Termanthia 2004,116
Tinto 2010,117
Quinon de Valmira 2015,118
Unico Reserva Especial Edicion 1987,119
1902 Centenary Carignan Priorat 2015,120
Tintilla de Rota 2016,121
Unico 1953,122
Cirsion Rioja 2000,123
L'Ermita Velles Vinyes Priorat 2015,124
El Nido 2019,125
1902 Centenary Carignan Priorat 2013,126
Unico Reserva Especial Edicion 2006,127
L'Ermita Velles Vinyes Priorat 2005,128
Cami Pesseroles 2006,129
Turo d'en Mota 2007,130
Unico Reserva Especial Edicion 1986,131
Priorat 2007,132
Parcela El Picon Tinto 2016,133
Reliquia Palo Cortado Sherry N.V.,134
Gran Reserva 890 1982,135
Anada Palo Cortado 1987 1987,136
Daphne Glorian Red 2007,137
Don PX Pedro Ximenez 1955,138
La Nieta 2019,139
El Regollar 2016,140
Don PX Convento Seleccion 1958,141
Alabaster 2018,142
Abuelo Diego Palo Cortado N.V.,143
La Bota 78 de Oloroso N.V.,144
Touran 2018,145
Luthier Gran Reserva 2012,146
Vina El Pison 1995,147
Sorte O Soro Val do Bibei 2019,148
Reserva Particular de Recaredo Brut Nature 2011,149
Terreus Paraje de Cueva Baja 2019,150
Pesus Ribera del Duero 2004,151
Usted 2010,152
Gran Reserva 2001,153
Regina Vides Ribera del Duero 1998,154
La Loma 2018,155
L'Ermita Velles Vinyes Priorat 2016,156
Recondita Armonia Monastrell Dulce 1987,157
Castillo Ygay Gran Reserva Especial Tinto 1942,158
Valbuena 5o 2011,159
Valbuena 5o 2012,160
Valbuena 5o 2008,161
Valbuena 5o 2007,162
Valbuena 5o 2013,163
Valbuena 5o 2009,164
Ribera del Duero 2016,165
PS (Pagos Seleccionados) Ribera del Duero 2017,166
PS (Pagos Seleccionados) Ribera del Duero 2018,167
Castillo Ygay Gran Reserva Especial Tinto 2010,168
Ribera del Duero 2017,169
Valbuena 5o 2004,170
Flor de Pingus 2018,171
PS (Pagos Seleccionados) Ribera del Duero 2019,172
Valbuena 5o 2000,173
Valbuena 5o 2002,174
Termanthia 2012,175
Termanthia 2011,176
Pago De Valtarrena 2015,177
Malleolus de Sanchomartin 2011,178
Valbuena 5o 1999,179
Malleolus de Valderramiro 2015,180
Pingus 2010,181
Cuesta de Las Liebres 2010,182
Pingus 2012,183
El Titan del Bendito 2015,184
Malleolus de Sanchomartin 2015,185
Pingus 2013,186
Terreus Paraje de Cueva Baja 2015,187
Terreus Paraje de Cueva Baja 2016,188
Pingus 2005,189
La Nieta 2017,190
Vina El Pison 2006,191
Pingus 1998,192
Cirsion Rioja 2007,193
Cirsion Rioja 2012,194
Contador Rioja 2011,195
Dalmau Rioja 2017,196
Unico 1965,197
Finca el Bosque 2015,198
Pago de Santa Cruz 2018,199
Pingus 2003,200
Clos Fonta Priorat 2004,201
Pago De Valtarrena 2016,202
Parcela El Picon Tinto 2014,203
Malleolus de Sanchomartin 2014,204
Valbuena 5o 1992,205
Pingus 2014,206
Vina El Pison 2010,207
Parcela El Picon Tinto 2012,208
Vina El Pison 2011,209
L'Ermita Velles Vinyes Priorat 1999,210
Cuvee N Vinas Viejas 2015,211
Vina El Pison 2012,212
Unico 1973,213
Contador Rioja 2014,214
Cartago Paraje de Pozo 2014,215
L'Ermita Velles Vinyes Priorat 1996,216
Termanthia 2014,217
Valbuena 5o 1985,218
Ribera del Duero Prestigio Pago de las Solanas 2001,219
Valbuena 5o 1989,220
Contador Rioja 2015,221
Vina El Pison 2005,222
Nit de Nin Mas d'en Cacador 2011,223
VS 2018,224
Maria Remirez de Ganuza 2005,225
Blecua Somontano 2013,226
Unico Reserva Especial Edicion 1989,227
Alabaster 2017,228
Terreus Paraje de Cueva Baja 2018,229
L'Ermita Velles Vinyes Priorat 1997,230
Frank Gehry Selection 2001,231
Vina El Pison 2014,232
Unico 1967,233
Amaya Arzuaga (Coleccion) 2016,234
Pingus 2000,235
L'Ermita Velles Vinyes Priorat 1995,236
Vina El Pison 2015,237
La Creu Alta 2013,238
Unico 1975,239
Tinto 2019,240
5o Ano Ribera del Duero Tinto 2016,241
Vina El Pison 2009,242
Planots Priorat 2010,243
Unico Reserva Especial Edicion 2009,244
El Titan del Bendito 2018,245
Capitel 2018,246
Gran Arzuaga Ribera del Duero 2004,247
Aquilon Garnacha 2015,248
Pingus 1996,249
Horcajo 2015,250
Pago De Valtarrena 2018,251
Unico 2012,252
Aurus 2005,254
Dolc de L'Obac 2006,255
Parcela El Picon Tinto 2011,256
Trasnocho 2013,257
Cirsion Rioja 2017,258
Tinto 2008,259
Doroteo Edicion Especial 25 Aniversario 2015,260
Tierra Alta de 2 Racimos Gran Reserva 2011,261
Castillo Ygay Gran Reserva Especial Tinto 2011,262
Valbuena 5o 1980,263
Reserva Especial Ribera del Duero 2016,264
Reserva Especial 2015,265
Gran Buig Priorat 2004,266
Finca Garbet 2014,267
Solera India Oloroso Rare Sherry N.V.,268
Clon De La Familia 2011,269
Amancio 2007,270
Gines Liebana Pedro Ximenez 1910,271
Reserva Particular de Recaredo Brut Nature 2008,272
Priorat 2008,273
Valbuena 5o 1983,274
Don PX Seleccion 1965,275
L'Ermita Velles Vinyes Priorat 2001,276
Reserva 2017,277
Finca Las Naves 2016,278
AAA 2008,279
Vina del Olivo 2001,280
L'Ermita Velles Vinyes Priorat 2010,281
Dalmau Rioja 2001,282
Les Aubaguetes Priorat 2016,283
Cava Enoteca Finca La Plana Brut Nature 2001,284
Aquilon Garnacha 2016,285
