wine_id,type_id
1,1.0
2,2.0
3,3.0
3,3.0
3,3.0
3,3.0
3,3.0
3,3.0
9,3.0
3,3.0
9,3.0
12,3.0
9,3.0
3,3.0
15,15.0
16,3.0
3,3.0
9,3.0
19,19.0
9,3.0
21,21.0
9,3.0
23,3.0
15,15.0
9,3.0
3,3.0
27,15.0
28,28.0
9,3.0
9,3.0
31,1.0
9,3.0
15,15.0
34,3.0
35,3.0
1,1.0
23,3.0
1,1.0
28,28.0
40,40.0
1,1.0
28,28.0
1,1.0
44,19.0
45,40.0
28,28.0
9,3.0
48,3.0
48,3.0
48,3.0
3,3.0
3,3.0
3,3.0
3,3.0
48,3.0
3,3.0
3,3.0
3,3.0
48,3.0
48,3.0
3,3.0
3,3.0
3,3.0
9,3.0
3,3.0
16,3.0
3,3.0
3,3.0
9,3.0
12,3.0
19,19.0
19,19.0
9,3.0
74,74.0
19,19.0
19,19.0
77,40.0
3,3.0
9,3.0
80,3.0
23,3.0
3,3.0
83,3.0
23,3.0
23,3.0
19,19.0
87,1.0
88,1.0
3,3.0
90,2.0
91,40.0
92,40.0
3,3.0
77,40.0
3,3.0
3,3.0
23,3.0
9,3.0
23,3.0
3,3.0
28,28.0
102,1.0
9,3.0
104,3.0
48,3.0
28,28.0
107,1.0
9,3.0
109,3.0
110,110.0
3,3.0
15,15.0
3,3.0
91,40.0
3,3.0
107,1.0
1,1.0
118,40.0
9,3.0
120,28.0
121,
3,3.0
123,40.0
28,28.0
19,19.0
120,28.0
9,3.0
28,28.0
129,28.0
130,130.0
9,3.0
132,28.0
104,3.0
134,21.0
45,40.0
136,21.0
137,19.0
27,15.0
77,40.0
140,40.0
15,15.0
87,1.0
143,15.0
144,21.0
145,110.0
146,3.0
2,2.0
148,
149,130.0
90,2.0
35,3.0
152,19.0
153,3.0
154,3.0
155,40.0
28,28.0
157,
158,40.0
48,3.0
48,3.0
48,3.0
48,3.0
48,3.0
48,3.0
165,3.0
166,3.0
166,3.0
158,40.0
165,3.0
48,3.0
171,3.0
166,3.0
48,3.0
48,3.0
107,1.0
107,1.0
177,3.0
83,3.0
48,3.0
80,3.0
23,3.0
16,3.0
23,3.0
184,1.0
83,3.0
23,3.0
90,2.0
90,2.0
23,3.0
77,40.0
2,2.0
23,3.0
123,40.0
123,40.0
91,40.0
196,40.0
3,3.0
198,40.0
199,3.0
23,3.0
201,28.0
177,3.0
104,3.0
83,3.0
48,3.0
23,3.0
2,2.0
104,3.0
2,2.0
28,28.0
211,19.0
2,2.0
3,3.0
91,40.0
102,1.0
28,28.0
107,1.0
48,3.0
219,3.0
48,3.0
91,40.0
2,2.0
223,28.0
224,2.0
92,40.0
226,19.0
9,3.0
87,1.0
90,2.0
28,28.0
231,2.0
2,2.0
3,3.0
234,3.0
23,3.0
28,28.0
2,2.0
238,28.0
3,3.0
1,3.0
241,3.0
2,2.0
243,28.0
9,3.0
184,1.0
246,246.0
247,3.0
110,110.0
23,3.0
250,3.0
177,3.0
3,3.0
1,3.0
254,40.0
255,
104,3.0
257,40.0
123,40.0
1,1.0
260,3.0
261,3.0
158,40.0
48,3.0
264,3.0
265,3.0
266,28.0
267,267.0
268,21.0
109,3.0
270,40.0
271,15.0
149,130.0
132,28.0
48,3.0
275,15.0
28,28.0
277,3.0
278,40.0
279,19.0
280,40.0
28,28.0
196,40.0
283,28.0
284,130.0
110,110.0
286,3.0
287,3.0
238,28.0
289,
290,19.0
120,28.0
3,3.0
293,293.0
294,294.0
295,19.0
23,3.0
297,40.0
298,40.0
299,21.0
48,3.0
301,19.0
302,40.0
303,3.0
304,
120,28.0
306,2.0
307,40.0
265,3.0
2,2.0
310,28.0
132,28.0
270,40.0
313,
109,3.0
9,3.0
198,40.0
317,294.0
1,40.0
121,
238,28.0
321,40.0
322,3.0
275,15.0
324,246.0
286,3.0
326,28.0
327,3.0
328,2.0
329,19.0
330,40.0
331,19.0
332,19.0
28,28.0
322,3.0
301,19.0
336,19.0
337,40.0
338,28.0
44,19.0
340,19.0
341,
290,19.0
241,3.0
28,28.0
345,28.0
346,3.0
347,21.0
348,348.0
27,15.0
1,3.0
165,3.0
165,3.0
353,1.0
1,3.0
165,3.0
353,1.0
1,3.0
166,3.0
158,40.0
45,40.0
158,40.0
353,1.0
171,3.0
166,3.0
365,19.0
171,3.0
171,3.0
171,3.0
365,19.0
365,19.0
166,3.0
1,3.0
337,40.0
1,3.0
365,19.0
376,110.0
377,3.0
48,3.0
337,40.0
165,3.0
381,246.0
377,3.0
277,3.0
171,3.0
385,40.0
386,40.0
385,40.0
45,40.0
381,246.0
132,28.0
391,15.0
392,40.0
337,40.0
107,1.0
80,3.0
132,28.0
196,40.0
277,3.0
377,3.0
45,40.0
365,19.0
402,40.0
153,40.0
404,40.0
405,3.0
199,3.0
407,3.0
257,40.0
409,28.0
48,3.0
411,3.0
45,40.0
413,3.0
199,3.0
407,3.0
416,293.0
417,40.0
123,40.0
132,28.0
416,293.0
224,2.0
107,1.0
257,40.0
277,3.0
425,40.0
426,19.0
241,3.0
184,1.0
426,19.0
270,40.0
431,28.0
257,40.0
1,3.0
165,3.0
402,40.0
48,3.0
1,3.0
199,3.0
1,439.0
440,3.0
154,3.0
442,28.0
443,3.0
280,40.0
171,3.0
446,28.0
132,28.0
448,40.0
449,3.0
303,3.0
154,3.0
452,19.0
35,3.0
454,454.0
264,3.0
456,21.0
457,267.0
381,246.0
353,1.0
460,40.0
198,40.0
462,15.0
463,74.0
241,3.0
465,40.0
246,246.0
130,130.0
270,40.0
154,3.0
470,19.0
154,3.0
130,130.0
129,28.0
277,3.0
270,40.0
476,3.0
2,2.0
478,
35,3.0
457,267.0
481,28.0
482,3.0
165,3.0
48,3.0
290,19.0
409,28.0
487,3.0
488,3.0
489,
129,28.0
104,3.0
1,3.0
493,40.0
494,3.0
495,3.0
496,40.0
487,3.0
198,40.0
499,3.0
500,40.0
416,293.0
402,40.0
503,130.0
283,28.0
88,1.0
506,506.0
196,40.0
508,506.0
509,15.0
510,19.0
511,2.0
328,2.0
118,40.0
495,3.0
515,348.0
516,19.0
290,19.0
518,21.0
519,21.0
198,40.0
452,19.0
80,3.0
91,40.0
1,3.0
525,74.0
129,28.0
132,28.0
528,3.0
35,3.0
481,28.0
306,2.0
532,3.0
238,28.0
534,28.0
386,40.0
536,40.0
537,2.0
538,28.0
1,3.0
155,40.0
541,3.0
132,28.0
328,2.0
544,3.0
500,40.0
546,74.0
153,40.0
548,21.0
448,40.0
286,3.0
129,28.0
3,3.0
553,28.0
554,19.0
555,2.0
556,3.0
557,40.0
279,19.0
1,3.0
321,40.0
153,40.0
562,15.0
407,3.0
265,19.0
565,1.0
566,293.0
567,3.0
568,40.0
569,130.0
570,246.0
405,3.0
572,3.0
573,19.0
28,28.0
129,28.0
243,28.0
478,
578,3.0
219,3.0
132,28.0
581,3.0
153,40.0
196,40.0
290,19.0
585,40.0
102,1.0
587,294.0
588,19.0
