wine_id,winery_id
1,1
2,2
3,3
3,3
3,3
3,3
3,3
3,3
9,3
3,3
9,3
12,12
9,3
3,3
15,15
16,12
3,3
9,3
19,19
9,3
21,21
9,3
23,23
15,15
9,3
3,3
27,15
28,28
9,3
9,3
31,31
9,3
15,15
34,34
35,35
1,1
23,23
1,1
28,28
40,40
1,1
28,28
1,1
44,44
45,45
28,28
9,3
48,3
48,3
48,3
3,3
3,3
3,3
3,3
48,3
3,3
3,3
3,3
48,3
48,3
3,3
3,3
3,3
9,3
3,3
16,12
3,3
3,3
9,3
12,12
19,19
19,19
9,3
74,74
19,19
19,19
77,77
3,3
9,3
80,80
23,23
3,3
83,80
23,23
23,23
19,19
87,1
88,88
3,3
90,90
91,91
92,92
3,3
77,77
3,3
3,3
23,23
9,3
23,23
3,3
28,28
102,102
9,3
104,104
48,3
28,28
107,107
9,3
109,80
110,110
3,3
15,15
3,3
91,91
3,3
107,107
1,1
118,28
9,3
120,120
121,121
3,3
123,123
28,28
19,19
120,120
9,3
28,28
129,129
130,130
9,3
132,132
104,104
134,134
45,45
136,136
137,132
27,15
77,77
140,140
15,15
87,1
143,143
144,144
145,145
146,146
2,2
148,148
149,130
90,90
35,35
152,152
153,153
154,35
155,155
28,28
157,157
158,74
48,3
48,3
48,3
48,3
48,3
48,3
165,165
166,166
166,166
158,74
165,165
48,3
171,23
166,166
48,3
48,3
107,107
107,107
177,177
83,80
48,3
80,80
23,23
16,12
23,23
184,184
83,80
23,23
90,90
90,90
23,23
77,77
2,2
23,23
123,123
123,123
91,91
196,74
3,3
198,40
199,35
23,23
201,201
177,177
104,104
83,80
48,3
23,23
2,2
104,104
2,2
28,28
211,211
2,2
3,3
91,91
102,102
28,28
107,107
48,3
219,219
48,3
91,91
2,2
223,223
224,90
92,92
226,226
9,3
87,1
90,90
28,28
231,231
2,2
3,3
234,234
23,23
28,28
2,2
238,238
3,3
1,240
241,241
2,2
243,243
9,3
184,184
246,246
247,234
110,110
23,23
250,250
177,177
3,3
1,253
254,254
255,255
104,104
257,92
123,123
1,1
260,104
261,34
158,74
48,3
264,234
265,265
266,201
267,267
268,268
109,80
270,40
271,15
149,130
132,132
48,3
275,15
28,28
277,265
278,278
279,279
280,280
28,28
196,74
283,28
284,284
110,110
286,286
287,287
238,238
289,289
290,290
120,120
3,3
293,293
294,44
295,295
23,23
297,297
298,298
299,299
48,3
301,301
302,302
303,219
304,304
120,120
306,2
307,74
265,265
2,2
310,310
132,132
270,40
313,313
109,80
9,3
198,40
317,44
1,318
121,121
238,238
321,321
322,322
275,15
324,324
286,286
326,326
327,327
328,2
329,329
330,330
331,331
332,332
28,28
322,322
301,301
336,336
337,337
338,120
44,44
340,340
341,341
290,290
241,241
28,28
345,345
346,346
347,268
348,130
27,15
1,12
165,165
165,165
353,353
1,12
165,165
353,353
1,12
166,166
158,74
45,45
158,74
353,353
171,23
166,166
365,19
171,23
171,23
171,23
365,19
365,19
166,166
1,12
337,337
1,166
365,19
376,110
377,104
48,3
337,337
165,165
381,381
377,104
277,12
171,23
385,92
386,386
385,92
45,45
381,381
132,390
391,391
392,386
337,337
107,107
80,80
132,390
196,74
277,265
377,104
45,45
365,19
402,386
153,92
404,404
405,177
199,35
407,34
257,92
409,255
48,3
411,234
45,45
413,413
199,35
407,34
416,416
417,417
123,123
132,390
416,416
224,90
107,107
257,92
277,265
425,425
426,332
241,241
184,184
426,332
270,40
431,129
257,92
1,433
165,165
402,386
48,3
1,437
199,35
1,439
440,440
154,35
442,28
443,234
280,280
171,23
446,446
132,390
448,254
449,34
303,219
154,35
452,452
35,35
454,454
264,234
456,456
457,332
381,381
353,353
460,91
198,40
462,143
463,91
241,241
465,231
246,246
130,130
270,40
154,35
470,279
154,35
130,130
129,129
277,286
270,40
476,476
2,2
478,478
35,35
457,332
481,238
482,146
165,165
48,3
290,290
409,255
487,487
488,35
489,148
129,129
104,104
1,433
493,493
494,440
495,495
496,496
487,487
198,40
499,499
500,2
416,416
402,386
503,503
283,28
88,88
506,506
196,74
508,336
509,15
510,510
511,511
328,2
118,28
495,495
515,515
516,516
290,290
518,518
519,21
198,40
452,452
80,80
91,91
1,433
525,425
129,129
132,390
528,528
35,35
481,238
306,2
532,532
238,238
534,255
386,386
536,536
537,537
538,120
1,539
155,155
541,541
132,132
328,2
544,544
500,2
546,92
153,92
548,548
448,254
286,286
129,129
3,3
553,553
554,554
555,555
556,287
557,45
279,279
1,433
321,560
153,561
562,15
407,34
