winery_name,country,region,winery_id
Teso La Monja,Espana,Toro,1
Artadi,Espana,Vino de Espana,2
Vega Sicilia,Espana,Ribera del Duero,3
Pago de Carraovejas,Espana,Ribera del Duero,12
Toro Albala,Espana,Montilla-Moriles,15
Bodegas El Nido,Espana,Jumilla,19
Valdespino,Espana,Jerez-Xeres-Sherry,21
Dominio de Pingus,Espana,Ribera del Duero,23
Alvaro Palacios,Espana,Priorato,28
Ordonez,Espana,Toro,31
Bodegas Valduero,Espana,Ribera del Duero,34
Vina Sastre,Espana,Ribera del Duero,35
Sierra Cantabria,Espana,Rioja,40
Descendientes de J. Palacios,Espana,Bierzo,44
La Rioja Alta,Espana,Rioja,45
Marques de Murrieta,Espana,Rioja,74
Vinedos de Paganos,Espana,Rioja,77
Emilio Moro,Espana,Ribera del Duero,80
Quinta de la Quietud,Espana,Toro,88
Bodegas Mauro,Espana,Castilla y Leon,90
Bodega Contador (Benjamin Romeo),Espana,Rioja,91
Remirez de Ganuza,Espana,Rioja,92
Bodegas San Roman,Espana,Toro,102
Pago de Los Capellanes,Espana,Ribera del Duero,104
Bodega Numanthia,Espana,Toro,107
Alto Moncayo,Espana,Campo de Borja,110
Alvaro Palacios,Espana,Rioja,118
Mas Doix,Espana,Priorato,120
Finca Moncloa,Espana,Cadiz,121
Bodegas Roda,Espana,Rioja,123
Martinet,Espana,Priorato,129
Recaredo,Espana,Cava,130
Clos Erasmus,Espana,Priorato,132
Barbadillo,Espana,Jerez Palo Cortado,134
Gonzalez-Byass,Espana,Jerez Palo Cortado,136
Bodegas Amaren,Espana,Rioja,140
Alvear,Espana,Montilla-Moriles,143
Equipo Navazos,Espana,Manzanilla,144
Morca,Espana,Campo de Borja,145
Territorio Luthier,Espana,Ribera del Duero,146
Rafael Palacios,Espana,Valdeorras,148
Terra Remota,Espana,Emporda,152
Dehesa de Los Canonigos,Espana,Ribera del Duero,153
Miguel Merino,Espana,Rioja Alta,155
Gutierrez de la Vega,Espana,Alicante,157
Alion,Espana,Ribera del Duero,165
Aalto,Espana,Ribera del Duero,166
Carmelo Rodero,Espana,Ribera del Duero,177
Dominio del Bendito,Espana,Toro,184
Mas d'en Gil,Espana,Priorato,201
Casa Castillo,Espana,Jumilla,211
Matarromera,Espana,Ribera del Duero,219
Nin-Ortiz,Espana,Priorato,223
Vinas del Vero,Espana,Somontano,226
Marques de Riscal,Espana,Rioja,231
Arzuaga,Espana,Ribera del Duero,234
Bodegas Mas Alta,Espana,Priorato,238
Dominio de Calogia,Espana,Ribera del Duero,240
Tomas Postigo,Espana,Ribera del Duero,241
Cal Pla,Espana,Priorato,243
Ossian,Espana,Castilla y Leon,246
Cepa 21,Espana,Ribera del Duero,250
Bodegas Vilano,Espana,Ribera del Duero,253
