wine_name,year,rating,num_reviews,price,wine_id
Tinto,2013,4.9,58,995.0,1
Vina El Pison,2018,4.9,31,313.5,2
Unico,2009,4.8,1793,324.95,3
Unico,1999,4.8,1705,692.96,4
Unico,1996,4.8,1309,778.06,5
Unico,1998,4.8,1209,490.0,6
Unico,2010,4.8,1201,349.0,7
Unico,1995,4.8,926,810.89,8
Unico Reserva Especial Edicion,2015,4.8,643,345.0,9
Unico,2011,4.8,630,315.0,10
Unico Reserva Especial Edicion,2016,4.8,591,514.85,11
El Anejon,2016,4.8,454,105.15,12
Unico Reserva Especial Edicion,2018,4.8,438,430.0,13
Unico,1970,4.8,417,925.0,14
Don PX Convento Seleccion,1946,4.8,398,350.0,15
Cuesta de Las Liebres,2015,4.8,372,166.18,16
Unico,1962,4.8,295,1620.0,17
Unico Reserva Especial Edicion,2019,4.8,250,431.36,18
El Nido,2018,4.8,217,195.627379550654,19
Unico Reserva Especial Edicion,2004,4.8,211,824.43,20
Toneles Moscatel,N.V.,4.8,174,253.0,21
Unico Reserva Especial Edicion,2013,4.8,172,570.51,22
Pingus,2016,4.8,145,1280.0,23
Don PX Convento Seleccion,1931,4.8,139,244.85,24
Unico Reserva Especial Edicion,2010,4.8,125,719.34,25
Unico,1979,4.8,118,815.0,26
Don PX Pedro Ximenez,1946,4.8,103,285.86,27
L'Ermita Velles Vinyes Priorat,2004,4.8,87,1410.26,28
Unico Reserva Especial Edicion,2005,4.8,87,813.96,29
Unico Reserva Especial Edicion,2020,4.8,84,435.75,30
Vatan Arena Tinta de Toro,2014,4.8,79,369.05,31
Unico Reserva Especial Edicion,1985,4.8,70,1182.77,32
Don PX Convento Seleccion,1929,4.8,69,227.95,33
Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,999.0,34
Pesus Ribera del Duero,2007,4.8,68,360.0,35
Tinto,2012,4.8,56,1190.0,36
Pingus,2017,4.8,52,1150.0,37
Tinto,2009,4.8,50,950.0,38
L'Ermita Velles Vinyes Priorat,2008,4.8,40,1021.21,39
Magico,2016,4.8,40,544.5,40
Tinto,2011,4.8,32,1295.0,41
L'Ermita Velles Vinyes Priorat,2017,4.8,31,992.2,42
Tinto,2015,4.8,28,1289.44,43
La Faraona Bierzo (Corullon),2017,4.8,26,1098.9,44
Gran Reserva 890,1985,4.8,26,215.34,45
L'Ermita Velles Vinyes Priorat,2018,4.8,26,1094.9,46
Unico Reserva Especial Edicion,,4.7,12421,423.5,47
Valbuena 5o,2010,4.7,5266,239.5,48
Valbuena 5o,2014,4.7,4350,175.5,49
Valbuena 5o,2006,4.7,3929,194.0,50
Unico,2005,4.7,3437,381.15,51
Unico,2004,4.7,3164,584.43,52
Unico,2000,4.7,3127,555.2,53
Unico,2007,4.7,2935,445.28,54
Valbuena 5o,2015,4.7,2826,189.0,55
Unico,2006,4.7,2765,362.25,56
Unico,2008,4.7,2480,289.0,57
Unico,2003,4.7,2419,325.0,58
Valbuena 5o,2016,4.7,2177,107.57,59
Valbuena 5o,2005,4.7,1892,234.0,60
Unico,2002,4.7,1199,500.94,61
Unico,1991,4.7,1141,698.9,62
Unico,1994,4.7,940,872.47,63
Unico Reserva Especial Edicion,2000,4.7,935,877.85,64
Unico,1990,4.7,690,827.94,65
Cuesta de Las Liebres,2014,4.7,685,113.18,66
Unico,1989,4.7,675,679.72,67
Unico,1987,4.7,593,787.59,68
Unico Reserva Especial Edicion,2017,4.7,560,480.06,69
El Anejon,2015,4.7,543,75.1,70
El Nido,2014,4.7,511,154.9,71
El Nido,2013,4.7,476,145.0,72
Unico Reserva Especial Edicion,1996,4.7,442,290.0,73
Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,795.0,74
El Nido,2016,4.7,393,371.78009750522,75
El Nido,2008,4.7,347,134.19,76
La Nieta,2015,4.7,312,82.58,77
Unico,1981,4.7,308,873.86,78
Unico Reserva Especial Edicion,2007,4.7,303,774.4,79
Malleolus de Valderramiro,2016,4.7,300,84.95,80
Pingus,2001,4.7,295,940.0,81
Unico,1986,4.7,292,812.63,82
Malleolus de Sanchomartin,2016,4.7,291,116.54,83
Pingus,2004,4.7,285,1500.0,84
Pingus,2006,4.7,280,1190.0,85
El Nido,2017,4.7,268,154.85,86
Alabaster,2016,4.7,264,135.0,87
La Mula de la Quietud,2015,4.7,256,63.75,88
Unico,1985,4.7,254,827.94,89
Terreus Paraje de Cueva Baja,2017,4.7,251,66.07,90
Contador Rioja,2012,4.7,243,213.9,91
Maria Remirez de Ganuza,2006,4.7,240,234.9,92
Unico,1968,4.7,225,2087.25,93
