designation,wine,wine_year,avg_rating
"Toneles Moscatel N.V.",NULL,NULL,NULL
"Reliquia Palo Cortado Sherry N.V.",NULL,NULL,NULL
"Abuelo Diego Palo Cortado N.V.",NULL,NULL,NULL
"La Bota 78 de Oloroso N.V.",NULL,NULL,NULL
"Solera India Oloroso Rare Sherry N.V.",NULL,NULL,NULL
"Conde de Aldama Amontillado N.V.",NULL,NULL,NULL
"Solera BC-200 N.V.",NULL,NULL,NULL
"Pedro Ximenez Tradicion 20 Years Old Vos N.V.",NULL,NULL,NULL
"Cuatro Palmas Amontillado N.V.",NULL,NULL,NULL
"Solera 1830 Pedro Ximenez N.V.",NULL,NULL,NULL
"Fino Imperial Amontillado 30 Anos N.V.",NULL,NULL,NULL
"Coliseo Amontillado VORS N.V.",NULL,NULL,NULL
"Cayetano del Pino Viejisimo Palo Cortado N.V.",NULL,NULL,NULL
"Saca Unica N.V.",NULL,NULL,NULL
"Santa Ana Pedro Ximenez 1861 N.V.",NULL,NULL,NULL
"Palo Cortado Tradicion Vors 30 Years Sherry N.V.",NULL,NULL,NULL
"Amontillado Tradicion Vors 30 Years N.V.",NULL,NULL,NULL
"1730 Pedro Ximenez N.V.",NULL,NULL,NULL
"30 Years VORS Pedro Ximenez Sherry N.V.",NULL,NULL,NULL
"Palo Cortado 1/10 N.V.",NULL,NULL,NULL
"Sibarita Oloroso Jerez-Xeres-Sherry 30 Years V.O.R.S N.V.",NULL,NULL,NULL
"B.Rodriguez La-Cave Quo Vadis? N.V.",NULL,NULL,NULL
"Amontillado Saca N.V.",NULL,NULL,NULL
"Amontillado 30 Years Old V.O.R.S Sherry N.V.",NULL,NULL,NULL
"Old & Plus Pedro Ximenez N.V.",NULL,NULL,NULL
"Oloroso 30 Years Old V.O.R.S N.V.",NULL,NULL,NULL
"Solera PAP Palo Cortado Rare Sherry N.V.",NULL,NULL,NULL
"Oloroso N.V.",NULL,NULL,NULL
"30 Years V.O.R.S Very Old Palo Cortado Blend Medium Sherry N.V.",NULL,NULL,NULL
"La Bota 90 de Manzanilla Pasada N.V.",NULL,NULL,NULL
"Old & Plus Amontillado N.V.",NULL,NULL,NULL
"Matusalem Sherry VORS N.V.",NULL,NULL,NULL
"Apostoles 30 Years Old Sherry N.V.",NULL,NULL,NULL
"Don Guido Pedro Ximenez Solera Especial Aged 20 Years N.V.",NULL,NULL,NULL
"Oloroso Tradicion Vors 30 Years N.V.",NULL,NULL,NULL
"Pedro Ximenez Murillo Seleccion del Centenario N.V.",NULL,NULL,NULL
"Jerez-Xeres-Sherry 30 Year Old Oloroso VORS N.V.",NULL,NULL,NULL
"La Casilla Amontillado N.V.",NULL,NULL,NULL
"Palo Cortado N.V.",NULL,NULL,NULL
"Cardenal Palo Cortado VORS N.V.",NULL,NULL,NULL
"Amontillado V.O.R.S N.V.",NULL,NULL,NULL
"Amontillado 51-1a 30 Years VORS Sherry N.V.",NULL,NULL,NULL
"Oloroso Extra Viejo 1/7 N.V.",NULL,NULL,NULL
"La Bota 69 de Amontillado N.V.",NULL,NULL,NULL
"Las Botas Palo Cortado Horizontal N.V.",NULL,NULL,NULL
"La Riva Fino Balbaina Alta N.V.",NULL,NULL,NULL
"Palo Cortado de la Cruz de 1767 N.V.",NULL,NULL,NULL
"Canasta 20 Anos Cream N.V.",NULL,NULL,NULL
"Oloroso En Rama N.V.",NULL,NULL,NULL
"Amontillado Napoleon Vinos Viejos 30 Year Old Sherry N.V.",NULL,NULL,NULL
