wine_year,avg_rating
1910,4.6
1922,4.4
1925,4.433333333333332
1928,4.38421052631579
1929,4.699999999999999
1931,4.699999999999999
1942,4.433333333333332
1946,4.6
1949,4.525
1951,4.5
1953,4.704878048780486
1954,4.333333333333333
1955,4.6
1958,4.699999999999999
1959,4.423076923076922
1961,4.704878048780486
1962,4.688888888888887
1964,4.498924731182794
1965,4.688888888888887
1967,4.704878048780486
1968,4.643548387096771
1969,4.704878048780486
1970,4.523809523809523
1972,4.704878048780486
1973,4.6734693877551
1974,4.704878048780486
1975,4.655555555555555
1976,4.59032258064516
1978,4.38421052631579
1979,4.655555555555555
1980,4.655555555555555
1981,4.656603773584904
1982,4.580882352941174
1983,4.655555555555555
1985,4.5731884057971
1986,4.5547008547008545
1987,4.653398058252429
1988,4.570588235294117
1989,4.622950819672129
1990,4.681818181818181
1991,4.655999999999999
1992,4.59032258064516
1994,4.488622754491012
1995,4.542631578947364
1996,4.573157894736841
1997,4.486842105263159
1998,4.537195121951211
1999,4.576704545454543
2000,4.520382165605096
2001,4.472891566265048
2002,4.516233766233757
2003,4.516101694915247
2004,4.517491749174915
2005,4.5289808917197485
2006,4.504870129870127
2007,4.474776785714298
2008,4.483548387096765
2009,4.465100671140951
2010,4.4766903914591065
2011,4.4488045007032895
2012,4.443048128342299
2013,4.437621832358664
2014,4.4078196872125615
2015,4.43083038869263
2016,4.42213855421692
2017,4.4160883280757615
2018,4.424442538593543
2019,4.424029850746306
2020,4.5196078431372575
2021,4.271428571428571
