winery,total_wines
"Vega Sicilia",95
"Alvaro Palacios",46
Artadi,41
"Marques de Murrieta",33
"La Rioja Alta",30
Martinet,30
"Dominio de Pingus",29
"Vina Sastre",24
"Toro Albala",23
"Remirez de Ganuza",23
"Bodegas Roda",23
"Emilio Moro",20
"Abadia Retuerta",20
"Marques de Riscal",19
"Bodega Contador (Benjamin Romeo)",18
Contino,18
Muga,18
"Clos Mogador",18
"Sierra Cantabria",17
"Familia Torres",17
"Teso La Monja",15
Alion,15
"Bodegas Valduero",14
"Pago de Los Capellanes",14
Arzuaga,14
Remelluri,13
"Bodegas El Nido",12
"Vinedos de Paganos",12
"Bodegas Mauro",12
"Mas Doix",12
Allende,12
"Castillo Perelada",12
"Tinto Pesquera",12
"Bodega Numanthia",11
Recaredo,11
"Clos Erasmus",11
"Carmelo Rodero",11
"Bodegas Mas Alta",11
"R. Lopez de Heredia",11
"Vinicola Real",11
Protos,11
"Pago de Carraovejas",10
"Alto Moncayo",10
Aalto,10
"Hacienda Monasterio",10
"Ferrer Bobet",10
"Terroir Al Limit Soc. Lda",9
Enate,9
"Vina Pedrosa",9
Pintia,9
Lan,9
"Descendientes de J. Palacios",8
"Bodegas San Roman",8
"Bodegas Amaren",8
Matarromera,8
"Tomas Postigo",8
"Anima Negra",8
"Vall Llach",8
"Benjamin de Rothschild - Vega Sicilia",8
"Marques de Caceres",8
Losada,8
Pujanza,8
Imperial,8
Ossian,7
Gramona,7
"Dominio del Aguila",7
"Dominio de Atauta",7
"Juan Gil",7
"Gomez Cruzado",6
"Senorio de San Vicente",6
"Espectacle del Montsant",6
"Sei Solo",6
Vizcarra,6
"Scala Dei",6
"Marques de Vargas",6
Volver,6
Tridente,6
"Portal del Priorat",6
"Cims de Porrera",6
"Bodegas Faustino",6
"Mas d'en Gil",5
"Bodegas 6o Elemento - Vino Sexto Elemento",5
"Costers del Siurana",5
"Dominio de Es",5
Atalaya,5
"Ramon Bilbao",5
Garmon,5
Jimenez-Landi,5
Ordonez,4
"Territorio Luthier",4
"Dehesa de Los Canonigos",4
"Miguel Merino",4
"Casa Castillo",4
"Vinas del Vero",4
"Bodegas Vilano",4
"Marques de Grinon",4
"Finca Torremilanos",4
"Huerta de Albala",4
Belondrade,4
"Adama Wines",4
"Bodegas Naluar & Acediano",4
Tobia,4
"Tresmano - Tr3smano",4
"Finca Villacreces",4
"Agusti Torello Mata",4
"Dominio de Cair",4
Valderiz,4
"Abel Mendoza Monge",4
Matsu,4
"La Vicalanda",4
"Los Aguilares",4
"Bodegas Ximenez-Spinola",4
"Vina Pomal",4
"Merum Priorati",4
"Pazo Senorans",4
Figuero,4
"Pago de Vallegarcia",4
"Clos Figueras",4
"Torre de Ona",4
"Luis Canas",4
"Quinta Sardonia",4
Campillo,4
"Telmo Rodriguez",4
"Bodegas La Horra",4
Morca,3
"Terra Remota",3
"Dominio del Bendito",3
"Cepa 21",3
Ysios,3
"Hacienda Solano",3
Castano,3
"Castillo de Cuzcurrita",3
"Oxer Wines",3
Chivite,3
Penafiel,3
"Dehesa del Carrizal",3
"Monte Real",3
Valquejigoso,3
Legaris,3
"Clos d'Agon",3
"Jose Pariente",3
"Bosque de Matasnos",3
Jaro,3
Mustiguillo,3
VALENCISO,3
"Bodegas Celler Francisco Castillo - Clos Dominic",3
Baigorri,3
Comenge,3
"Clos Galena",3
"Carlos Moro",3
"Conreria d'Scala Dei",3
Barahonda,3
Abadal,3
Arinzano,3
"Finca Rio Negro",3
"Terras Gauda",3
"Mar de Frades",3
Montecastro,3
"Quinta de la Quietud",2
Gonzalez-Byass,2
Nin-Ortiz,2
"Cal Pla",2
"Ukan Winery",2
"Castell d'Encus",2
"Bodegas Aragonesas",2
"Francisco Barona",2
"Pazo Barrantes",2
"Cruz de Alba",2
"Jesus Madrazo",2
Trus,2
Mestres,2
"Bodega Ribas",2
Cervoles,2
"Sara Perez y Rene Barbier",2
Tarsus,2
Beronia,2
"El Regajal",2
Anayon,2
Altanza,2
Perinet,2
"Marco Abella",2
Orben,2
Astrales,2
"Hacienda Lopez de Haro",2
Pinea,2
"Casa Rojo",2
"Vinyes Domenech",2
"Eulogio Pomares",2
"Sangenis I Vaque",2
"Chozas Carrascal",2
"Alonso del Yerro",2
Ontanon,2
"Bodega Elias Mora",2
"Bodegas Frontaura",2
Avgvstvs,2
Leda,2
Llopart,2
Ostatu,2
"Finca Valpiedra",2
"Albet i Noya",2
"Do Ferreiro (Bodegas Gerardo Mendez)",2
"Martin Codax",2
"Vinedos Hermanos Hernaiz",2
"Venta Las Vacas",2
"Pago Calzadilla",2
Vivanco,2
"Lopez Cristobal",2
Aster,2
"Marques de Tomares",2
Taron,2
"Venus la Universal",2
"De Moya",2
"Bodega Campo Eliseo",2
Pradorey,2
"Celler de Capcanes",2
Habla,2
"Rodriguez de Vera",2
Valtravieso,2
"Bodega Otazu",2
"Alta Alella",2
"Josep Grau Viticultor",2
"Real de Asua",2
"Altos de Rioja",2
"Raul Perez",2
"Cartoixa de Montsalvat",2
"Atlan & Artisan",2
"Bodegas Reyes",2
"Bodegas Gama",2
"Bodega Juan Carlos Sancha",2
Zifar,2
"El Coto",2
"Hispano Suizas",2
"Dominio de Calogia",1
"La Legua",1
"Proyecto Garnachas de Espana",1
"Vina Real",1
"Micro Bio (MicroBio)",1
"Acustic Celler",1
Milsetentayseis,1
"Vinas del Cenit",1
"Mas del Serral",1
"Marques de Burgos",1
"Virgen de la Asuncion",1
"Divina Proporcion",1
"Vina al Lado de la Casa",1
"Marques de la Concordia",1
"Federico Paternina",1
"Uvaguilera Aguilera",1
"Altos del Terral",1
"Bodegas Valdelana",1
"Sierra Salinas",1
"Vinos Sanz",1
Ausas,1
"Rodriguez Sanzo",1
Antidoto,1
Monovar,1
"Cillar de Silos",1
"Bodega Rento",1
"Javier Sanz Viticultor",1
Fefinanes,1
Resalte,1
Murua,1
"Mas Perinet",1
"Bodegas Monte La Reina",1
"Joan Simo",1
"Can Axartell",1
"Mas Llunes",1
"Roig Parals",1
"Cal Batllet - Celler Ripoll Sans",1
Portia,1
Vivaltus,1
"Collbaix Celler El Moli",1
"Martinez Lacuesta",1
"Olivier Riviere",1
"Bodegas Tierra",1
Freixenet,1
Azpilicueta,1
"Veronica Salgado",1
"Bodegas Imperiales - Abadia de San Quirce",1
"Marta Mate",1
Museum,1
Farina,1
"Galindo San Millan",1
"Bodegas Casa Primicia",1
"Joan d'Anguera",1
Xaloc,1
"Bodegas Luis Perez",1
Ladairo,1
Traslascuestas,1
Codorniu,1
"Sota els Angels",1
Berceo,1
"Mas Blanch I Jove",1
"Carlos Serres",1
"David Moreno",1
Edra,1
Valdelosfrailes,1
Briego,1
"Guillem Carol - Cellers Carol Valles",1
Particular,1
"Bodegas Frontonio",1
"Bodegas Asenjo & Manso",1
"Condado de Haza",1
"Hermanos Pecina",1
Biniagual,1
Breca,1
"Bodegas Olarra",1
Sonsierra,1
"Vins Miquel Gelabert",1
"Bodega Tesalia",1
"Bodega de Bardos",1
"El Grillo y La Luna",1
"Jean Leon",1
"Bodegas Ateca",1
"Palmeri Sicilia",1
"Mas Que Vinos",1
"Bodegas Estraunza",1
Pittacum,1
"Bodega Sommos",1
"Pago del Vostal",1
Neo,1
"Paco & Lola",1
"Costers del Priorat",1
"Oller del Mas",1
"Bodegas Clunia",1
"Ca l'Apotecari",1
"Mas de les Pereres",1
Guilera,1
"l'Infernal Combier Fischer Gerin",1
"Jorge Piernas",1
Pedralonga,1
"Marti Fabra",1
Espelt,1
"Vinyes dels Aspres",1
Valserrano,1
Shaya,1
Loxera,1
"Dominio Fournier",1
Neton,1
"El Lagar de Isilla",1
"Anibal de Otero",1
"Altos del Enebro",1
"Pago de Larrainzar",1
Albamar,1
"Can Bas",1
Olivardots,1
"Lar de Paula",1
"Juve & Camps",1
"La Val",1
"Tres Piedras",1
"Javi Revert",1
Lambuena,1
Attis,1
"San Cobate",1
Arid,1
"Hugas de Batlle",1
"Bodegas Arrocal",1
"Buil & Gine",1
"Luis A. Rodriguez Vazquez",1
"Castell del Remei",1
Valdubon,1
"Bodegas Y Vinedos Alilian",1
"Goyo Garcia Viadero",1
"Santiago Ruiz",1
"Mas Bertran",1
Edetaria,1
"Hacienda Zorita Natural Reserve",1
"Can Xanet",1
"Alonso & Pedrajo",1
"Mandia Vell",1
Valdecuevas,1
Mocen,1
Estones,1
Inurrieta,1
Naia,1
AGE,1
Navajas,1
"Vinyes del Terrer",1
"Cepas Familiares",1
"Dominio de Loalva",1
"Bordalas Garcia",1
Rimarts,1
"Pinna Fidelis",1
Loess,1
"Dominio de Anza",1
Samsara,1
Cuentavinas,1
Murviedro,1
"Diez Caballero",1
Vegalfaro,1
"Palacios Remondo",1
Bohorquez,1
"Adega Familiar Eladio Pineiro",1
"Enrique Mendoza",1
"Clos Pons",1
