wine,winery
Tinto,"Teso La Monja"
"Vina El Pison",Artadi
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"El Anejon","Pago de Carraovejas"
"Unico Reserva Especial Edicion","Vega Sicilia"
Unico,"Vega Sicilia"
"Don PX Convento Seleccion","Toro Albala"
"Cuesta de Las Liebres","Pago de Carraovejas"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"El Nido","Bodegas El Nido"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
Pingus,"Dominio de Pingus"
"Don PX Convento Seleccion","Toro Albala"
"Unico Reserva Especial Edicion","Vega Sicilia"
Unico,"Vega Sicilia"
"Don PX Pedro Ximenez","Toro Albala"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Vatan Arena Tinta de Toro",Ordonez
"Unico Reserva Especial Edicion","Vega Sicilia"
"Don PX Convento Seleccion","Toro Albala"
"Ribera Del Duero Gran Reserva 12 Anos","Bodegas Valduero"
"Pesus Ribera del Duero","Vina Sastre"
Tinto,"Teso La Monja"
Pingus,"Dominio de Pingus"
Tinto,"Teso La Monja"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
Magico,"Sierra Cantabria"
Tinto,"Teso La Monja"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
Tinto,"Teso La Monja"
"La Faraona Bierzo (Corullon)","Descendientes de J. Palacios"
"Gran Reserva 890","La Rioja Alta"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
Unico,"Vega Sicilia"
"Cuesta de Las Liebres","Pago de Carraovejas"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"El Anejon","Pago de Carraovejas"
"El Nido","Bodegas El Nido"
"El Nido","Bodegas El Nido"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Castillo Ygay Gran Reserva Especial Blanco","Marques de Murrieta"
"El Nido","Bodegas El Nido"
"El Nido","Bodegas El Nido"
"La Nieta","Vinedos de Paganos"
Unico,"Vega Sicilia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Malleolus de Valderramiro","Emilio Moro"
Pingus,"Dominio de Pingus"
Unico,"Vega Sicilia"
"Malleolus de Sanchomartin","Emilio Moro"
Pingus,"Dominio de Pingus"
Pingus,"Dominio de Pingus"
"El Nido","Bodegas El Nido"
Alabaster,"Teso La Monja"
"La Mula de la Quietud","Quinta de la Quietud"
Unico,"Vega Sicilia"
"Terreus Paraje de Cueva Baja","Bodegas Mauro"
"Contador Rioja","Bodega Contador (Benjamin Romeo)"
"Maria Remirez de Ganuza","Remirez de Ganuza"
Unico,"Vega Sicilia"
"La Nieta","Vinedos de Paganos"
Unico,"Vega Sicilia"
Unico,"Vega Sicilia"
Pingus,"Dominio de Pingus"
"Unico Reserva Especial Edicion","Vega Sicilia"
Pingus,"Dominio de Pingus"
Unico,"Vega Sicilia"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Cartago Paraje de Pozo","Bodegas San Roman"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Parcela El Picon Tinto","Pago de Los Capellanes"
"Valbuena 5o","Vega Sicilia"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
Termanthia,"Bodega Numanthia"
"Unico Reserva Especial Edicion","Vega Sicilia"
"Clon De La Familia","Emilio Moro"
"Aquilon Garnacha","Alto Moncayo"
Unico,"Vega Sicilia"
"Don PX Convento Seleccion","Toro Albala"
Unico,"Vega Sicilia"
"Contador Rioja","Bodega Contador (Benjamin Romeo)"
Unico,"Vega Sicilia"
Termanthia,"Bodega Numanthia"
Tinto,"Teso La Monja"
"Quinon de Valmira","Alvaro Palacios"
"Unico Reserva Especial Edicion","Vega Sicilia"
"1902 Centenary Carignan Priorat","Mas Doix"
Unico,"Vega Sicilia"
"Cirsion Rioja","Bodegas Roda"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"El Nido","Bodegas El Nido"
"1902 Centenary Carignan Priorat","Mas Doix"
"Unico Reserva Especial Edicion","Vega Sicilia"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Cami Pesseroles",Martinet
"Turo d'en Mota",Recaredo
"Unico Reserva Especial Edicion","Vega Sicilia"
Priorat,"Clos Erasmus"
"Parcela El Picon Tinto","Pago de Los Capellanes"
"Gran Reserva 890","La Rioja Alta"
"Anada Palo Cortado 1987",Gonzalez-Byass
"Daphne Glorian Red","Clos Erasmus"
"Don PX Pedro Ximenez","Toro Albala"
"La Nieta","Vinedos de Paganos"
"El Regollar","Bodegas Amaren"
"Don PX Convento Seleccion","Toro Albala"
Alabaster,"Teso La Monja"
Touran,Morca
"Luthier Gran Reserva","Territorio Luthier"
"Vina El Pison",Artadi
"Reserva Particular de Recaredo Brut Nature",Recaredo
"Terreus Paraje de Cueva Baja","Bodegas Mauro"
"Pesus Ribera del Duero","Vina Sastre"
Usted,"Terra Remota"
"Gran Reserva","Dehesa de Los Canonigos"
"Regina Vides Ribera del Duero","Vina Sastre"
"La Loma","Miguel Merino"
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Castillo Ygay Gran Reserva Especial Tinto","Marques de Murrieta"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
"Ribera del Duero",Alion
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
"Castillo Ygay Gran Reserva Especial Tinto","Marques de Murrieta"
"Ribera del Duero",Alion
"Valbuena 5o","Vega Sicilia"
"Flor de Pingus","Dominio de Pingus"
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
"Valbuena 5o","Vega Sicilia"
"Valbuena 5o","Vega Sicilia"
