category,wine,rating,wine_year
"Mejor vino",Tinto,4.9,2013
"Mejor vino","Vina El Pison",4.9,2018
"Mejor vino",Tinto,4.9,2012
"Mejor vino",Tinto,4.9,2009
"Mejor vino",Tinto,4.9,2011
"Mejor vino",Tinto,4.9,2015
"Mejor vino",Tinto,4.9,2010
"Mejor vino","Vina El Pison",4.9,1995
"Mejor vino","Vina El Pison",4.9,2006
"Mejor vino","Vina El Pison",4.9,2010
"Mejor vino","Vina El Pison",4.9,2011
"Mejor vino","Vina El Pison",4.9,2012
"Mejor vino","Vina El Pison",4.9,2005
"Mejor vino","Vina El Pison",4.9,2014
"Mejor vino","Vina El Pison",4.9,2015
"Mejor vino",Tinto,4.9,2019
"Mejor vino","Vina El Pison",4.9,2009
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2008
"Mejor vino","Vina El Pison",4.9,2017
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2009
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2013
"Mejor vino","Vina El Pison",4.9,2013
"Mejor vino",Tinto,4.9,2011
"Mejor vino",Tinto,4.9,2010
"Mejor vino",Tinto,4.9,2012
"Mejor vino",Tinto,4.9,2007
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2014
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2014
"Mejor vino","Vina El Pison",4.9,2007
"Mejor vino",Tinto,4.9,2018
"Mejor vino","Vina El Pison",4.9,1999
"Mejor vino",Tinto,4.9,2017
"Mejor vino","Vina El Pison",4.9,2001
"Mejor vino","Vina El Pison",4.9,2016
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2007
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2015
"Mejor vino",Tinto,4.9,2012
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2014
"Mejor vino",Tinto,4.9,2015
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2015
"Mejor vino",Tinto,4.9,2015
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2016
"Mejor vino",Tinto,4.9,2018
"Mejor vino",Tinto,4.9,2000
"Mejor vino",Tinto,4.9,2017
"Mejor vino",Tinto,4.9,2019
"Mejor vino",Tinto,4.9,2018
"Peor vino",Tinto,4.2,2013
