designation,total_reviews,avg_rating
"Tinto 2013",76714,4.445283018867929
"Vina El Pison 2018",1930,4.568750000000001
"Unico 2009",38093,4.704878048780491
"Unico 1999",38093,4.704878048780491
"Unico 1996",38093,4.704878048780491
"Unico 1998",38093,4.704878048780491
"Unico 2010",38093,4.704878048780491
"Unico 1995",38093,4.704878048780491
"Unico Reserva Especial Edicion 2015",5892,4.730434782608696
"Unico 2011",38093,4.704878048780491
"Unico Reserva Especial Edicion 2016",5892,4.730434782608696
"El Anejon 2016",997,4.75
"Unico Reserva Especial Edicion 2018",5892,4.730434782608696
"Unico 1970",38093,4.704878048780491
"Don PX Convento Seleccion 1946",798,4.7
"Cuesta de Las Liebres 2015",1462,4.7
"Unico 1962",38093,4.704878048780491
"Unico Reserva Especial Edicion 2019",5892,4.730434782608696
"El Nido 2018",2292,4.714285714285714
"Unico Reserva Especial Edicion 2004",5892,4.730434782608696
"Unico Reserva Especial Edicion 2013",5892,4.730434782608696
"Pingus 2016",3762,4.652941176470589
"Don PX Convento Seleccion 1931",798,4.7
"Unico Reserva Especial Edicion 2010",5892,4.730434782608696
"Unico 1979",38093,4.704878048780491
"Don PX Pedro Ximenez 1946",668,4.514285714285714
"L'Ermita Velles Vinyes Priorat 2004",1455,4.666666666666667
"Unico Reserva Especial Edicion 2005",5892,4.730434782608696
"Unico Reserva Especial Edicion 2020",5892,4.730434782608696
"Vatan Arena Tinta de Toro 2014",79,4.8
"Unico Reserva Especial Edicion 1985",5892,4.730434782608696
"Don PX Convento Seleccion 1929",798,4.7
"Ribera Del Duero Gran Reserva 12 Anos 1999",68,4.8
"Pesus Ribera del Duero 2007",821,4.525
"Tinto 2012",115071,4.445283018867914
"Pingus 2017",3762,4.652941176470589
"Tinto 2009",76714,4.445283018867929
"L'Ermita Velles Vinyes Priorat 2008",1455,4.666666666666667
"Magico 2016",40,4.8
"Tinto 2011",76714,4.445283018867929
"L'Ermita Velles Vinyes Priorat 2017",1455,4.666666666666667
"Tinto 2015",191785,4.445283018867908
"La Faraona Bierzo (Corullon) 2017",90,4.633333333333333
"Gran Reserva 890 1985",5694,4.5125
"L'Ermita Velles Vinyes Priorat 2018",1455,4.666666666666667
"Valbuena 5o 2010",60745,4.590322580645159
"Valbuena 5o 2014",60745,4.590322580645159
"Valbuena 5o 2006",60745,4.590322580645159
"Unico 2005",38093,4.704878048780491
"Unico 2004",38093,4.704878048780491
"Unico 2000",38093,4.704878048780491
"Unico 2007",38093,4.704878048780491
"Valbuena 5o 2015",60745,4.590322580645159
"Unico 2006",38093,4.704878048780491
"Unico 2008",38093,4.704878048780491
"Unico 2003",38093,4.704878048780491
"Valbuena 5o 2016",60745,4.590322580645159
"Valbuena 5o 2005",60745,4.590322580645159
"Unico 2002",38093,4.704878048780491
"Unico 1991",38093,4.704878048780491
"Unico 1994",38093,4.704878048780491
"Unico Reserva Especial Edicion 2000",5892,4.730434782608696
"Unico 1990",38093,4.704878048780491
"Cuesta de Las Liebres 2014",1462,4.7
"Unico 1989",38093,4.704878048780491
"Unico 1987",38093,4.704878048780491
"Unico Reserva Especial Edicion 2017",5892,4.730434782608696
"El Anejon 2015",997,4.75
"El Nido 2014",2292,4.714285714285714
"El Nido 2013",2292,4.714285714285714
"Unico Reserva Especial Edicion 1996",5892,4.730434782608696
"Castillo Ygay Gran Reserva Especial Blanco 1986",425,4.7
"El Nido 2016",2292,4.714285714285714
"El Nido 2008",2292,4.714285714285714
"La Nieta 2015",867,4.675
"Unico 1981",38093,4.704878048780491
"Unico Reserva Especial Edicion 2007",5892,4.730434782608696
"Malleolus de Valderramiro 2016",1617,4.575
"Pingus 2001",3762,4.652941176470589
"Unico 1986",38093,4.704878048780491
"Malleolus de Sanchomartin 2016",1750,4.55
"Pingus 2004",3762,4.652941176470589
"Pingus 2006",3762,4.652941176470589
"El Nido 2017",2292,4.714285714285714
"Alabaster 2016",440,4.666666666666667
"La Mula de la Quietud 2015",355,4.6
"Unico 1985",38093,4.704878048780491
"Terreus Paraje de Cueva Baja 2017",1029,4.64
"Contador Rioja 2012",960,4.616666666666666
"Maria Remirez de Ganuza 2006",376,4.65
"Unico 1968",38093,4.704878048780491
"La Nieta 2018",867,4.675
"Unico 1964",38093,4.704878048780491
"Unico 1982",38093,4.704878048780491
"Pingus 2015",3762,4.652941176470589
"Unico Reserva Especial Edicion 1995",5892,4.730434782608696
"Pingus 1999",3762,4.652941176470589
"Unico 1974",38093,4.704878048780491
"L'Ermita Velles Vinyes Priorat 1998",1455,4.666666666666667
"Cartago Paraje de Pozo 2015",332,4.6000000000000005
"Unico Reserva Especial Edicion 2012",5892,4.730434782608696
"Parcela El Picon Tinto 2009",761,4.616666666666666
"Valbuena 5o 2017",60745,4.590322580645159
"L'Ermita Velles Vinyes Priorat 2000",1455,4.666666666666667
"Termanthia 2005",3088,4.574999999999999
"Unico Reserva Especial Edicion 2011",5892,4.730434782608696
"Clon De La Familia 2010",238,4.633333333333333
"Aquilon Garnacha 2011",420,4.575
"Unico 1983",38093,4.704878048780491
"Don PX Convento Seleccion 1955",798,4.7
"Unico 1980",38093,4.704878048780491
"Contador Rioja 2005",960,4.616666666666666
"Unico 1972",38093,4.704878048780491
"Termanthia 2004",3088,4.574999999999999
"Tinto 2010",76714,4.445283018867929
"Quinon de Valmira 2015",190,4.6
"Unico Reserva Especial Edicion 1987",5892,4.730434782608696
"1902 Centenary Carignan Priorat 2015",262,4.6499999999999995
"Unico 1953",38093,4.704878048780491
"Cirsion Rioja 2000",1003,4.6
"L'Ermita Velles Vinyes Priorat 2015",1455,4.666666666666667
"El Nido 2019",2292,4.714285714285714
"1902 Centenary Carignan Priorat 2013",262,4.6499999999999995
"Unico Reserva Especial Edicion 2006",5892,4.730434782608696
"L'Ermita Velles Vinyes Priorat 2005",1455,4.666666666666667
"Cami Pesseroles 2006",843,4.481818181818182
"Turo d'en Mota 2007",367,4.566666666666666
"Unico Reserva Especial Edicion 1986",5892,4.730434782608696
"Priorat 2007",18952,4.430769230769234
"Parcela El Picon Tinto 2016",761,4.616666666666666
"Gran Reserva 890 1982",5694,4.5125
"Anada Palo Cortado 1987 1987",83,4.6
"Daphne Glorian Red 2007",51,4.7
"Don PX Pedro Ximenez 1955",668,4.514285714285714
"La Nieta 2019",867,4.675
"El Regollar 2016",49,4.7
"Don PX Convento Seleccion 1958",798,4.7
"Alabaster 2018",440,4.666666666666667
"Touran 2018",41,4.7
"Luthier Gran Reserva 2012",40,4.7
"Vina El Pison 1995",1930,4.568750000000001
"Reserva Particular de Recaredo Brut Nature 2011",104,4.65
"Terreus Paraje de Cueva Baja 2019",1029,4.64
"Pesus Ribera del Duero 2004",821,4.525
"Usted 2010",64,4.550000000000001
"Gran Reserva 2001",5127,4.38421052631579
"Regina Vides Ribera del Duero 1998",1095,4.455555555555555
"La Loma 2018",98,4.6
"L'Ermita Velles Vinyes Priorat 2016",1455,4.666666666666667
"Castillo Ygay Gran Reserva Especial Tinto 1942",12540,4.433333333333333
"Valbuena 5o 2011",60745,4.590322580645159
"Valbuena 5o 2012",60745,4.590322580645159
"Valbuena 5o 2008",60745,4.590322580645159
"Valbuena 5o 2007",60745,4.590322580645159
"Valbuena 5o 2013",60745,4.590322580645159
"Valbuena 5o 2009",60745,4.590322580645159
"Ribera del Duero 2016",111790,4.3826086956521735
"PS (Pagos Seleccionados) Ribera del Duero 2017",17206,4.550000000000001
"PS (Pagos Seleccionados) Ribera del Duero 2018",17206,4.550000000000001
"Castillo Ygay Gran Reserva Especial Tinto 2010",12540,4.433333333333333
"Ribera del Duero 2017",167685,4.3826086956521735
"Valbuena 5o 2004",60745,4.590322580645159
"Flor de Pingus 2018",14383,4.5
"PS (Pagos Seleccionados) Ribera del Duero 2019",17206,4.550000000000001
"Valbuena 5o 2000",60745,4.590322580645159
"Valbuena 5o 2002",60745,4.590322580645159
"Termanthia 2012",3088,4.574999999999999
"Termanthia 2011",3088,4.574999999999999
"Pago De Valtarrena 2015",999,4.6
"Malleolus de Sanchomartin 2011",1750,4.55
"Valbuena 5o 1999",60745,4.590322580645159
"Malleolus de Valderramiro 2015",1617,4.575
"Pingus 2010",3762,4.652941176470589
"Cuesta de Las Liebres 2010",1462,4.7
"Pingus 2012",3762,4.652941176470589
"El Titan del Bendito 2015",760,4.566666666666666
"Malleolus de Sanchomartin 2015",1750,4.55
"Pingus 2013",3762,4.652941176470589
"Terreus Paraje de Cueva Baja 2015",1029,4.64
"Terreus Paraje de Cueva Baja 2016",1029,4.64
"Pingus 2005",3762,4.652941176470589
"La Nieta 2017",867,4.675
"Vina El Pison 2006",1930,4.568750000000001
"Pingus 1998",3762,4.652941176470589
"Cirsion Rioja 2007",1003,4.6
"Cirsion Rioja 2012",1003,4.6
"Contador Rioja 2011",960,4.616666666666666
"Dalmau Rioja 2017",3526,4.43
"Unico 1965",38093,4.704878048780491
"Finca el Bosque 2015",929,4.5
"Pago de Santa Cruz 2018",1458,4.5
"Pingus 2003",3762,4.652941176470589
"Clos Fonta Priorat 2004",384,4.3999999999999995
"Pago De Valtarrena 2016",999,4.6
"Parcela El Picon Tinto 2014",761,4.616666666666666
"Malleolus de Sanchomartin 2014",1750,4.55
"Valbuena 5o 1992",60745,4.590322580645159
"Pingus 2014",3762,4.652941176470589
"Vina El Pison 2010",1930,4.568750000000001
"Parcela El Picon Tinto 2012",761,4.616666666666666
"Vina El Pison 2011",1930,4.568750000000001
"L'Ermita Velles Vinyes Priorat 1999",1455,4.666666666666667
"Cuvee N Vinas Viejas 2015",160,4.6
"Vina El Pison 2012",1930,4.568750000000001
"Unico 1973",38093,4.704878048780491
"Contador Rioja 2014",960,4.616666666666666
"Cartago Paraje de Pozo 2014",332,4.6000000000000005
"L'Ermita Velles Vinyes Priorat 1996",1455,4.666666666666667
"Termanthia 2014",3088,4.574999999999999
"Valbuena 5o 1985",60745,4.590322580645159
"Ribera del Duero Prestigio Pago de las Solanas 2001",189,4.55
"Valbuena 5o 1989",60745,4.590322580645159
"Contador Rioja 2015",960,4.616666666666666
"Vina El Pison 2005",1930,4.568750000000001
"Nit de Nin Mas d'en Cacador 2011",245,4.5
"VS 2018",2513,4.475
"Maria Remirez de Ganuza 2005",376,4.65
"Blecua Somontano 2013",378,4.425
"Unico Reserva Especial Edicion 1989",5892,4.730434782608696
"Alabaster 2017",440,4.666666666666667
"Terreus Paraje de Cueva Baja 2018",1029,4.64
"L'Ermita Velles Vinyes Priorat 1997",1455,4.666666666666667
"Frank Gehry Selection 2001",124,4.6
"Vina El Pison 2014",1930,4.568750000000001
"Unico 1967",38093,4.704878048780491
"Amaya Arzuaga (Coleccion) 2016",200,4.449999999999999
"Pingus 2000",3762,4.652941176470589
"L'Ermita Velles Vinyes Priorat 1995",1455,4.666666666666667
"Vina El Pison 2015",1930,4.568750000000001
"La Creu Alta 2013",278,4.574999999999999
"Unico 1975",38093,4.704878048780491
"Tinto 2019",268499,4.445283018867909
"5o Ano Ribera del Duero Tinto 2016",569,4.55
"Vina El Pison 2009",1930,4.568750000000001
"Planots Priorat 2010",158,4.55
"Unico Reserva Especial Edicion 2009",5892,4.730434782608696
"El Titan del Bendito 2018",760,4.566666666666666
"Capitel 2018",269,4.55
"Gran Arzuaga Ribera del Duero 2004",105,4.6
"Aquilon Garnacha 2015",420,4.575
"Pingus 1996",3762,4.652941176470589
"Horcajo 2015",100,4.6
"Pago De Valtarrena 2018",999,4.6
"Unico 2012",38093,4.704878048780491
"Aurus 2005",308,4.380000000000001
"Parcela El Picon Tinto 2011",761,4.616666666666666
"Trasnocho 2013",1542,4.483333333333333
"Cirsion Rioja 2017",1003,4.6
"Tinto 2008",38357,4.445283018867928
"Doroteo Edicion Especial 25 Aniversario 2015",86,4.6
"Tierra Alta de 2 Racimos Gran Reserva 2011",85,4.6
"Castillo Ygay Gran Reserva Especial Tinto 2011",12540,4.433333333333333
"Valbuena 5o 1980",60745,4.590322580645159
"Reserva Especial Ribera del Duero 2016",270,4.55
"Reserva Especial 2015",223,4.5
"Gran Buig Priorat 2004",79,4.6
"Finca Garbet 2014",107,4.55
"Clon De La Familia 2011",238,4.633333333333333
"Amancio 2007",851,4.485714285714286
"Gines Liebana Pedro Ximenez 1910",70,4.6
"Reserva Particular de Recaredo Brut Nature 2008",104,4.65
"Priorat 2008",18952,4.430769230769234
"Valbuena 5o 1983",60745,4.590322580645159
"Don PX Seleccion 1965",178,4.525
"L'Ermita Velles Vinyes Priorat 2001",1455,4.666666666666667
"Reserva 2017",55302,4.353846153846154
