wine_type,min_price,max_price,avg_price
"Toro Red",8.57,2814.16,204.29727295607375
"Ribera Del Duero Red",7.9,2884.04,409.04796476852175
"Rioja Red",8.57,1325,103.84488494370027
"Montsant Red",8.57,1325,203.77101194598288
Red,8.57,3119.08,156.72051177064685
Tempranillo,9.8840336,519.55,251.39153887716222
"Pedro Ximenez",17.5,701.05,174.28193277310925
"Priorat Red",16.2,2750,361.577212278971
"Rioja White",6.99,795,55.5537419354838
Grenache,13.95,197,59.440769230769206
Cava,7.89,164.66,59.496901408450704
Sherry,230,400.85,315.425
Verdejo,6.26,144.78,36.66338709677421
Syrah,17.04,99,46.330578770959946
Monastrell,8.95,77.98,40.85432432432434
Mencia,17.9,269.95,56.542307692307695
Sparkling,16.99,192.16,76.79400000000001
Albarino,11.9,59.95,27.18494397435897
Chardonnay,15.75,249.95,73.33068965517242
"Cabernet Sauvignon",16.9,67.45,56.30464285714287
"Sauvignon Blanc",11.65,17.9,14.333333333333334
