wine,wine_type,winery,avg_rating,num_ratings
Tinto,"Toro Red","Teso La Monja",4.445283018867909,371
Tinto,"Ribera Del Duero Red","Dominio de Calogia",4.445283018867929,53
Tinto,"Ribera Del Duero Red","Bodegas Vilano",4.445283018867929,53
Tinto,"Rioja Red","Ukan Winery",4.445283018867926,106
Tinto,"Ribera Del Duero Red","Pago de Carraovejas",4.4452830188679044,212
Tinto,"Ribera Del Duero Red",Aalto,4.4452830188679044,212
Tinto,"Ribera Del Duero Red","Adama Wines",4.4452830188679044,212
Tinto,"Ribera Del Duero Red",Milsetentayseis,4.445283018867929,53
Tinto,"Montsant Red","Espectacle del Montsant",4.445283018867905,318
Tinto,"Ribera Del Duero Red","Sei Solo",4.445283018867909,159
Tinto,"Toro Red","Bodegas San Roman",4.445283018867904,265
Tinto,Red,"Bodegas 6o Elemento - Vino Sexto Elemento",4.445283018867909,159
Tinto,"Ribera Del Duero Red","Bodega Rento",4.445283018867929,53
Tinto,"Ribera Del Duero Red",Vivaltus,4.445283018867929,53
Tinto,Red,"Sota els Angels",4.445283018867929,53
Tinto,Red,"Clos d'Agon",4.445283018867926,106
Tinto,Red,"Rodriguez de Vera",4.445283018867926,106
Tinto,"Ribera Del Duero Red",Pinea,4.445283018867929,53
Tinto,"Rioja Red","Real de Asua",4.445283018867926,106
Tinto,"Ribera Del Duero Red",Loess,4.445283018867929,53
Tinto,"Ribera Del Duero Red",Valderiz,4.445283018867929,53
"Vina El Pison",Tempranillo,Artadi,4.568750000000019,256
Unico,"Ribera Del Duero Red","Vega Sicilia",4.704878048780429,1681
"Unico Reserva Especial Edicion","Ribera Del Duero Red","Vega Sicilia",4.730434782608682,529
"El Anejon","Ribera Del Duero Red","Pago de Carraovejas",4.75,4
"Don PX Convento Seleccion","Pedro Ximenez","Toro Albala",4.699999999999999,36
"Cuesta de Las Liebres","Ribera Del Duero Red","Pago de Carraovejas",4.699999999999999,9
"El Nido",Red,"Bodegas El Nido",4.71428571428571,49
Pingus,"Ribera Del Duero Red","Dominio de Pingus",4.6529411764705735,289
"Don PX Pedro Ximenez","Pedro Ximenez","Toro Albala",4.514285714285718,49
"L'Ermita Velles Vinyes Priorat","Priorat Red","Alvaro Palacios",4.666666666666654,324
"Vatan Arena Tinta de Toro","Toro Red",Ordonez,4.8,1
"Ribera Del Duero Gran Reserva 12 Anos","Ribera Del Duero Red","Bodegas Valduero",4.8,1
"Pesus Ribera del Duero","Ribera Del Duero Red","Vina Sastre",4.524999999999999,64
Magico,"Rioja Red","Sierra Cantabria",4.8,1
"La Faraona Bierzo (Corullon)",Red,"Descendientes de J. Palacios",4.633333333333334,9
"Gran Reserva 890","Rioja Red","La Rioja Alta",4.512500000000003,64
"Valbuena 5o","Ribera Del Duero Red","Vega Sicilia",4.590322580645095,961
"Castillo Ygay Gran Reserva Especial Blanco","Rioja White","Marques de Murrieta",4.7,1
"La Nieta","Rioja Red","Vinedos de Paganos",4.675,16
"Malleolus de Valderramiro","Ribera Del Duero Red","Emilio Moro",4.575,16
"Malleolus de Sanchomartin","Ribera Del Duero Red","Emilio Moro",4.550000000000001,36
Alabaster,"Toro Red","Teso La Monja",4.666666666666667,9
"La Mula de la Quietud","Toro Red","Quinta de la Quietud",4.6,4
"Terreus Paraje de Cueva Baja",Tempranillo,"Bodegas Mauro",4.639999999999998,25
"Contador Rioja","Rioja Red","Bodega Contador (Benjamin Romeo)",4.6166666666666645,36
"Maria Remirez de Ganuza","Rioja Red","Remirez de Ganuza",4.65,4
"Cartago Paraje de Pozo","Toro Red","Bodegas San Roman",4.6000000000000005,9
"Parcela El Picon Tinto","Ribera Del Duero Red","Pago de Los Capellanes",4.6166666666666645,36
Termanthia,"Toro Red","Bodega Numanthia",4.574999999999996,64
"Clon De La Familia","Ribera Del Duero Red","Emilio Moro",4.633333333333335,9
"Aquilon Garnacha",Grenache,"Alto Moncayo",4.575000000000001,16
"Quinon de Valmira","Rioja Red","Alvaro Palacios",4.6,4
"1902 Centenary Carignan Priorat","Priorat Red","Mas Doix",4.6499999999999995,16
"Cirsion Rioja","Rioja Red","Bodegas Roda",4.599999999999999,25
"Cami Pesseroles","Priorat Red",Martinet,4.4818181818181735,121
"Turo d'en Mota",Cava,Recaredo,4.566666666666666,9
Priorat,"Priorat Red","Clos Erasmus",4.4307692307692115,208
Priorat,"Priorat Red","Clos Mogador",4.430769230769232,416
Priorat,"Priorat Red",Perinet,4.430769230769231,26
Priorat,"Priorat Red","Ferrer Bobet",4.430769230769231,26
"Anada Palo Cortado 1987",Sherry,Gonzalez-Byass,4.6,4
"Daphne Glorian Red",Red,"Clos Erasmus",4.7,1
"El Regollar","Rioja Red","Bodegas Amaren",4.7,1
Touran,Grenache,Morca,4.7,1
"Luthier Gran Reserva","Ribera Del Duero Red","Territorio Luthier",4.7,1
"Reserva Particular de Recaredo Brut Nature",Cava,Recaredo,4.65,4
Usted,Red,"Terra Remota",4.550000000000001,4
"Gran Reserva","Ribera Del Duero Red","Dehesa de Los Canonigos",4.38421052631579,19
"Gran Reserva","Rioja Red","Remirez de Ganuza",4.38421052631579,38
"Gran Reserva","Rioja Red","Monte Real",4.384210526315792,57
"Gran Reserva","Rioja Red","Federico Paternina",4.38421052631579,19
"Gran Reserva","Rioja Red","La Vicalanda",4.38421052631579,38
"Gran Reserva","Ribera Del Duero Red","Vina Pedrosa",4.38421052631579,38
"Gran Reserva","Ribera Del Duero Red",Matarromera,4.38421052631579,38
"Gran Reserva","Ribera Del Duero Red","Tinto Pesquera",4.384210526315792,57
"Gran Reserva","Ribera Del Duero Red",Protos,4.38421052631579,38
"Gran Reserva","Rioja Red","Miguel Merino",4.38421052631579,19
"Regina Vides Ribera del Duero","Ribera Del Duero Red","Vina Sastre",4.4555555555555575,81
"La Loma","Rioja Red","Miguel Merino",4.6,4
"Castillo Ygay Gran Reserva Especial Tinto","Rioja Red","Marques de Murrieta",4.433333333333322,144
"Ribera del Duero","Ribera Del Duero Red",Alion,4.38260869565217,345
"Ribera del Duero","Ribera Del Duero Red",Garmon,4.382608695652172,115
"Ribera del Duero","Ribera Del Duero Red","Emilio Moro",4.382608695652175,69
"PS (Pagos Seleccionados) Ribera del Duero","Ribera Del Duero Red",Aalto,4.55,36
"Flor de Pingus","Ribera Del Duero Red","Dominio de Pingus",4.499999999999997,64
"Pago De Valtarrena","Ribera Del Duero Red","Carmelo Rodero",4.6000000000000005,9
"El Titan del Bendito","Toro Red","Dominio del Bendito",4.566666666666666,9
"Dalmau Rioja","Rioja Red","Marques de Murrieta",4.430000000000004,100
"Finca el Bosque","Rioja Red","Sierra Cantabria",4.500000000000002,49
"Pago de Santa Cruz","Ribera Del Duero Red","Vina Sastre",4.500000000000001,25
"Clos Fonta Priorat","Priorat Red","Mas d'en Gil",4.3999999999999995,9
"Cuvee N Vinas Viejas",Red,"Casa Castillo",4.6,1
"Ribera del Duero Prestigio Pago de las Solanas","Ribera Del Duero Red",Matarromera,4.55,4
"Nit de Nin Mas d'en Cacador","Priorat Red",Nin-Ortiz,4.5,4
VS,Tempranillo,"Bodegas Mauro",4.475,16
"Blecua Somontano",Red,"Vinas del Vero",4.424999999999999,16
"Frank Gehry Selection",Tempranillo,"Marques de Riscal",4.6,1
"Amaya Arzuaga (Coleccion)","Ribera Del Duero Red",Arzuaga,4.45,4
"La Creu Alta","Priorat Red","Bodegas Mas Alta",4.575000000000001,16
"5o Ano Ribera del Duero Tinto","Ribera Del Duero Red","Tomas Postigo",4.550000000000001,16
"Planots Priorat","Priorat Red","Cal Pla",4.55,4
Capitel,Verdejo,Ossian,4.55,4
"Gran Arzuaga Ribera del Duero","Ribera Del Duero Red",Arzuaga,4.6,1
Horcajo,"Ribera Del Duero Red","Cepa 21",4.6,1
Aurus,"Rioja Red",Allende,4.379999999999998,25
Trasnocho,"Rioja Red","Remirez de Ganuza",4.483333333333335,36
"Doroteo Edicion Especial 25 Aniversario","Ribera Del Duero Red","Pago de Los Capellanes",4.6,1
"Tierra Alta de 2 Racimos Gran Reserva","Ribera Del Duero Red","Bodegas Valduero",4.6,1
"Reserva Especial Ribera del Duero","Ribera Del Duero Red",Arzuaga,4.55,4
"Reserva Especial","Ribera Del Duero Red","Hacienda Monasterio",4.5,8
"Reserva Especial",Red,Enate,4.5,4
"Reserva Especial",Red,"Pago de Larrainzar",4.5,4
"Gran Buig Priorat","Priorat Red","Mas d'en Gil",4.6,1
"Finca Garbet",Syrah,"Castillo Perelada",4.55,4
Amancio,"Rioja Red","Sierra Cantabria",4.485714285714288,49
"Gines Liebana Pedro Ximenez","Pedro Ximenez","Toro Albala",4.6,1
"Don PX Seleccion","Pedro Ximenez","Toro Albala",4.525,16
Reserva,"Ribera Del Duero Red","Hacienda Monasterio",4.353846153846163,156
Reserva,"Ribera Del Duero Red","Pago de Carraovejas",4.3538461538461535,26
Reserva,"Ribera Del Duero Red","Dominio del Aguila",4.353846153846155,78
Reserva,"Ribera Del Duero Red","Tinto Pesquera",4.35384615384616,130
Reserva,"Ribera Del Duero Red","Carmelo Rodero",4.353846153846155,52
