wine,avg_rating,winery
"Ribera Del Duero Gran Reserva 12 Anos",4.8,"Bodegas Valduero"
"Vatan Arena Tinta de Toro",4.8,Ordonez
Magico,4.8,"Sierra Cantabria"
"El Anejon",4.75,"Pago de Carraovejas"
"Unico Reserva Especial Edicion",4.730434782608682,"Vega Sicilia"
"El Nido",4.71428571428571,"Bodegas El Nido"
Unico,4.704878048780429,"Vega Sicilia"
"Daphne Glorian Red",4.7,"Clos Erasmus"
"El Regollar",4.7,"Bodegas Amaren"
Touran,4.7,Morca
"Castillo Ygay Gran Reserva Especial Blanco",4.7,"Marques de Murrieta"
"Luthier Gran Reserva",4.7,"Territorio Luthier"
"Don PX Convento Seleccion",4.699999999999999,"Toro Albala"
"Cuesta de Las Liebres",4.699999999999999,"Pago de Carraovejas"
"La Nieta",4.675,"Vinedos de Paganos"
Alabaster,4.666666666666667,"Teso La Monja"
"L'Ermita Velles Vinyes Priorat",4.666666666666654,"Alvaro Palacios"
Pingus,4.6529411764705735,"Dominio de Pingus"
"Reserva Particular de Recaredo Brut Nature",4.65,Recaredo
"Maria Remirez de Ganuza",4.65,"Remirez de Ganuza"
"1902 Centenary Carignan Priorat",4.6499999999999995,"Mas Doix"
"Terreus Paraje de Cueva Baja",4.639999999999998,"Bodegas Mauro"
"Clon De La Familia",4.633333333333335,"Emilio Moro"
"La Faraona Bierzo (Corullon)",4.633333333333334,"Descendientes de J. Palacios"
"Contador Rioja",4.6166666666666645,"Bodega Contador (Benjamin Romeo)"
"Parcela El Picon Tinto",4.6166666666666645,"Pago de Los Capellanes"
"Pago De Valtarrena",4.6000000000000005,"Carmelo Rodero"
"Cartago Paraje de Pozo",4.6000000000000005,"Bodegas San Roman"
Respeto,4.6,"Bodegas 6o Elemento - Vino Sexto Elemento"
"La Mula de la Quietud",4.6,"Quinta de la Quietud"
"El Garnacho Viejo de la Familia Acha",4.6,"Proyecto Garnachas de Espana"
"Valdafoz Bierzo (Corullon)",4.6,"Descendientes de J. Palacios"
"Valdegatiles Ribera del Duero",4.6,"Dominio de Atauta"
"Corpinnat Enoteca Reserva Particular de Recaredo",4.6,Recaredo
"Vina Motulleri",4.6,"Gomez Cruzado"
"Cuvee Palomar",4.6,"Abadia Retuerta"
"Uno Tinto",4.6,Enate
"1903 Centenary Grenache",4.6,"Mas Doix"
"Quinon de Valmira",4.6,"Alvaro Palacios"
"Galiano Seleccion Especial",4.6,"Bodegas Aragonesas"
"Anada Palo Cortado 1987",4.6,Gonzalez-Byass
"Etern Vinyes Molt Velles",4.6,"Acustic Celler"
"La Loma",4.6,"Miguel Merino"
"40 Aniversario Gran Reserva",4.6,"Vina Pedrosa"
"Gran Arzuaga Ribera del Duero",4.6,Arzuaga
"Cuvee N Vinas Viejas",4.6,"Casa Castillo"
"Frank Gehry Selection",4.6,"Marques de Riscal"
Horcajo,4.6,"Cepa 21"
"Doroteo Edicion Especial 25 Aniversario",4.6,"Pago de Los Capellanes"
"Tierra Alta de 2 Racimos Gran Reserva",4.6,"Bodegas Valduero"
"Gran Buig Priorat",4.6,"Mas d'en Gil"
"Gines Liebana Pedro Ximenez",4.6,"Toro Albala"
"Finca Las Naves",4.6,Ysios
"Respublica Verdejo",4.6,"Micro Bio (MicroBio)"
"Cava Enoteca Finca La Plana Brut Nature",4.6,Gramona
"Moncerbal Bierzo (Corullon)",4.6,"Descendientes de J. Palacios"
Capricho,4.6,"La Legua"
"Cirsion Rioja",4.599999999999999,"Bodegas Roda"
"Valbuena 5o",4.590322580645095,"Vega Sicilia"
"Aquilon Garnacha",4.575000000000001,"Alto Moncayo"
"La Creu Alta",4.575000000000001,"Bodegas Mas Alta"
"Malleolus de Valderramiro",4.575,"Emilio Moro"
Termanthia,4.574999999999996,"Bodega Numanthia"
"Vina El Pison",4.568750000000019,Artadi
"Turo d'en Mota",4.566666666666666,Recaredo
"El Titan del Bendito",4.566666666666666,"Dominio del Bendito"
"Gran Reserva Penas Aladas",4.566666666666666,"Dominio del Aguila"
"Malleolus de Sanchomartin",4.550000000000001,"Emilio Moro"
Usted,4.550000000000001,"Terra Remota"
"5o Ano Ribera del Duero Tinto",4.550000000000001,"Tomas Postigo"
"PS (Pagos Seleccionados) Ribera del Duero",4.55,Aalto
"Ribera del Duero Prestigio Pago de las Solanas",4.55,Matarromera
"Ribera del Duero Prestigio",4.55,Matarromera
"Reserva Especial Ribera del Duero",4.55,Arzuaga
"Finca Garbet",4.55,"Castillo Perelada"
"Taberner No. 1",4.55,"Huerta de Albala"
Saktih,4.55,"Castell d'Encus"
AAA,4.55,"Marques de Grinon"
"Planots Priorat",4.55,"Cal Pla"
Capitel,4.55,Ossian
"Les Aubaguetes Priorat",4.55,"Alvaro Palacios"
"Don PX Seleccion",4.525,"Toro Albala"
"Pesus Ribera del Duero",4.524999999999999,"Vina Sastre"
"Son Negre",4.516666666666668,"Anima Negra"
"Don PX Pedro Ximenez",4.514285714285718,"Toro Albala"
"Gran Reserva 890",4.512500000000003,"La Rioja Alta"
"Finca el Bosque",4.500000000000002,"Sierra Cantabria"
"Pago de Santa Cruz",4.500000000000001,"Vina Sastre"
Macan,4.500000000000001,"Benjamin de Rothschild - Vega Sicilia"
