wine_type,avg_price
"Ribera Del Duero Red",409.04796476852175
"Priorat Red",361.577212278971
Sherry,315.425
Tempranillo,251.39153887716222
"Toro Red",204.29727295607375
"Montsant Red",203.77101194598288
"Pedro Ximenez",174.28193277310925
Red,156.72051177064685
"Rioja Red",103.84488494370027
Sparkling,76.79400000000001
Chardonnay,73.33068965517242
Cava,59.496901408450704
Grenache,59.440769230769206
Mencia,56.542307692307695
"Cabernet Sauvignon",56.30464285714287
"Rioja White",55.5537419354838
Syrah,46.330578770959946
Monastrell,40.85432432432434
Verdejo,36.66338709677421
Albarino,27.18494397435897
"Sauvignon Blanc",14.333333333333334
