wine_type,avg_rating
"Toro Red",4.445028571428642
"Ribera Del Duero Red",4.542445313631961
"Rioja Red",4.373102483385753
"Montsant Red",4.441463414634126
Red,4.426349206349264
Tempranillo,4.513525498891389
"Pedro Ximenez",4.552941176470577
"Priorat Red",4.437824351297362
"Rioja White",4.319354838709688
Grenache,4.402197802197808
Cava,4.4309859154929585
Sherry,4.6
Verdejo,4.372580645161295
Syrah,4.371428571428571
Monastrell,4.391891891891892
Mencia,4.346153846153844
Sparkling,4.4
Albarino,4.297435897435894
Chardonnay,4.331034482758619
"Cabernet Sauvignon",4.303571428571428
"Sauvignon Blanc",4.3999999999999995
