wine_type,wine_year,avg_rating
"Toro Red",2013,4.444927536231889
"Toro Red",2012,4.446218487394959
"Toro Red",2009,4.4425925925925975
"Toro Red",2011,4.453030303030308
"Toro Red",2015,4.444881889763776
"Toro Red",2010,4.4514285714285755
"Ribera Del Duero Red",2019,4.438020833333325
"Toro Red",2008,4.445283018867929
"Rioja Red",2019,4.447058823529416
"Ribera Del Duero Red",2016,4.445000000000011
"Ribera Del Duero Red",2018,4.431876138433517
"Ribera Del Duero Red",2017,4.42550607287449
"Ribera Del Duero Red",2009,4.550256410256404
"Montsant Red",2013,4.445283018867929
"Ribera Del Duero Red",2011,4.5129370629370555
"Ribera Del Duero Red",2010,4.568421052631572
"Ribera Del Duero Red",2012,4.519572953736649
"Ribera Del Duero Red",2007,4.561621621621616
"Toro Red",2017,4.439726027397263
Red,2017,4.413978494623645
"Ribera Del Duero Red",2014,4.431025641025643
"Montsant Red",2016,4.4425925925925975
"Montsant Red",2014,4.445283018867929
"Montsant Red",2017,4.437500000000005
Red,2019,4.438750000000002
Red,2007,4.441791044776124
"Toro Red",2016,4.438750000000004
"Toro Red",2018,4.444615384615389
Red,2014,4.423275862068967
Red,2015,4.433116883116871
"Rioja Red",2018,4.4196261682243
Red,2018,4.413636363636366
"Montsant Red",2015,4.444444444444449
"Rioja Red",2016,4.377198697068391
"Montsant Red",2018,4.440000000000005
"Rioja Red",2000,4.419811320754719
Tempranillo,2018,4.511764705882354
Tempranillo,1995,4.568750000000001
Tempranillo,2006,4.568750000000001
Tempranillo,2010,4.517857142857145
Tempranillo,2011,4.568750000000001
Tempranillo,2012,4.50714285714286
Tempranillo,2005,4.558823529411766
Tempranillo,2014,4.48947368421053
Tempranillo,2015,4.495833333333335
Tempranillo,2009,4.503703703703706
Tempranillo,2017,4.497560975609757
Tempranillo,2013,4.486666666666669
Tempranillo,2007,4.568750000000001
Tempranillo,1999,4.568750000000001
Tempranillo,2001,4.535000000000002
Tempranillo,2016,4.489130434782611
"Ribera Del Duero Red",1999,4.65666666666667
"Ribera Del Duero Red",1996,4.618978102189782
"Ribera Del Duero Red",1998,4.658208955223879
"Ribera Del Duero Red",1995,4.583018867924524
"Ribera Del Duero Red",1970,4.704878048780486
"Ribera Del Duero Red",1962,4.704878048780486
"Ribera Del Duero Red",1979,4.655555555555555
"Ribera Del Duero Red",2005,4.616788321167884
"Ribera Del Duero Red",2004,4.615972222222223
"Ribera Del Duero Red",2000,4.621481481481483
"Ribera Del Duero Red",2006,4.615107913669066
"Ribera Del Duero Red",2008,4.639999999999999
"Ribera Del Duero Red",2003,4.594166666666668
"Ribera Del Duero Red",2002,4.575510204081631
"Ribera Del Duero Red",1991,4.704878048780486
"Ribera Del Duero Red",1994,4.598901098901097
"Ribera Del Duero Red",1990,4.704878048780486
"Ribera Del Duero Red",1989,4.673684210526317
"Ribera Del Duero Red",1987,4.673684210526317
"Ribera Del Duero Red",1981,4.704878048780486
"Ribera Del Duero Red",1986,4.609999999999998
"Ribera Del Duero Red",1985,4.673684210526317
"Ribera Del Duero Red",1968,4.704878048780486
"Ribera Del Duero Red",1964,4.704878048780486
"Ribera Del Duero Red",1982,4.673684210526317
"Ribera Del Duero Red",1974,4.704878048780486
"Ribera Del Duero Red",1983,4.655555555555555
"Ribera Del Duero Red",1980,4.655555555555555
"Ribera Del Duero Red",1972,4.704878048780486
"Ribera Del Duero Red",1953,4.704878048780486
"Ribera Del Duero Red",1965,4.704878048780486
"Ribera Del Duero Red",1973,4.704878048780486
"Ribera Del Duero Red",1967,4.704878048780486
"Ribera Del Duero Red",1975,4.655555555555555
"Ribera Del Duero Red",1961,4.704878048780486
"Ribera Del Duero Red",1969,4.704878048780486
"Ribera Del Duero Red",2015,4.470996978851968
"Ribera Del Duero Red",2013,4.519696969696972
"Ribera Del Duero Red",2020,4.674074074074074
"Pedro Ximenez",1946,4.6
"Pedro Ximenez",1931,4.699999999999999
"Pedro Ximenez",1929,4.699999999999999
"Pedro Ximenez",1955,4.6
"Pedro Ximenez",1958,4.699999999999999
