winery,avg_rating
"Teso La Monja",4.443703703703693
"Dominio de Calogia",4.445283018867929
"Bodegas Vilano",4.410937500000004
"Ukan Winery",4.445283018867926
"Pago de Carraovejas",4.449800796812731
Aalto,4.460483870967725
"Adama Wines",4.4452830188679044
Milsetentayseis,4.445283018867929
"Espectacle del Montsant",4.445283018867905
"Sei Solo",4.4321428571428445
"Bodegas San Roman",4.45036496350363
"Bodegas 6o Elemento - Vino Sexto Elemento",4.44907975460121
"Bodega Rento",4.445283018867929
Vivaltus,4.445283018867929
"Sota els Angels",4.445283018867929
"Clos d'Agon",4.439285714285716
"Rodriguez de Vera",4.445283018867926
Pinea,4.444444444444449
"Real de Asua",4.445283018867926
Loess,4.445283018867929
Valderiz,4.439655172413798
Artadi,4.522911051212971
"Vega Sicilia",4.674424471775575
"Toro Albala",4.563716814159283
"Bodegas El Nido",4.6418918918918886
"Dominio de Pingus",4.608943089430883
"Alvaro Palacios",4.509395973154377
Ordonez,4.383333333333334
"Bodegas Valduero",4.4125
"Vina Sastre",4.48735632183907
"Sierra Cantabria",4.486666666666662
"Descendientes de J. Palacios",4.51
"La Rioja Alta",4.373626373626373
"Marques de Murrieta",4.413780918727895
"Vinedos de Paganos",4.389285714285714
"Emilio Moro",4.460869565217389
"Quinta de la Quietud",4.6
"Bodegas Mauro",4.519999999999999
"Bodega Contador (Benjamin Romeo)",4.482608695652169
"Remirez de Ganuza",4.348425196850389
"Pago de Los Capellanes",4.549999999999999
"Bodega Numanthia",4.5369863013698595
"Alto Moncayo",4.445454545454548
"Mas Doix",4.453030303030307
"Bodegas Roda",4.365641025641017
Martinet,4.387640449438176
Recaredo,4.470370370370373
"Clos Erasmus",4.4295774647887125
"Clos Mogador",4.430476190476193
Perinet,4.42962962962963
"Ferrer Bobet",4.394029850746275
Gonzalez-Byass,4.6
"Bodegas Amaren",4.38235294117647
Morca,4.425
"Territorio Luthier",4.433333333333334
"Terra Remota",4.500000000000001
"Dehesa de Los Canonigos",4.302631578947366
"Monte Real",4.384210526315792
"Federico Paternina",4.38421052631579
"La Vicalanda",4.366666666666669
"Vina Pedrosa",4.370731707317076
Matarromera,4.359375
"Tinto Pesquera",4.359203980099499
Protos,4.340298507462688
"Miguel Merino",4.416666666666667
Alion,4.38260869565217
Garmon,4.382608695652172
"Carmelo Rodero",4.347422680412371
"Dominio del Bendito",4.566666666666666
"Mas d'en Gil",4.3999999999999995
"Casa Castillo",4.389999999999999
Nin-Ortiz,4.5
"Vinas del Vero",4.424999999999999
"Marques de Riscal",4.319289340101535
Arzuaga,4.37894736842105
"Bodegas Mas Alta",4.484848484848486
"Tomas Postigo",4.476923076923078
"Cal Pla",4.55
Ossian,4.334482758620688
"Cepa 21",4.4
Allende,4.404347826086962
"Hacienda Monasterio",4.361904761904765
Enate,4.374999999999998
"Pago de Larrainzar",4.5
"Castillo Perelada",4.317857142857143
"Dominio del Aguila",4.377272727272729
"Vina Pomal",4.354838709677418
"Dominio Fournier",4.3538461538461535
Contino,4.330275229357802
Taron,4.351851851851851
Bohorquez,4.3538461538461535
Ysios,4.45
"Marques de Grinon",4.475
Gramona,4.415789473684211
"Hacienda Solano",4.46
"Anima Negra",4.490000000000001
Castano,4.4
"La Legua",4.6
"Castillo de Cuzcurrita",4.46
"Oxer Wines",4.46
"Proyecto Garnachas de Espana",4.6
"Vall Llach",4.376923076923076
"Vina Real",4.3
Beronia,4.3
Imperial,4.303797468354444
"Marques de Tomares",4.299999999999996
"Luis Canas",4.3
"Dominio de Atauta",4.376470588235293
"Micro Bio (MicroBio)",4.6
"Terroir Al Limit Soc. Lda",4.346666666666669
"Finca Torremilanos",4.433333333333334
"Huerta de Albala",4.375
"Gomez Cruzado",4.349999999999999
"Castell d'Encus",4.55
"Abadia Retuerta",4.38829787234043
"Benjamin de Rothschild - Vega Sicilia",4.464705882352944
"Bodegas Aragonesas",4.449999999999999
"Acustic Celler",4.6
Pintia,4.377777777777782
Belondrade,4.449999999999999
"Marques de Caceres",4.3526315789473715
"Finca Valpiedra",4.309523809523809
Remelluri,4.3157894736842195
VALENCISO,4.309374999999998
Muga,4.3836734693877615
"Senorio de San Vicente",4.366666666666668
"Costers del Siurana",4.438461538461538
"Francisco Barona",4.4
"Juan Gil",4.340000000000001
Lan,4.345714285714283
"R. Lopez de Heredia",4.313793103448275
"Dehesa del Carrizal",4.43
"Bodegas Luis Perez",4.466666666666666
"Familia Torres",4.328301886792451
"Pazo Barrantes",4.45
"Cruz de Alba",4.45
"Dominio de Es",4.379999999999998
"Jesus Madrazo",4.45
"Bodegas Naluar & Acediano",4.424999999999999
Trus,4.4
Mestres,4.4
Chivite,4.42
"Bodega Ribas",4.4
"Vinas del Cenit",4.5
"Mas del Serral",4.5
Cervoles,4.4
"Marques de Burgos",4.5
Penafiel,4.433333333333334
Tobia,4.375
"Tresmano - Tr3smano",4.35
"Finca Villacreces",4.399999999999999
"Virgen de la Asuncion",4.5
"Sara Perez y Rene Barbier",4.45
Tarsus,4.4
"Divina Proporcion",4.5
"Vina al Lado de la Casa",4.5
"Marques de la Concordia",4.5
"Agusti Torello Mata",4.425
"Dominio de Cair",4.366666666666667
Valquejigoso,4.3999999999999995
Vizcarra,4.349999999999999
Legaris,4.433333333333334
"Vinicola Real",4.336363636363633
Losada,4.323076923076922
"Dominio de Loalva",4.333333333333333
"Uvaguilera Aguilera",4.5
"Altos del Terral",4.5
"El Regajal",4.4
"Jose Pariente",4.380000000000001
"Scala Dei",4.342857142857142
"Bodegas Valdelana",4.5
"Abel Mendoza Monge",4.375
Anayon,4.45
"Sierra Salinas",4.5
"Vinos Sanz",4.5
Atalaya,4.338461538461539
Matsu,4.250000000000001
"Marques de Vargas",4.336363636363636
Volver,4.349999999999999
Tridente,4.34
Ausas,4.4
"Lar de Paula",4.333333333333333
"Rodriguez Sanzo",4.4
Antidoto,4.4
"Bosque de Matasnos",4.279999999999999
Altanza,4.35
Monovar,4.4
"Cillar de Silos",4.4
"Los Aguilares",4.314285714285714
"Marco Abella",4.3500000000000005
"Javier Sanz Viticultor",4.4
Orben,4.3500000000000005
Jaro,4.333333333333333
"Bodegas Ximenez-Spinola",4.3500000000000005
Mustiguillo,4.279999999999999
Astrales,4.3500000000000005
"Merum Priorati",4.366666666666666
"Hacienda Lopez de Haro",4.4
"Pazo Senorans",4.300000000000001
Fefinanes,4.4
Resalte,4.4
Figuero,4.3375
Lambuena,4.333333333333333
"Portal del Priorat",4.27857142857143
"Cims de Porrera",4.34230769230769
"Casa Rojo",4.300000000000001
Murua,4.4
"Vinyes Domenech",4.35
"Pago de Vallegarcia",4.3500000000000005
"Eulogio Pomares",4.35
"Sangenis I Vaque",4.3500000000000005
"Mas Perinet",4.4
"Chozas Carrascal",4.300000000000001
"Alonso del Yerro",4.4
Briego,4.366666666666667
"El Lagar de Isilla",4.366666666666667
"Clos Figueras",4.324999999999999
"Bodegas Monte La Reina",4.4
Ontanon,4.35
"Bodega Elias Mora",4.35
"Joan Simo",4.4
"Can Axartell",4.4
"Mas Llunes",4.4
"Bodegas Frontaura",4.4
"Roig Parals",4.4
Avgvstvs,4.35
"Ramon Bilbao",4.254545454545456
Leda,4.35
"Bodegas Celler Francisco Castillo - Clos Dominic",4.3999999999999995
"Cal Batllet - Celler Ripoll Sans",4.4
Llopart,4.4
Portia,4.4
Ostatu,4.3500000000000005
Baigorri,4.36
Comenge,4.333333333333333
"Collbaix Celler El Moli",4.4
"Martinez Lacuesta",4.4
Pujanza,4.344999999999998
"Albet i Noya",4.4
"Olivier Riviere",4.4
"Bodegas Tierra",4.4
"Torre de Ona",4.283333333333333
"Do Ferreiro (Bodegas Gerardo Mendez)",4.3500000000000005
"Martin Codax",4.4
"Vinedos Hermanos Hernaiz",4.4
Freixenet,4.4
Azpilicueta,4.4
"Veronica Salgado",4.4
"Clos Galena",4.32
"Bodegas Imperiales - Abadia de San Quirce",4.4
"Marta Mate",4.4
"Venta Las Vacas",4.3500000000000005
"Pago Calzadilla",4.3500000000000005
Vivanco,4.35
Museum,4.4
Farina,4.4
"Galindo San Millan",4.4
"Bodegas Casa Primicia",4.4
"Joan d'Anguera",4.4
Xaloc,4.4
"Carlos Moro",4.333333333333333
Ladairo,4.4
"Conreria d'Scala Dei",4.32
Traslascuestas,4.4
"Lopez Cristobal",4.3
Codorniu,4.4
Berceo,4.4
"Mas Blanch I Jove",4.4
"Carlos Serres",4.4
"David Moreno",4.4
Edra,4.4
Valdelosfrailes,4.4
"Guillem Carol - Cellers Carol Valles",4.4
Barahonda,4.279999999999999
Particular,4.4
"Bodegas Frontonio",4.4
"Bodegas Asenjo & Manso",4.4
Campillo,4.285714285714286
"Condado de Haza",4.3
"Bodegas Faustino",4.272222222222222
Aster,4.25
"Quinta Sardonia",4.250000000000001
Abadal,4.2666666666666675
"Hermanos Pecina",4.3
Biniagual,4.3
