designation,total_reviews
"Tinto 2013",76714
"Vina El Pison 2018",1930
"Unico 2009",38093
"Unico 1999",38093
"Unico 1996",38093
"Unico 1998",38093
"Unico 2010",38093
"Unico 1995",38093
"Unico Reserva Especial Edicion 2015",5892
"Unico 2011",38093
"Unico Reserva Especial Edicion 2016",5892
"El Anejon 2016",997
"Unico Reserva Especial Edicion 2018",5892
"Unico 1970",38093
"Don PX Convento Seleccion 1946",798
"Cuesta de Las Liebres 2015",1462
"Unico 1962",38093
"Unico Reserva Especial Edicion 2019",5892
"El Nido 2018",2292
"Unico Reserva Especial Edicion 2004",5892
"Toneles Moscatel N.V.",NULL
"Unico Reserva Especial Edicion 2013",5892
"Pingus 2016",3762
"Don PX Convento Seleccion 1931",798
"Unico Reserva Especial Edicion 2010",5892
"Unico 1979",38093
"Don PX Pedro Ximenez 1946",668
"L'Ermita Velles Vinyes Priorat 2004",1455
"Unico Reserva Especial Edicion 2005",5892
"Unico Reserva Especial Edicion 2020",5892
"Vatan Arena Tinta de Toro 2014",79
"Unico Reserva Especial Edicion 1985",5892
"Don PX Convento Seleccion 1929",798
"Ribera Del Duero Gran Reserva 12 Anos 1999",68
"Pesus Ribera del Duero 2007",821
"Tinto 2012",115071
"Pingus 2017",3762
"Tinto 2009",76714
"L'Ermita Velles Vinyes Priorat 2008",1455
"Magico 2016",40
"Tinto 2011",76714
"L'Ermita Velles Vinyes Priorat 2017",1455
"Tinto 2015",191785
"La Faraona Bierzo (Corullon) 2017",90
"Gran Reserva 890 1985",5694
"L'Ermita Velles Vinyes Priorat 2018",1455
"Valbuena 5o 2010",60745
"Valbuena 5o 2014",60745
"Valbuena 5o 2006",60745
"Unico 2005",38093
"Unico 2004",38093
"Unico 2000",38093
"Unico 2007",38093
"Valbuena 5o 2015",60745
"Unico 2006",38093
"Unico 2008",38093
"Unico 2003",38093
"Valbuena 5o 2016",60745
"Valbuena 5o 2005",60745
"Unico 2002",38093
"Unico 1991",38093
"Unico 1994",38093
"Unico Reserva Especial Edicion 2000",5892
"Unico 1990",38093
"Cuesta de Las Liebres 2014",1462
"Unico 1989",38093
"Unico 1987",38093
"Unico Reserva Especial Edicion 2017",5892
"El Anejon 2015",997
"El Nido 2014",2292
"El Nido 2013",2292
"Unico Reserva Especial Edicion 1996",5892
"Castillo Ygay Gran Reserva Especial Blanco 1986",425
"El Nido 2016",2292
"El Nido 2008",2292
"La Nieta 2015",867
"Unico 1981",38093
"Unico Reserva Especial Edicion 2007",5892
"Malleolus de Valderramiro 2016",1617
"Pingus 2001",3762
"Unico 1986",38093
"Malleolus de Sanchomartin 2016",1750
"Pingus 2004",3762
"Pingus 2006",3762
"El Nido 2017",2292
"Alabaster 2016",440
"La Mula de la Quietud 2015",355
"Unico 1985",38093
"Terreus Paraje de Cueva Baja 2017",1029
"Contador Rioja 2012",960
"Maria Remirez de Ganuza 2006",376
"Unico 1968",38093
"La Nieta 2018",867
"Unico 1964",38093
"Unico 1982",38093
"Pingus 2015",3762
"Unico Reserva Especial Edicion 1995",5892
"Pingus 1999",3762
"Unico 1974",38093
"L'Ermita Velles Vinyes Priorat 1998",1455
"Cartago Paraje de Pozo 2015",332
"Unico Reserva Especial Edicion 2012",5892
"Parcela El Picon Tinto 2009",761
"Valbuena 5o 2017",60745
"L'Ermita Velles Vinyes Priorat 2000",1455
"Termanthia 2005",3088
"Unico Reserva Especial Edicion 2011",5892
"Clon De La Familia 2010",238
"Aquilon Garnacha 2011",420
"Unico 1983",38093
"Don PX Convento Seleccion 1955",798
"Unico 1980",38093
"Contador Rioja 2005",960
"Unico 1972",38093
"Termanthia 2004",3088
"Tinto 2010",76714
"Quinon de Valmira 2015",190
"Unico Reserva Especial Edicion 1987",5892
"1902 Centenary Carignan Priorat 2015",262
"Unico 1953",38093
"Cirsion Rioja 2000",1003
"L'Ermita Velles Vinyes Priorat 2015",1455
"El Nido 2019",2292
"1902 Centenary Carignan Priorat 2013",262
"Unico Reserva Especial Edicion 2006",5892
"L'Ermita Velles Vinyes Priorat 2005",1455
"Cami Pesseroles 2006",843
"Turo d'en Mota 2007",367
"Unico Reserva Especial Edicion 1986",5892
"Priorat 2007",18952
"Parcela El Picon Tinto 2016",761
"Reliquia Palo Cortado Sherry N.V.",NULL
"Gran Reserva 890 1982",5694
"Anada Palo Cortado 1987 1987",83
"Daphne Glorian Red 2007",51
"Don PX Pedro Ximenez 1955",668
"La Nieta 2019",867
"El Regollar 2016",49
"Don PX Convento Seleccion 1958",798
"Alabaster 2018",440
"Abuelo Diego Palo Cortado N.V.",NULL
"La Bota 78 de Oloroso N.V.",NULL
"Touran 2018",41
"Luthier Gran Reserva 2012",40
"Vina El Pison 1995",1930
"Reserva Particular de Recaredo Brut Nature 2011",104
"Terreus Paraje de Cueva Baja 2019",1029
"Pesus Ribera del Duero 2004",821
"Usted 2010",64
"Gran Reserva 2001",5127
"Regina Vides Ribera del Duero 1998",1095
"La Loma 2018",98
"L'Ermita Velles Vinyes Priorat 2016",1455
"Castillo Ygay Gran Reserva Especial Tinto 1942",12540
"Valbuena 5o 2011",60745
"Valbuena 5o 2012",60745
"Valbuena 5o 2008",60745
"Valbuena 5o 2007",60745
"Valbuena 5o 2013",60745
"Valbuena 5o 2009",60745
"Ribera del Duero 2016",111790
"PS (Pagos Seleccionados) Ribera del Duero 2017",17206
"PS (Pagos Seleccionados) Ribera del Duero 2018",17206
"Castillo Ygay Gran Reserva Especial Tinto 2010",12540
"Ribera del Duero 2017",167685
"Valbuena 5o 2004",60745
"Flor de Pingus 2018",14383
"PS (Pagos Seleccionados) Ribera del Duero 2019",17206
"Valbuena 5o 2000",60745
"Valbuena 5o 2002",60745
"Termanthia 2012",3088
"Termanthia 2011",3088
"Pago De Valtarrena 2015",999
"Malleolus de Sanchomartin 2011",1750
"Valbuena 5o 1999",60745
"Malleolus de Valderramiro 2015",1617
"Pingus 2010",3762
"Cuesta de Las Liebres 2010",1462
"Pingus 2012",3762
"El Titan del Bendito 2015",760
"Malleolus de Sanchomartin 2015",1750
"Pingus 2013",3762
"Terreus Paraje de Cueva Baja 2015",1029
"Terreus Paraje de Cueva Baja 2016",1029
"Pingus 2005",3762
"La Nieta 2017",867
"Vina El Pison 2006",1930
"Pingus 1998",3762
"Cirsion Rioja 2007",1003
"Cirsion Rioja 2012",1003
"Contador Rioja 2011",960
"Dalmau Rioja 2017",3526
"Unico 1965",38093
"Finca el Bosque 2015",929
"Pago de Santa Cruz 2018",1458
"Pingus 2003",3762
"Clos Fonta Priorat 2004",384
"Pago De Valtarrena 2016",999
"Parcela El Picon Tinto 2014",761
"Malleolus de Sanchomartin 2014",1750
"Valbuena 5o 1992",60745
"Pingus 2014",3762
"Vina El Pison 2010",1930
"Parcela El Picon Tinto 2012",761
"Vina El Pison 2011",1930
"L'Ermita Velles Vinyes Priorat 1999",1455
"Cuvee N Vinas Viejas 2015",160
"Vina El Pison 2012",1930
"Unico 1973",38093
"Contador Rioja 2014",960
"Cartago Paraje de Pozo 2014",332
"L'Ermita Velles Vinyes Priorat 1996",1455
"Termanthia 2014",3088
"Valbuena 5o 1985",60745
"Ribera del Duero Prestigio Pago de las Solanas 2001",189
"Valbuena 5o 1989",60745
"Contador Rioja 2015",960
"Vina El Pison 2005",1930
"Nit de Nin Mas d'en Cacador 2011",245
"VS 2018",2513
"Maria Remirez de Ganuza 2005",376
"Blecua Somontano 2013",378
"Unico Reserva Especial Edicion 1989",5892
"Alabaster 2017",440
"Terreus Paraje de Cueva Baja 2018",1029
"L'Ermita Velles Vinyes Priorat 1997",1455
"Frank Gehry Selection 2001",124
"Vina El Pison 2014",1930
"Unico 1967",38093
"Amaya Arzuaga (Coleccion) 2016",200
"Pingus 2000",3762
"L'Ermita Velles Vinyes Priorat 1995",1455
"Vina El Pison 2015",1930
"La Creu Alta 2013",278
"Unico 1975",38093
"Tinto 2019",268499
"5o Ano Ribera del Duero Tinto 2016",569
"Vina El Pison 2009",1930
"Planots Priorat 2010",158
"Unico Reserva Especial Edicion 2009",5892
"El Titan del Bendito 2018",760
"Capitel 2018",269
"Gran Arzuaga Ribera del Duero 2004",105
"Aquilon Garnacha 2015",420
"Pingus 1996",3762
"Horcajo 2015",100
"Pago De Valtarrena 2018",999
"Unico 2012",38093
"Aurus 2005",308
"Parcela El Picon Tinto 2011",761
"Trasnocho 2013",1542
"Cirsion Rioja 2017",1003
"Tinto 2008",38357
"Doroteo Edicion Especial 25 Aniversario 2015",86
"Tierra Alta de 2 Racimos Gran Reserva 2011",85
"Castillo Ygay Gran Reserva Especial Tinto 2011",12540
"Valbuena 5o 1980",60745
"Reserva Especial Ribera del Duero 2016",270
"Reserva Especial 2015",223
"Gran Buig Priorat 2004",79
"Finca Garbet 2014",107
"Solera India Oloroso Rare Sherry N.V.",NULL
"Clon De La Familia 2011",238
"Amancio 2007",851
"Gines Liebana Pedro Ximenez 1910",70
"Reserva Particular de Recaredo Brut Nature 2008",104
"Priorat 2008",18952
"Valbuena 5o 1983",60745
"Don PX Seleccion 1965",178
"L'Ermita Velles Vinyes Priorat 2001",1455
"Reserva 2017",55302
"Finca Las Naves 2016",63
"AAA 2008",119
"Vina del Olivo 2001",980
"L'Ermita Velles Vinyes Priorat 2010",1455
"Dalmau Rioja 2001",3526
"Les Aubaguetes Priorat 2016",158
"Cava Enoteca Finca La Plana Brut Nature 2001",58
"Aquilon Garnacha 2016",420
"Gran Reserva Penas Aladas 2014",152
"Pena Lobera 2016",82
"La Creu Alta 2014",278
"Son Negre 2007",385
"1902 Centenary Carignan Priorat 2017",262
"Unico 1961",38093
"Casa Cisca Monastrell 2016",672
"Moncerbal Bierzo (Corullon) 2016",48
"Capricho 2014",47
"Pingus 2018",3762
"Cerrado del Castillo Rioja 2016",316
"Kalamity Rioja 2018",111
"Conde de Aldama Amontillado N.V.",NULL
"Valbuena 5o 1979",60745
"Respeto 2015",74
"El Garnacho Viejo de la Familia Acha 2014",45
"Ribera del Duero Prestigio 2016",235
"1902 Centenary Carignan Priorat 2016",262
"La Poza de Ballesteros 2009",568
"Reserva Rioja (Finca Ygay) 1954",9171
"Reserva Especial 2016",223
"Vina El Pison 2017",1930
"Idus 2020",362
"Priorat 2003",18952
"Amancio 2017",851
"Clon De La Familia 2015",238
"Unico Reserva Especial Edicion 1982",5892
"Finca el Bosque 2002",929
"Valdafoz Bierzo (Corullon) 2011",38
"La Creu Alta 2017",278
"Rioja Gran Reserva 1986",12629
"Valdegatiles Ribera del Duero 2012",63
"Don PX Seleccion 1962",178
"Respublica Verdejo 2016",33
"Gran Reserva Penas Aladas 2015",152
"Les Tosses 2016",205
"Torremilanos Coleccion Ribera del Duero 2016",129
"El Carretil 2017",455
"Taberner No. 1 2013",70
"Vina Motulleri 2011",30
"Saktih 2013",58
"Cuvee Palomar 2017",30
"L'Ermita Velles Vinyes Priorat 2014",1455
"Valdegatiles Ribera del Duero 2013",63
"Respeto 2017",74
"Uno Tinto 2010",28
"Macan 2017",5615
"1903 Centenary Grenache 2016",28
"La Faraona Bierzo (Corullon) 2010",90
"Galiano Seleccion Especial 2013",28
"Son Negre 2004",385
"5o Ano Ribera del Duero Tinto 2017",569
"L'Ermita Velles Vinyes Priorat 2011",1455
"Etern Vinyes Molt Velles 2016",26
"40 Aniversario Gran Reserva 2012",25
"Solera BC-200 N.V.",NULL
"Corpinnat Enoteca Reserva Particular de Recaredo 2004",25
"Don PX Pedro Ximenez 1968",668
"Tinto 2016",268499
"Ribera del Duero 2013",55895
"Ribera del Duero 2014",111790
"Toro 2014",23645
"Tinto 2018",345213
"Ribera del Duero 2015",111790
"Toro 2015",23645
"Tinto 2017",268499
"PS (Pagos Seleccionados) Ribera del Duero 2016",17206
"Castillo Ygay Gran Reserva Especial Tinto 2005",12540
"Gran Reserva 890 2005",5694
"Castillo Ygay Gran Reserva Especial Tinto 2009",12540
"Toro 2016",23645
"Flor de Pingus 2016",14383
"PS (Pagos Seleccionados) Ribera del Duero 2015",17206
"Clio 2015",9230
"Flor de Pingus 2014",14383
"Flor de Pingus 2010",14383
"Flor de Pingus 2015",14383
"Clio 2016",9230
"Clio 2017",9230
"PS (Pagos Seleccionados) Ribera del Duero 2011",17206
"Macan 2014",5615
"Clio 2018",9230
"Garnacha 2017",5253
"Parcela El Nogal Tinto 2015",3151
"Valbuena 5o 2003",60745
"Macan 2015",5615
"Ribera del Duero 2003",55895
"Belondrade y Lurton 2018",3567
"Parcela El Nogal Tinto 2014",3151
"Reserva 2014",92170
"Flor de Pingus 2017",14383
"Rioja Reserva 2012",78636
"Prado Enea Gran Reserva 2014",1424
"Rioja Reserva 2011",39318
"Gran Reserva 890 2004",5694
"Belondrade y Lurton 2019",3567
"Priorat 2015",9476
"Pedro Ximenez Tradicion 20 Years Old Vos N.V.",NULL
"Torre Muga 2016",5026
"Macan 2016",5615
"Termanthia 2010",3088
"Malleolus de Valderramiro 2011",1617
"Priorat 2017",18952
"Dalmau Rioja 2014",3526
"Reserva 2015",55302
"Parcela El Nogal Tinto 2016",3151
"Gran Reserva 890 1995",5694
"Clio 2019",9230
"Aro 2015",853
"Gran Reserva 2007",5127
"San Vicente Rioja 2017",3651
"Ribera del Duero TSM 2017",1128
"Pago de Santa Cruz 2016",1458
"Ribera Del Duero Reserva Premium 6 Anos 2011",959
"Trasnocho 2012",1542
"Clos de L'Obac 2005",665
"Valbuena 5o 1996",60745
"Reserva Ribera del Duero 2017",2333
"Gran Reserva 890 2010",5694
"Ribera Del Duero 2018",168389
"Pago de Santa Cruz 2015",1458
"Ribera Del Duero Reserva Premium 6 Anos 2012",959
"Bruto 2018",810
"Culmen Reserva Rioja 2015",1331
"Cirsion Rioja 2016",1003
"Priorat 2018",28428
"Bruto 2017",810
"VS 2017",2513
"Termanthia 2013",3088
"Trasnocho 2011",1542
"Reserva 2016",73736
"Vina Tondonia Gran Reserva 1995",391
"Petit Verdot 2015",660
"5o Ano Ribera del Duero Tinto 2011",569
"El Titan del Bendito 2017",760
"Petit Verdot 2014",660
"Amancio 2012",851
"Clos Martinet 2014",3211
"Trasnocho 2006",1542
"Ribera del Duero 1995",55895
"Aro 2016",853
"Valbuena 5o 1987",60745
"Pago de Santa Cruz 2017",1458
"Millenium Gran Reserva 2015",213
"Regina Vides Ribera del Duero 2011",1095
"Finca Dofi 2006",6036
"Gran Reserva Ribera del Duero 2015",345
"Vina del Olivo 2017",980
"Flor de Pingus 2019",14383
"Seleccio Especial Vinyes Velles 2015",775
"Calvario Rioja 2009",542
"Ribera del Duero Una Cepa I 2017",4573
"Ribera del Duero Prestigio 2015",235
"Regina Vides Ribera del Duero 2014",1095
"Grans Muralles 2015",681
"Pesus Ribera del Duero 2014",821
"Gran Vino Albarino 2019",188
"Reserva Especial Ribera del Duero 2015",270
"Cuatro Palmas Amontillado N.V.",NULL
"Pago Garduna 2016",318
"Belondrade y Lurton 2020",3567
"Toro 2017",23645
"La Cueva del Contador Rioja 2017",1193
"Finca el Bosque 2016",929
"Solera 1830 Pedro Ximenez N.V.",NULL
"Que Bonito Cacareaba Blanco 2018",170
"5o Ano Ribera del Duero Tinto 2014",569
"Baron de Chirel Rioja Reserva 2016",2296
"Capitel 2016",269
"Turo d'en Mota 2005",367
"Amancio 2015",851
"Regina Vides Ribera del Duero 2015",1095
"Emeritvs (Emeritus) 2013",344
"Regina Vides Ribera del Duero 2016",1095
"Turo d'en Mota 2006",367
"Cami Pesseroles 2009",843
"Reserva 2018",36868
"Amancio 2014",851
"Finca Los Hoyales Ribera del Duero 2015",491
"Vina El Pison 2013",1930
"Pesus Ribera del Duero 2015",821
"Pago Garduna 2009",318
"La Basseta 2013",315
"Territorio Luthier Reserva 2016",128
"Valbuena 5o 1988",60745
"Son Negre 2011",385
"Clos de L'Obac 2010",665
"Vinas Viejas de Soria Ribera Del Duero 2018",571
"Pago de Santa Cruz Gran Reserva Ribera del Duero 2014",231
"Cami Pesseroles 2010",843
"Parcela El Picon Tinto 2015",761
"Seleccion Rioja 2015",157
"Millenium Reserva 1996",266
"Acediano 2015",415
"Gaudium 2016",2817
"Vinas Viejas de Soria Ribera Del Duero 2017",571
"Finca el Bosque 2017",929
"Pico de Luyas 2016",133
"Grandes Anadas Rioja 2001",323
"Bruto 2019",810
"Aro 2004",853
"Mas Via Gran Reserva Brut 2004",131
"Les Aubaguetes Priorat 2015",158
"La Mula de la Quietud 2016",355
"Navarra Coleccion 125 Blanco 2018",301
"Dalmau Rioja 2015",3526
"Chardonnay Uno 2011",149
"Don PX Vieja Cosecha 1973",95
"Ribas de Cabrera 2018",94
"Cenit 2012",92
"El Carretil 2012",455
"Quinon de Valmira 2016",190
"Acediano 2014",415
"Mas del Serral 2007",82
"Estrats 2009",132
"Son Negre 2016",385
"Fino Imperial Amontillado 30 Anos N.V.",NULL
"Coliseo Amontillado VORS N.V.",NULL
"Finca el Bosque 2018",929
"Grans Muralles 2000",681
"Malleolus de Valderramiro 2018",1617
"Contador Rioja 2016",960
"Vina Tondonia Gran Reserva Blanco 1981",78
"Cami Pesseroles 2014",843
"Priorat 2019",9476
"8000 2017",75
"Pesus Ribera del Duero 2009",821
"La Basseta 2017",315
"La Poza de Ballesteros 2010",568
"Mironia Black Edition Tempranillo 2015",73
"La Creu Alta 2015",278
"Miserere 2010",370
"Prado Enea Gran Reserva 2015",1424
"Alma Tobia Rioja 2015",72
"Tm 2016",71
"Doix 2017",876
"La Loma 2017",98
"Nebro Ribera del Duero 2011",266
"Priorat 2012",18952
"El Carretil 2015",455
"El Canto del Angel 2014",66
"Grandes Anadas Rioja 1998",323
"Rioja Blanco Reserva 2012",66
"Gran Reserva 2011",15381
"Cayetano del Pino Viejisimo Palo Cortado N.V.",NULL
"Calvario Rioja 2002",542
"Gran Reserva Penas Aladas 2012",152
"Cami Pesseroles 2012",843
"Unico 1969",38093
"Gratallops Partida Bellvisos 2005",128
"Coleccion Privada 2017",1690
"Finca El Canto 2015",58
"Finca Cascorrales 2016",57
"Rioja Gran Reserva 904 1987",6814
"AAA 2004",119
"Tinto 2007",76714
"Rioja Gran Reserva 1994",12629
"Gran Reserva 1964",5127
"Marques de Poley Amontillado Seleccion 1951 1951",53
"Ribera Del Duero Reserva Premium 6 Anos 2014",959
"Reserva Especial 2006",223
"Platon Tinto 2019",52
"Altos de Las Gateras Monastrell 2013",51
"Canta la Perdiz 2013",51
"Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja) 2016",50
"Cava Kripta Gran Reserva Brut Nature 2013",1861
"Alba de Miros Rueda Verdejo 2019",49
"Ribera del Duero TSM 2006",1128
"Pendon De La Aguilera 2010",47
"V2 Tinto 2009",482
"L'Ermita Velles Vinyes Priorat 2003",1455
"Cami Pesseroles 2016",843
"Planots Priorat 2013",158
"Celia 2011",94
"Ribera del Duero Prestigio Pago de las Solanas 2010",189
"Priorat 1998",9476
"Calmo 2014",43
"Gran Reserva 1928",5127
"Dalmau Rioja 2000",3526
"Son Negre 2005",385
"Confesor Rioja 2004",42
"Cartago Paraje de Pozo 2016",332
"La Bienquerida 2019",420
"Seleccion Especial 2015",35518
"Saca Unica N.V.",NULL
"Taberner No. 1 2011",70
"Palomero 2010",38
"Grano a Grano 2017",37
"Nebro Ribera del Duero 2015",266
"Valbuena 5o 1976",60745
"Petit Verdot 2018",660
"La Faraona Bierzo (Corullon) 2015",90
"Santa Ana Pedro Ximenez 1861 N.V.",NULL
"Cuvee Julia Ribera del Duero 2011",35
"Don PX Seleccion 1949",178
"Garnacha 2019",5253
"Vina Tondonia Gran Reserva 2001",391
"Cami Pesseroles 2013",843
"Las Lamas Bierzo (Corullon) 2018",176
"Finca Garbet 2015",107
"200 Monges Rioja Reserva Seleccion Especial 2006",32
"Galia Clos Santuy 2016",60
"Tomas Esteban 2011",89
"Finca Las Comas Verdejo 2018",92
"Valbuena 5o 1975",60745
"Petit Verdot 2004",660
"St Antoni de Scala Dei Priorat 2017",30
"Anada Palo Cortado 1987 1991",83
"Valdegines 2019",806
"Seda de Oro Reserva 2016",29
"Grano a Grano Graciano - Garnacha 2016",29
"Reserva 1986",18434
"Carraquintana de Amaren 2017",29
"Garnacha Parcela 81 Vinas Viejas 2017",28
"Saktih 2016",58
"Cava Enoteca Finca de L'Origen Brut Nature 2002",28
"Salinas 1237 2014",28
"Cabernet Sauvignon 2019",27
