region,avg_price
"Ribera del Duero",408.90457874270277
Bierzo,395.41812499999975
Priorato,361.37016725660914
"Jerez Palo Cortado",315.425
"Vino de Espana",297.9777653631288
Toro,203.77913876601883
Valencia,203.09835950695845
Montsant,202.68906641903757
"Rioja Alavesa",200.39488666155486
Cataluna,199.3042239477357
Mallorca,199.2717910862295
Almansa,188.30485131171537
Montilla-Moriles,182.36858407079643
"Conca de Barbera",170.44230769230774
Emporda,143.48240487147365
Mentrida,121.98666666666668
Aragon,108.50500000000001
Jumilla,104.72250650470693
"Dominio de Valdepusa",99.87
Rioja,97.36668477434772
Andalucia,92.87714285714284
Arinzano,76.98666666666666
"Dehesa del Carrizal",73.53532184621942
"Sardon de Duero",71.09411111111105
Somontano,70.60605263157898
"Costers del Segre",63.49199999999998
"Campo de Borja",59.91166666666666
Cava,58.99305555555554
"Castilla y Leon",56.337220485074596
Penedes,54.938181818181825
Cadiz,50.98526927376988
"Rioja Alta",49.69761061289361
Navarra,47.846363636363634
Madrid,46.03723983333333
Cigales,43.58467135
Carinena,41.25
Ribeiro,40.75
"Terra Alta",37.9
"Tierra del Vino de Zamora",37.5
"Pago Calzadilla",37.35
Arribes,35.5
"El Terrerazo",34.89
Alicante,31.035
Calatayud,30.4
"Pla i Llevant",30.3
Yecla,29.68533333333333
Rueda,28.48933333333333
Otazu,28.4
Castilla,28.019261436137196
Murcia,27.9
"Rias Baixas",27.400600394736838
"Sierras de Malaga",27.11
Binissalem-Mallorca,26.5
Tarragona,25.9
Utiel-Requena,24.03341427272727
Jerez-Xeres-Sherry,23.7
"La Mancha",23.643164749999997
Extremadura,23.525
"Pla de Bages",23.200000000000003
"Jerez Pedro Ximenes (PX)",21.125
Alella,20.97
Monterrei,20.95
"Ribera del Gallego-Cinco Villas",11.5
