winery,wine_type,total_wines
"Vega Sicilia","Ribera Del Duero Red",95
"Alvaro Palacios","Priorat Red",44
Artadi,Tempranillo,37
"La Rioja Alta","Rioja Red",30
"Marques de Murrieta","Rioja Red",30
Martinet,"Priorat Red",30
"Dominio de Pingus","Ribera Del Duero Red",29
"Vina Sastre","Ribera Del Duero Red",24
"Toro Albala","Pedro Ximenez",23
"Bodegas Roda","Rioja Red",23
"Emilio Moro","Ribera Del Duero Red",20
"Remirez de Ganuza","Rioja Red",19
Contino,"Rioja Red",18
Muga,"Rioja Red",18
"Clos Mogador","Priorat Red",18
"Sierra Cantabria","Rioja Red",17
"Marques de Riscal","Rioja Red",17
"Bodega Contador (Benjamin Romeo)","Rioja Red",16
"Teso La Monja","Toro Red",15
Alion,"Ribera Del Duero Red",15
"Bodegas Valduero","Ribera Del Duero Red",14
"Pago de Los Capellanes","Ribera Del Duero Red",14
Arzuaga,"Ribera Del Duero Red",14
"Bodegas El Nido",Red,12
"Vinedos de Paganos","Rioja Red",12
"Mas Doix","Priorat Red",12
"Tinto Pesquera","Ribera Del Duero Red",12
"Bodega Numanthia","Toro Red",11
"Carmelo Rodero","Ribera Del Duero Red",11
"Bodegas Mas Alta","Priorat Red",11
Protos,"Ribera Del Duero Red",11
"Pago de Carraovejas","Ribera Del Duero Red",10
"Alto Moncayo",Grenache,10
Recaredo,Cava,10
"Clos Erasmus","Priorat Red",10
Aalto,"Ribera Del Duero Red",10
Allende,"Rioja Red",10
"Hacienda Monasterio","Ribera Del Duero Red",10
"Castillo Perelada",Red,10
"Ferrer Bobet","Priorat Red",10
"Bodegas Mauro",Tempranillo,9
"Terroir Al Limit Soc. Lda","Priorat Red",9
"Abadia Retuerta",Red,9
"Vina Pedrosa","Ribera Del Duero Red",9
Pintia,"Toro Red",9
Lan,"Rioja Red",9
"R. Lopez de Heredia","Rioja Red",9
"Familia Torres",Red,9
"Vinicola Real","Rioja Red",9
"Bodegas San Roman","Toro Red",8
Matarromera,"Ribera Del Duero Red",8
"Anima Negra",Red,8
"Vall Llach","Priorat Red",8
"Benjamin de Rothschild - Vega Sicilia","Rioja Red",8
Losada,Mencia,8
Imperial,"Rioja Red",8
"Bodegas Amaren","Rioja Red",7
"Tomas Postigo","Ribera Del Duero Red",7
Ossian,Verdejo,7
"Dominio del Aguila","Ribera Del Duero Red",7
"Dominio de Atauta","Ribera Del Duero Red",7
"Marques de Caceres","Rioja Red",7
Remelluri,"Rioja White",7
Pujanza,"Rioja Red",7
Gramona,Cava,6
"Senorio de San Vicente","Rioja Red",6
"Espectacle del Montsant","Montsant Red",6
"Sei Solo","Ribera Del Duero Red",6
Vizcarra,"Ribera Del Duero Red",6
"Scala Dei","Priorat Red",6
"Marques de Vargas","Rioja Red",6
Volver,Red,6
Remelluri,"Rioja Red",6
"Portal del Priorat","Priorat Red",6
"Cims de Porrera","Priorat Red",6
"Bodegas Faustino","Rioja Red",6
"Descendientes de J. Palacios",Mencia,5
