winery,avg_rating
"Vega Sicilia",4.674424471775575
"Bodegas El Nido",4.6418918918918886
"Dominio de Pingus",4.608943089430883
"Quinta de la Quietud",4.6
Gonzalez-Byass,4.6
"La Legua",4.6
"Proyecto Garnachas de Espana",4.6
"Micro Bio (MicroBio)",4.6
"Acustic Celler",4.6
"Dominio del Bendito",4.566666666666666
"Toro Albala",4.563716814159283
"Cal Pla",4.55
"Castell d'Encus",4.55
"Pago de Los Capellanes",4.549999999999999
"Bodega Numanthia",4.5369863013698595
Artadi,4.522911051212971
"Bodegas Mauro",4.519999999999999
"Descendientes de J. Palacios",4.51
"Alvaro Palacios",4.509395973154377
"Terra Remota",4.500000000000001
Nin-Ortiz,4.5
"Pago de Larrainzar",4.5
"Vinas del Cenit",4.5
"Mas del Serral",4.5
"Marques de Burgos",4.5
"Virgen de la Asuncion",4.5
"Divina Proporcion",4.5
"Vina al Lado de la Casa",4.5
"Marques de la Concordia",4.5
"Uvaguilera Aguilera",4.5
"Altos del Terral",4.5
"Bodegas Valdelana",4.5
"Sierra Salinas",4.5
"Vinos Sanz",4.5
"Anima Negra",4.490000000000001
"Vina Sastre",4.48735632183907
"Sierra Cantabria",4.486666666666662
"Bodegas Mas Alta",4.484848484848486
"Bodega Contador (Benjamin Romeo)",4.482608695652169
"Tomas Postigo",4.476923076923078
"Marques de Grinon",4.475
Recaredo,4.470370370370373
"Bodegas Luis Perez",4.466666666666666
"Benjamin de Rothschild - Vega Sicilia",4.464705882352944
"Emilio Moro",4.460869565217389
Aalto,4.460483870967725
"Hacienda Solano",4.46
"Castillo de Cuzcurrita",4.46
"Oxer Wines",4.46
"Mas Doix",4.453030303030307
"Bodegas San Roman",4.45036496350363
Ysios,4.45
"Pazo Barrantes",4.45
"Cruz de Alba",4.45
"Jesus Madrazo",4.45
"Sara Perez y Rene Barbier",4.45
Anayon,4.45
"Bodegas Aragonesas",4.449999999999999
Belondrade,4.449999999999999
"Pago de Carraovejas",4.449800796812731
"Bodegas 6o Elemento - Vino Sexto Elemento",4.44907975460121
"Alto Moncayo",4.445454545454548
"Dominio de Calogia",4.445283018867929
Milsetentayseis,4.445283018867929
"Bodega Rento",4.445283018867929
Vivaltus,4.445283018867929
"Sota els Angels",4.445283018867929
Loess,4.445283018867929
"Ukan Winery",4.445283018867926
"Rodriguez de Vera",4.445283018867926
"Real de Asua",4.445283018867926
"Espectacle del Montsant",4.445283018867905
"Adama Wines",4.4452830188679044
Pinea,4.444444444444449
"Teso La Monja",4.443703703703693
Valderiz,4.439655172413798
"Clos d'Agon",4.439285714285716
"Costers del Siurana",4.438461538461538
"Territorio Luthier",4.433333333333334
"Finca Torremilanos",4.433333333333334
Penafiel,4.433333333333334
Legaris,4.433333333333334
"Sei Solo",4.4321428571428445
"Clos Mogador",4.430476190476193
"Dehesa del Carrizal",4.43
Perinet,4.42962962962963
"Clos Erasmus",4.4295774647887125
Morca,4.425
"Agusti Torello Mata",4.425
"Vinas del Vero",4.424999999999999
"Bodegas Naluar & Acediano",4.424999999999999
Chivite,4.42
"Miguel Merino",4.416666666666667
Gramona,4.415789473684211
"Marques de Murrieta",4.413780918727895
"Bodegas Valduero",4.4125
"Bodegas Vilano",4.410937500000004
Allende,4.404347826086962
"Cepa 21",4.4
Castano,4.4
"Francisco Barona",4.4
Trus,4.4
Mestres,4.4
"Bodega Ribas",4.4
Cervoles,4.4
Tarsus,4.4
"El Regajal",4.4
Ausas,4.4
"Rodriguez Sanzo",4.4
Antidoto,4.4
Monovar,4.4
"Cillar de Silos",4.4
"Javier Sanz Viticultor",4.4
"Hacienda Lopez de Haro",4.4
Fefinanes,4.4
Resalte,4.4
Murua,4.4
"Mas Perinet",4.4
"Alonso del Yerro",4.4
"Bodegas Monte La Reina",4.4
"Joan Simo",4.4
"Can Axartell",4.4
"Mas Llunes",4.4
"Bodegas Frontaura",4.4
"Roig Parals",4.4
"Cal Batllet - Celler Ripoll Sans",4.4
Llopart,4.4
Portia,4.4
"Collbaix Celler El Moli",4.4
"Martinez Lacuesta",4.4
"Albet i Noya",4.4
"Olivier Riviere",4.4
"Bodegas Tierra",4.4
"Martin Codax",4.4
"Vinedos Hermanos Hernaiz",4.4
Freixenet,4.4
Azpilicueta,4.4
"Veronica Salgado",4.4
"Bodegas Imperiales - Abadia de San Quirce",4.4
"Marta Mate",4.4
Museum,4.4
Farina,4.4
"Galindo San Millan",4.4
"Bodegas Casa Primicia",4.4
"Joan d'Anguera",4.4
Xaloc,4.4
Ladairo,4.4
Traslascuestas,4.4
Codorniu,4.4
Berceo,4.4
"Mas Blanch I Jove",4.4
"Carlos Serres",4.4
"David Moreno",4.4
Edra,4.4
Valdelosfrailes,4.4
"Guillem Carol - Cellers Carol Valles",4.4
Particular,4.4
"Bodegas Frontonio",4.4
"Bodegas Asenjo & Manso",4.4
"Mas d'en Gil",4.3999999999999995
Valquejigoso,4.3999999999999995
"Bodegas Celler Francisco Castillo - Clos Dominic",4.3999999999999995
"Finca Villacreces",4.399999999999999
"Ferrer Bobet",4.394029850746275
"Casa Castillo",4.389999999999999
"Vinedos de Paganos",4.389285714285714
"Abadia Retuerta",4.38829787234043
Martinet,4.387640449438176
"Monte Real",4.384210526315792
"Federico Paternina",4.38421052631579
Muga,4.3836734693877615
Ordonez,4.383333333333334
Garmon,4.382608695652172
Alion,4.38260869565217
"Bodegas Amaren",4.38235294117647
"Jose Pariente",4.380000000000001
"Dominio de Es",4.379999999999998
Arzuaga,4.37894736842105
Pintia,4.377777777777782
"Dominio del Aguila",4.377272727272729
"Vall Llach",4.376923076923076
"Dominio de Atauta",4.376470588235293
"Huerta de Albala",4.375
Tobia,4.375
"Abel Mendoza Monge",4.375
Enate,4.374999999999998
"La Rioja Alta",4.373626373626373
"Vina Pedrosa",4.370731707317076
"La Vicalanda",4.366666666666669
"Senorio de San Vicente",4.366666666666668
"Dominio de Cair",4.366666666666667
Briego,4.366666666666667
"El Lagar de Isilla",4.366666666666667
"Merum Priorati",4.366666666666666
"Bodegas Roda",4.365641025641017
"Hacienda Monasterio",4.361904761904765
Baigorri,4.36
Matarromera,4.359375
"Tinto Pesquera",4.359203980099499
"Vina Pomal",4.354838709677418
"Dominio Fournier",4.3538461538461535
Bohorquez,4.3538461538461535
"Marques de Caceres",4.3526315789473715
