winery,avg_rating
"La Rioja Alta",4.289062500000006
"Bodegas Roda",4.331176470588239
"Tomas Postigo",4.359999999999999
Alion,4.306666666666675
Garmon,4.306666666666667
"Emilio Moro",4.3246153846153845
"Benjamin de Rothschild - Vega Sicilia",4.378571428571427
Atalaya,4.338461538461539
"Marques de Murrieta",4.312426035502958
"Hacienda Monasterio",4.307936507936513
"Bodegas Mauro",4.329411764705883
"Teso La Monja",4.3359504132231175
"Dominio de Calogia",4.335483870967741
"Bodegas Vilano",4.31190476190476
"Ukan Winery",4.335483870967748
"Pago de Carraovejas",4.331250000000004
Aalto,4.33548387096775
"Adama Wines",4.33548387096775
Milsetentayseis,4.335483870967741
"Espectacle del Montsant",4.33548387096773
"Sei Solo",4.323529411764712
"Bodegas San Roman",4.335483870967739
"Bodegas 6o Elemento - Vino Sexto Elemento",4.3354838709677495
"Bodega Rento",4.335483870967741
Vivaltus,4.335483870967741
"Sota els Angels",4.335483870967741
"Clos d'Agon",4.332835820895528
"Rodriguez de Vera",4.335483870967748
Pinea,4.337499999999999
"Real de Asua",4.335483870967748
Loess,4.335483870967741
Valderiz,4.33235294117647
Muga,4.334782608695658
Matsu,4.250000000000001
"Bodegas Valduero",4.311764705882353
"Marques de Vargas",4.336363636363636
"Agusti Torello Mata",4.3999999999999995
"Remirez de Ganuza",4.3004975124378255
Imperial,4.280281690140853
"Marques de Caceres",4.328571428571429
"Finca Valpiedra",4.289473684210527
"Marques de Riscal",4.291379310344847
Remelluri,4.310077519379853
VALENCISO,4.296666666666666
"Alto Moncayo",4.333333333333333
Morca,4.340000000000001
"Bodegas Amaren",4.33076923076923
"Clos Erasmus",4.351612903225809
"Clos Mogador",4.354098360655711
Perinet,4.356249999999998
"Ferrer Bobet",4.352941176470594
"Vinicola Real",4.325806451612901
Arzuaga,4.296
"Dominio del Aguila",4.304999999999999
"Tinto Pesquera",4.307843137254917
"Carmelo Rodero",4.272857142857139
"Vina Pomal",4.316
"La Vicalanda",4.314705882352943
"Dominio Fournier",4.305
Contino,4.2890109890110075
Taron,4.304761904761905
"Vina Pedrosa",4.327692307692311
Bohorquez,4.305
"Dominio de Pingus",4.3
"Pago de Los Capellanes",4.300000000000001
"Juan Gil",4.250000000000001
"Senorio de San Vicente",4.339999999999999
Volver,4.349999999999999
Lan,4.331249999999998
"Abadia Retuerta",4.346376811594208
Tridente,4.34
"Alvaro Palacios",4.303212851405618
Ausas,4.4
"Tresmano - Tr3smano",4.333333333333333
"Lar de Paula",4.333333333333333
"Rodriguez Sanzo",4.4
"Cruz de Alba",4.4
"Bodega Contador (Benjamin Romeo)",4.379166666666671
Antidoto,4.4
"Bosque de Matasnos",4.279999999999999
Altanza,4.35
"Toro Albala",4.378723404255323
"Costers del Siurana",4.340000000000001
Martinet,4.340151515151487
Valquejigoso,4.3500000000000005
"Familia Torres",4.288372093023251
"Castillo de Cuzcurrita",4.366666666666667
"Vina Real",4.2705882352941185
Beronia,4.272222222222222
"Marques de Tomares",4.270588235294117
"Luis Canas",4.277272727272727
"Vinedos de Paganos",4.274999999999996
Artadi,4.378102189781011
"Dehesa de Los Canonigos",4.266666666666666
"Monte Real",4.3285714285714265
"Federico Paternina",4.328571428571428
Matarromera,4.286956521739126
Protos,4.305263157894735
"Miguel Merino",4.326666666666666
Monovar,4.4
"Bodegas Mas Alta",4.345454545454545
"Cillar de Silos",4.4
Ossian,4.3
"Vega Sicilia",4.400000000000002
"Los Aguilares",4.314285714285714
"Dominio de Cair",4.340000000000001
Chivite,4.366666666666667
Gramona,4.3999999999999995
Castano,4.3
Allende,4.351515151515152
"Mas Doix",4.366666666666672
"Vall Llach",4.34782608695652
"Marco Abella",4.3500000000000005
"Casa Castillo",4.366666666666666
"Sierra Cantabria",4.359374999999999
"Javier Sanz Viticultor",4.4
Recaredo,4.338461538461539
Orben,4.3500000000000005
