wine,rating,wine_year
Tinto,4.9,2013
"Vina El Pison",4.9,2018
Tinto,4.9,2012
Tinto,4.9,2009
Tinto,4.9,2011
Tinto,4.9,2015
Tinto,4.9,2010
"Vina El Pison",4.9,1995
"Vina El Pison",4.9,2006
"Vina El Pison",4.9,2010
"Vina El Pison",4.9,2011
"Vina El Pison",4.9,2012
"Vina El Pison",4.9,2005
"Vina El Pison",4.9,2014
"Vina El Pison",4.9,2015
Tinto,4.9,2019
"Vina El Pison",4.9,2009
Tinto,4.9,2019
Tinto,4.9,2008
"Vina El Pison",4.9,2017
Tinto,4.9,2019
Tinto,4.9,2016
Tinto,4.9,2018
Tinto,4.9,2017
Tinto,4.9,2019
Tinto,4.9,2018
Tinto,4.9,2009
Tinto,4.9,2018
Tinto,4.9,2013
"Vina El Pison",4.9,2013
Tinto,4.9,2011
Tinto,4.9,2010
Tinto,4.9,2012
Tinto,4.9,2007
Tinto,4.9,2017
Tinto,4.9,2017
Tinto,4.9,2019
Tinto,4.9,2017
Tinto,4.9,2014
Tinto,4.9,2016
Tinto,4.9,2014
"Vina El Pison",4.9,2007
Tinto,4.9,2018
"Vina El Pison",4.9,1999
Tinto,4.9,2017
"Vina El Pison",4.9,2001
"Vina El Pison",4.9,2016
Tinto,4.9,2016
Tinto,4.9,2019
Tinto,4.9,2007
Tinto,4.9,2016
Tinto,4.9,2015
Tinto,4.9,2012
Tinto,4.9,2016
Tinto,4.9,2018
Tinto,4.9,2014
Tinto,4.9,2015
Tinto,4.9,2018
Tinto,4.9,2016
Tinto,4.9,2018
Tinto,4.9,2015
Tinto,4.9,2015
Tinto,4.9,2017
Tinto,4.9,2016
Tinto,4.9,2018
Tinto,4.9,2000
Tinto,4.9,2017
Tinto,4.9,2019
Tinto,4.9,2018
