wine,rating,wine_year
Tinto,4.2,2013
Tinto,4.2,2012
Tinto,4.2,2009
Tinto,4.2,2011
Tinto,4.2,2015
Tinto,4.2,2010
"Gran Reserva",4.2,2001
"Gran Reserva",4.2,2001
"Gran Reserva",4.2,2001
"Ribera del Duero",4.2,2016
"Ribera del Duero",4.2,2016
"Ribera del Duero",4.2,2016
"Ribera del Duero",4.2,2016
"Ribera del Duero",4.2,2016
"Ribera del Duero",4.2,2017
"Ribera del Duero",4.2,2017
"Ribera del Duero",4.2,2017
"Ribera del Duero",4.2,2017
"Ribera del Duero",4.2,2017
Tinto,4.2,2019
Tinto,4.2,2019
Tinto,4.2,2008
Reserva,4.2,2017
Reserva,4.2,2017
Reserva,4.2,2017
Reserva,4.2,2017
Reserva,4.2,2017
Reserva,4.2,2017
"Casa Cisca Monastrell",4.2,2016
"Reserva Rioja (Finca Ygay)",4.2,1954
"Reserva Rioja (Finca Ygay)",4.2,1954
Tinto,4.2,2019
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
"Rioja Gran Reserva",4.2,1986
Tinto,4.2,2016
"Ribera del Duero",4.2,2013
"Ribera del Duero",4.2,2013
"Ribera del Duero",4.2,2013
"Ribera del Duero",4.2,2013
"Ribera del Duero",4.2,2013
"Ribera del Duero",4.2,2014
"Ribera del Duero",4.2,2014
"Ribera del Duero",4.2,2014
"Ribera del Duero",4.2,2014
"Ribera del Duero",4.2,2014
Toro,4.2,2014
Tinto,4.2,2018
"Ribera del Duero",4.2,2015
"Ribera del Duero",4.2,2015
"Ribera del Duero",4.2,2015
"Ribera del Duero",4.2,2015
"Ribera del Duero",4.2,2015
Toro,4.2,2015
Tinto,4.2,2017
Toro,4.2,2016
Tinto,4.2,2019
Tinto,4.2,2018
"Ribera del Duero",4.2,2003
"Ribera del Duero",4.2,2003
"Ribera del Duero",4.2,2003
"Ribera del Duero",4.2,2003
"Ribera del Duero",4.2,2003
Reserva,4.2,2014
Reserva,4.2,2014
Reserva,4.2,2014
Reserva,4.2,2014
Reserva,4.2,2014
Reserva,4.2,2014
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
"Rioja Reserva",4.2,2012
