wine_type,avg_price
"Toro Red",204.29727295607375
"Ribera Del Duero Red",409.04796476852175
"Rioja Red",103.84488494370027
"Montsant Red",203.77101194598288
Red,156.72051177064685
Tempranillo,251.39153887716222
"Pedro Ximenez",174.28193277310925
"Priorat Red",361.577212278971
"Rioja White",55.5537419354838
Grenache,59.440769230769206
Cava,59.496901408450704
Sherry,315.425
Verdejo,36.66338709677421
Syrah,46.330578770959946
Monastrell,40.85432432432434
Mencia,56.542307692307695
Sparkling,76.79400000000001
Albarino,27.18494397435897
Chardonnay,73.33068965517242
"Cabernet Sauvignon",56.30464285714287
"Sauvignon Blanc",14.333333333333334
