wine,rating,winery
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Dominio de Calogia"
Tinto,4.9,"Bodegas Vilano"
Tinto,4.9,"Teso La Monja"
Tinto,4.9,"Ukan Winery"
Tinto,4.9,"Pago de Carraovejas"
Tinto,4.9,"Pago de Carraovejas"
Tinto,4.9,"Pago de Carraovejas"
Tinto,4.9,"Pago de Carraovejas"
Tinto,4.9,Aalto
Tinto,4.9,"Adama Wines"
Tinto,4.9,Milsetentayseis
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,"Adama Wines"
Tinto,4.9,"Adama Wines"
Tinto,4.9,"Sei Solo"
Tinto,4.9,"Adama Wines"
Tinto,4.9,Aalto
Tinto,4.9,"Bodegas San Roman"
Tinto,4.9,Aalto
Tinto,4.9,"Bodegas 6o Elemento - Vino Sexto Elemento"
Tinto,4.9,"Bodega Rento"
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,"Sei Solo"
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,Vivaltus
Tinto,4.9,"Bodegas 6o Elemento - Vino Sexto Elemento"
Tinto,4.9,"Sota els Angels"
Tinto,4.9,Aalto
Tinto,4.9,"Bodegas San Roman"
Tinto,4.9,"Bodegas San Roman"
Tinto,4.9,"Bodegas San Roman"
Tinto,4.9,"Bodegas San Roman"
Tinto,4.9,"Clos d'Agon"
Tinto,4.9,"Clos d'Agon"
Tinto,4.9,"Ukan Winery"
Tinto,4.9,"Sei Solo"
Tinto,4.9,"Bodegas 6o Elemento - Vino Sexto Elemento"
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,"Rodriguez de Vera"
Tinto,4.9,Pinea
Tinto,4.9,"Real de Asua"
Tinto,4.9,"Espectacle del Montsant"
Tinto,4.9,"Real de Asua"
Tinto,4.9,"Rodriguez de Vera"
Tinto,4.9,Loess
Tinto,4.9,Valderiz
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
"Vina El Pison",4.9,Artadi
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
Unico,4.8,"Vega Sicilia"
