,Unnamed: 0,country,description,designation,rating,price,province,region,title,variety,winery
5,5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",Ars In Vitro,87,15.0,Northern Spain,Navarra,tandem 2011 ars in vitro tempranillomerlot navarra,Tempranillo-Merlot,Tandem
18,18,Spain,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza,87,28.0,Northern Spain,Ribera del Duero,pradorey 2010 vendimia seleccionada finca valdelayegua single vineyard crianza ribera del duero,Tempranillo Blend,Pradorey
81,81,Spain,"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",,86,16.0,Galicia,Rías Baixas,spyro 2014 albariño rías baixas,Albariño,Spyro
154,154,Spain,"Ripe aromas of raisin, black plum and horsehide are pointy and peppery. On the palate, this Graciano is bold and energetic, with lifting acidity. Loud berry flavors come with strong accents of dark chocolate and bitter espresso, while the finish is long but just moderate in complexity. Drink through 2020.",Single Vineyard Estate Bottled,91,50.0,Central Spain,Dominio de Valdepusa,marques de griñon 2010 single vineyard estate bottled graciano dominio de valdepusa,Graciano,Marques de Griñon
212,212,Spain,"Mellow white-fruit aromas are nonspecific and oaky, but not overly so. This barrel-fermented Verdejo feels plump and chunky, with balancing acidity. Salty melon, apricot and apple flavors end steady and long. For barrel-fermented Verdejo, this is at the top of the pile.",Fermentado en Barrica,90,40.0,Northern Spain,Rueda,matarromera 2015 fermentado en barrica verdejo rueda,Verdejo,Matarromera
244,244,Spain,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.",Herederos de François Lurton Villafrance de Duero,85,13.0,Northern Spain,Vino de la Tierra de Castilla y León,j f lurton 2007 herederos de françois lurton villafrance de duero red de la tierra de castilla y león,Red Blend,J. & F. Lurton
287,287,Spain,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,92,40.0,Catalonia,Montsant,acústic 2010 braó vinyes velles carignangrenache montsant,Carignan-Grenache,Acústic
339,339,Spain,"Red in color, with berry and apple aromas, this is sweet, with a heavy body and light effervescence.",1887 Rosado,82,13.0,Catalonia,Cava,cavas hill nv 1887 rosado sparkling cava,Sparkling Blend,Cavas Hill
342,342,Spain,"Funky, yeasty aromas of cinnamon, spent lees and bread yeast dominate the nose. This feels foamy, with lightly vegetal flavors of apple that finish briny.",,82,11.0,Catalonia,Cava,bellisco nv sparkling cava,Sparkling Blend,Bellisco
426,426,Spain,"Slightly foxy on the nose, with rubbery aromas of cherry and cassis, this offers a tight, tannic palate with hard, elastic tannins. Flavors of cherry and cassis are pleasant, while the finish is ripe, warming and healthy.",Seis,89,18.0,Northern Spain,Rioja,luberri 2011 seis rioja,Tempranillo,Luberri
